motion,ssim,brightness
0.0117,1.0,114.67
0.0114,1.0,114.68
0.0116,1.0,114.69
0.0114,1.0,114.9
0.0128,1.0,114.92
0.0171,1.0,115.06
0.0113,1.0,115.01
0.012,0.9257,115.1
0.0097,0.9257,115.13
0.0151,0.9257,115.1
0.0131,0.9257,115.09
0.0138,0.9257,115.12
0.0143,0.9257,115.13
0.016,0.9257,115.14
0.0104,0.9257,115.11
0.0084,0.9257,115.03
0.0071,0.9257,114.99
0.0156,0.9257,114.89
0.013,0.9257,114.9
0.0092,0.9257,114.87
0.0112,0.9257,114.86
0.0114,0.9257,114.9
0.014,0.9257,114.89
0.0069,0.9257,114.86
0.0108,0.9257,114.9
0.0088,0.926,114.92
0.016,0.926,114.93
0.0088,0.926,114.89
0.0094,0.926,114.91
0.0101,0.926,114.94
0.0108,0.926,114.88
0.0131,0.926,114.87
0.014,0.926,114.95
0.0105,0.926,114.98
0.0084,0.9263,114.98
0.011,0.9263,114.99
0.0147,0.9263,114.96
0.0062,0.9263,115.01
0.0081,0.9263,115.04
0.0121,0.9263,115.04
0.0083,0.9263,114.99
0.0099,0.9263,115.03
0.0078,0.9263,115.07
0.0115,0.925,115.03
0.0067,0.925,115.01
0.0125,0.925,115.05
0.0091,0.925,115.02
0.0123,0.925,115.03
0.0105,0.925,115.0
0.01,0.925,115.13
0.0106,0.925,115.13
0.0114,0.925,115.16
0.0097,0.9259,115.11
0.0126,0.9259,115.13
0.015,0.9259,115.11
0.0157,0.9259,115.13
0.0099,0.9259,115.01
0.0098,0.9259,115.1
0.0084,0.9259,115.1
0.0118,0.9259,115.17
0.0111,0.9259,115.14
0.0081,0.9267,115.1
0.0104,0.9267,115.13
0.0071,0.9267,115.16
0.0077,0.9267,115.1
0.0063,0.9267,115.08
0.0123,0.9267,115.12
0.0107,0.9267,115.11
0.0121,0.9267,115.07
0.0103,0.9267,115.11
0.0127,0.9256,115.17
0.0091,0.9256,115.04
0.0138,0.9256,114.95
0.0121,0.9256,115.06
0.0105,0.9256,115.23
0.0107,0.9256,115.18
0.0122,0.9256,115.15
0.0096,0.9256,115.16
0.0114,0.9256,115.08
0.0114,0.9256,115.05
0.008,0.9256,115.09
0.0126,0.9256,115.06
0.0102,0.9256,115.06
0.0077,0.9256,115.07
0.0137,0.9256,115.07
0.0125,0.9256,115.07
0.0102,0.9256,115.11
0.0121,0.9256,114.92
0.0147,0.9236,114.97
0.0111,0.9236,114.82
0.0099,0.9236,114.69
0.01,0.9236,114.59
0.0112,0.9236,114.41
0.0074,0.9236,114.22
0.011,0.9236,114.15
0.0144,0.9236,114.07
0.0107,0.9236,113.81
0.0367,0.8993,111.35
0.1885,0.8993,109.89
0.1911,0.8993,8.84
0.0,0.8993,27.06
0.0052,0.8993,42.76
0.0037,0.8993,42.79
0.0068,0.8993,44.39
0.0026,0.8993,32.91
0.0018,0.8993,24.46
0.0003,0.4096,25.5
0.0,0.4096,26.11
0.0008,0.4096,26.47
0.001,0.4096,26.71
0.0003,0.4096,25.84
0.0008,0.4096,25.59
0.0011,0.4096,25.69
0.0001,0.4096,25.91
0.0003,0.4096,26.27
0.0001,0.9078,26.38
0.0003,0.9078,25.93
0.0004,0.9078,25.93
0.0003,0.9078,25.98
0.0008,0.9078,29.46
0.0031,0.9078,37.03
0.003,0.9078,35.75
0.0024,0.9078,40.63
0.0036,0.8409,38.35
0.0029,0.8409,34.9
0.0008,0.8409,33.09
0.0023,0.8409,32.05
0.0025,0.8409,32.7
0.0017,0.8409,30.17
0.0014,0.8409,31.79
0.0021,0.8409,31.57
0.0026,0.8739,30.47
0.0008,0.8739,27.68
0.0006,0.8739,27.94
0.0,0.8739,28.7
0.0011,0.8739,32.15
0.003,0.8739,36.03
0.0026,0.8739,35.33
0.0028,0.8739,33.07
0.002,0.8985,31.91
0.0044,0.8985,32.12
0.0028,0.8985,40.45
0.0061,0.8985,43.59
0.0045,0.8985,43.88
0.0072,0.8985,44.04
0.0071,0.8985,43.7
0.0067,0.8985,43.79
0.0062,0.8985,43.99
0.0087,0.8518,43.85
0.0043,0.8518,44.52
0.0057,0.8518,44.42
0.0055,0.8518,44.31
0.0063,0.8518,44.48
0.0057,0.8518,44.59
0.0066,0.8518,44.82
0.0056,0.8518,44.74
0.0067,0.8518,44.97
0.0036,0.8894,44.98
0.0064,0.8894,44.95
0.0061,0.8894,45.01
0.0052,0.8894,45.57
0.0045,0.8894,44.93
0.0059,0.8894,45.57
0.0063,0.8894,45.5
0.0046,0.8894,45.43
0.0049,0.8894,45.52
0.0055,0.8887,45.56
0.0077,0.8887,45.47
0.0053,0.8887,45.47
0.0067,0.8887,45.7
0.0082,0.8887,45.69
0.0065,0.8887,45.74
0.0071,0.8887,45.77
0.0084,0.8887,45.64
0.0081,0.8887,45.71
0.0059,0.8901,45.85
0.0067,0.8901,46.05
0.0065,0.8901,46.12
0.005,0.8901,45.93
0.0075,0.8901,46.08
0.0084,0.8901,46.2
0.0085,0.8901,45.81
0.0055,0.8901,46.47
0.0062,0.8901,46.52
0.0108,0.8871,46.65
0.008,0.8871,46.72
0.0063,0.8871,46.79
0.0071,0.8871,46.91
0.0091,0.8871,47.05
0.0118,0.8871,47.05
0.0042,0.8871,47.01
0.0067,0.8871,46.96
0.0065,0.8871,46.96
0.0089,0.8874,46.93
0.006,0.8874,46.93
0.0064,0.8874,47.14
0.0064,0.8874,46.94
0.0056,0.8874,46.91
0.0089,0.8874,46.99
0.006,0.8874,46.88
