motion,ssim,brightness
0.1367,1.0,137.1
0.0678,1.0,111.44
0.0221,1.0,111.52
0.0332,1.0,111.66
0.0344,1.0,111.81
0.0125,1.0,111.8
0.0089,1.0,111.83
0.0133,0.7646,111.84
0.0146,0.7646,111.85
0.021,0.7646,111.93
0.0118,0.7646,111.96
0.0134,0.7646,112.0
0.0125,0.7646,112.01
0.0097,0.7646,111.98
0.0128,0.7646,112.0
0.0124,0.7646,112.01
0.011,0.9246,112.05
0.0162,0.9246,112.04
0.0175,0.9246,112.09
0.0169,0.9246,112.01
0.0175,0.9246,112.02
0.0175,0.9246,112.09
0.0134,0.9246,112.16
0.0178,0.9246,112.22
0.0144,0.9246,112.22
0.0269,0.9226,112.35
0.0163,0.9226,112.36
0.024,0.9226,112.41
0.0212,0.9226,112.46
0.0146,0.9226,112.45
0.0249,0.9226,112.53
0.0212,0.9226,112.65
0.0299,0.9226,112.53
0.0201,0.9226,112.55
0.0185,0.9231,112.57
0.0116,0.9231,112.55
0.0106,0.9231,112.59
0.0152,0.9231,112.63
0.012,0.9231,112.61
0.0129,0.9231,112.59
0.0123,0.9231,112.6
0.0123,0.9231,112.63
0.0123,0.9231,112.64
0.0189,0.9269,112.61
0.0126,0.9269,112.56
0.01,0.9269,112.61
0.0145,0.9269,112.67
0.0153,0.9269,112.7
0.0153,0.9269,112.73
0.0151,0.9269,112.68
0.0141,0.9269,112.75
0.0127,0.9269,112.78
0.0106,0.9242,112.83
0.0127,0.9242,112.87
0.0125,0.9242,112.83
0.0224,0.9242,112.94
0.0131,0.9242,112.94
0.0157,0.9242,112.9
0.0127,0.9242,112.91
0.017,0.9242,112.92
0.0149,0.9242,112.9
0.014,0.9255,112.91
0.0149,0.9255,112.93
0.0125,0.9255,112.96
0.0131,0.9255,112.92
0.0111,0.9255,112.97
0.0119,0.9255,112.99
0.0119,0.9255,112.99
0.0214,0.9255,112.9
0.0209,0.9255,112.95
0.0198,0.926,113.02
0.0267,0.926,113.31
0.0226,0.926,113.16
0.0217,0.926,113.03
0.013,0.926,113.07
0.0171,0.926,113.05
0.0153,0.926,113.02
0.0156,0.926,113.01
0.0134,0.926,113.01
0.0137,0.9255,113.03
0.0117,0.9255,113.05
0.0128,0.9255,113.03
0.0109,0.9255,113.03
0.0128,0.9255,113.07
0.0149,0.9255,113.07
0.014,0.9255,113.11
0.021,0.9255,113.21
0.019,0.9255,113.2
0.0157,0.9248,113.19
0.0164,0.9248,113.18
0.0098,0.9248,113.2
0.0093,0.9248,113.21
0.015,0.9248,113.21
0.0111,0.9248,113.2
0.0134,0.9248,113.19
0.0116,0.9248,113.18
0.0109,0.9248,113.2
0.0126,0.9268,113.21
0.0126,0.9268,113.2
0.0127,0.9268,113.22
0.012,0.9268,113.22
0.0106,0.9268,113.2
0.0139,0.9268,113.21
0.0147,0.9268,113.24
0.0177,0.9268,113.21
0.013,0.9268,113.19
0.0128,0.9266,113.22
0.0157,0.9266,113.24
0.0144,0.9266,113.21
0.0158,0.9266,113.19
0.0136,0.9266,113.21
0.0143,0.9266,113.22
0.0108,0.9266,113.24
0.014,0.9266,113.21
0.0157,0.9266,113.16
0.0113,0.9266,113.2
0.0128,0.9266,113.16
0.0146,0.9266,113.15
0.0112,0.9266,113.15
0.0274,0.9266,113.29
0.0148,0.9266,113.24
0.0258,0.9266,113.16
0.013,0.9266,113.21
0.0117,0.9266,113.26
0.0103,0.9272,113.24
0.0213,0.9272,113.16
0.0297,0.9272,112.83
0.0339,0.9272,113.05
0.0295,0.9272,113.3
0.013,0.9272,113.34
0.0109,0.9272,113.31
0.011,0.9272,113.32
0.0093,0.9272,113.29
0.0133,0.9267,113.3
0.0096,0.9267,113.31
0.0106,0.9267,113.33
0.0136,0.9267,113.35
0.0099,0.9267,113.27
0.013,0.9267,113.28
0.016,0.9267,113.27
0.0103,0.9267,113.29
0.0138,0.9267,113.29
0.0134,0.9266,113.33
0.0133,0.9266,113.33
0.0157,0.9266,113.32
0.0141,0.9266,113.31
0.0109,0.9266,113.31
0.0144,0.9266,113.3
0.0128,0.9266,113.33
0.0152,0.9266,113.34
0.0126,0.9266,113.33
0.0155,0.9268,113.33
0.014,0.9268,113.35
0.0137,0.9268,113.31
0.0169,0.9268,113.33
0.012,0.9268,113.33
0.0097,0.9268,113.32
0.0152,0.9268,113.3
0.0131,0.9268,113.34
0.016,0.9268,113.35
0.0108,0.9269,113.34
0.0156,0.9269,113.29
0.0115,0.9269,113.26
0.0166,0.9269,113.29
0.0123,0.9269,113.32
0.0121,0.9269,113.32
0.0133,0.9269,113.28
0.017,0.9269,113.3
0.0153,0.9269,113.3
0.0122,0.9267,113.33
0.015,0.9267,113.31
0.0108,0.9267,113.31
0.0128,0.9267,113.28
0.0115,0.9267,113.28
0.0098,0.9267,113.26
0.0135,0.9267,113.23
0.0095,0.9267,113.24
0.0164,0.9267,113.27
0.015,0.9268,113.29
0.0128,0.9268,113.23
0.0092,0.9268,113.2
0.0134,0.9268,113.24
0.0118,0.9268,113.27
0.0105,0.9268,113.32
0.0129,0.9268,113.28
0.0142,0.9268,113.29
0.0179,0.9268,113.31
0.0104,0.9269,113.27
0.0125,0.9269,113.3
0.0123,0.9269,113.31
0.0121,0.9269,113.31
0.0134,0.9269,113.25
0.0158,0.9269,113.26
0.0155,0.9269,113.25
0.0149,0.9269,113.28
0.0109,0.9269,113.27
0.0101,0.9261,113.29
0.0148,0.9261,113.27
0.0126,0.9261,113.24
0.0142,0.9261,113.27
