motion,ssim,brightness
0.1687,1.0,155.03
0.0791,1.0,119.29
0.0426,1.0,119.5
0.0281,1.0,119.36
0.0319,1.0,119.16
0.0409,1.0,118.72
0.0227,1.0,118.74
0.0206,0.789,118.85
0.0313,0.789,118.76
0.0196,0.789,118.78
0.0158,0.789,118.72
0.0279,0.789,118.66
0.018,0.789,118.69
0.0144,0.789,118.68
0.0226,0.789,118.66
0.0206,0.789,118.58
0.0182,0.969,118.61
0.033,0.969,118.41
0.0238,0.969,118.5
0.0254,0.969,118.59
0.0179,0.969,118.56
0.031,0.969,118.44
0.0166,0.969,118.48
0.027,0.969,118.44
0.0399,0.969,118.13
0.034,0.9685,118.32
0.0195,0.9685,118.41
0.0251,0.9685,118.45
0.0266,0.9685,118.42
0.026,0.9685,118.51
0.0251,0.9685,118.6
0.0294,0.9685,118.52
0.0161,0.9685,118.58
0.021,0.9685,118.63
0.0216,0.9685,118.65
0.0322,0.9685,118.55
0.0146,0.9685,118.54
0.0254,0.9685,118.66
0.0174,0.9685,118.66
0.0131,0.9685,118.67
0.0188,0.9685,118.72
0.0158,0.9685,118.77
0.0297,0.9685,118.63
0.0206,0.9727,118.56
0.0236,0.9727,118.6
0.0189,0.9727,118.59
0.0244,0.9727,118.49
0.0201,0.9727,118.47
0.0248,0.9727,118.53
0.029,0.9727,118.42
0.0285,0.9727,118.34
0.0171,0.9727,118.41
0.0208,0.9738,118.36
0.03,0.9738,118.45
0.0279,0.9738,118.49
0.0186,0.9738,118.65
0.0178,0.9738,118.49
0.0243,0.9738,118.4
0.0173,0.9738,118.33
0.0251,0.9738,118.34
0.0287,0.9738,118.46
0.0155,0.9724,118.41
0.0366,0.9724,118.26
0.0258,0.9724,118.38
0.0321,0.9724,118.49
0.037,0.9724,118.58
0.0241,0.9724,118.84
0.0195,0.9724,118.91
0.0139,0.9724,118.93
0.0176,0.9724,118.88
0.02,0.9726,118.69
0.0197,0.9726,118.65
0.0211,0.9726,118.89
0.0318,0.9726,118.7
0.0134,0.9726,118.77
0.0183,0.9726,118.78
0.0217,0.9726,118.76
0.0173,0.9726,118.78
0.0141,0.9726,118.78
0.0193,0.9722,118.78
0.0154,0.9722,118.79
0.0219,0.9722,118.8
0.0196,0.9722,118.8
0.0237,0.9722,118.8
0.0201,0.9722,118.76
0.0215,0.9722,118.76
0.0225,0.9722,118.79
0.0148,0.9722,118.82
0.0243,0.975,118.76
0.0309,0.975,118.62
0.0152,0.975,118.67
0.0162,0.975,118.71
0.0144,0.975,118.73
0.0209,0.975,118.68
0.0196,0.975,118.64
0.0234,0.975,118.49
0.0334,0.975,118.13
0.0389,0.9616,117.12
0.0891,0.9616,111.07
0.5462,0.9616,116.14
0.6907,0.9616,136.83
0.7535,0.9616,132.81
0.7098,0.9616,132.44
0.6912,0.9616,131.2
0.776,0.9616,133.71
0.5373,0.9616,141.13
0.5923,0.6516,130.16
0.6371,0.6516,114.69
0.5921,0.6516,135.93
0.6411,0.6516,145.9
0.7259,0.6516,124.04
0.7839,0.6516,127.03
0.6195,0.6516,127.58
0.7174,0.6516,128.38
0.5888,0.6516,128.37
0.6907,0.5142,128.0
0.2577,0.5142,127.22
0.7221,0.5142,127.64
0.3043,0.5142,128.37
0.7747,0.5142,127.39
0.7456,0.5142,128.42
0.7948,0.5142,127.41
0.7642,0.5142,126.84
0.7894,0.5142,126.46
0.7918,0.5181,125.6
0.788,0.5181,124.68
0.7762,0.5181,124.09
0.7196,0.5181,123.96
0.8131,0.5181,125.27
0.7883,0.5181,124.99
0.7626,0.5181,125.32
0.7682,0.5181,125.58
0.6876,0.5181,124.64
0.7433,0.506,126.24
0.8083,0.506,127.06
0.7379,0.506,127.86
0.8006,0.506,126.25
0.7954,0.506,127.16
0.7745,0.506,128.01
0.7904,0.506,127.79
0.7899,0.506,127.98
0.6256,0.506,128.63
0.7848,0.5199,128.57
0.7734,0.5199,129.2
0.7869,0.5199,128.71
0.7734,0.5199,127.9
0.771,0.5199,128.97
0.7144,0.5199,128.19
0.8071,0.5199,127.68
0.7809,0.5199,128.32
0.7389,0.5199,127.36
0.793,0.5464,127.67
0.829,0.5464,127.79
0.8424,0.5464,128.72
0.8266,0.5464,129.04
0.7693,0.5464,129.76
0.7762,0.5464,128.86
0.7914,0.5464,128.82
0.7372,0.5464,129.09
0.6989,0.5464,128.91
0.7693,0.5702,128.98
0.8128,0.5702,128.95
0.8172,0.5702,128.22
0.7798,0.5702,128.28
0.7728,0.5702,128.1
0.814,0.5702,130.24
0.7478,0.5702,129.19
0.7783,0.5702,128.27
0.8087,0.5702,128.53
0.4597,0.5209,128.22
0.7708,0.5209,128.47
0.7823,0.5209,128.45
0.7753,0.5209,128.83
0.7662,0.5209,129.4
0.441,0.5209,128.96
0.7571,0.5209,129.25
0.1764,0.5209,129.21
0.7587,0.5209,128.56
0.1254,0.6098,129.37
0.6818,0.6098,128.48
0.7599,0.6098,128.76
0.7615,0.6098,129.68
0.7651,0.6098,129.79
0.7775,0.6098,129.4
0.8104,0.6098,129.21
0.771,0.6098,129.8
0.7505,0.6098,130.1
0.7404,0.4797,130.13
0.7748,0.4797,129.03
0.7882,0.4797,129.51
0.7896,0.4797,130.42
0.6733,0.4797,129.82
0.7773,0.4797,129.72
0.5734,0.4797,129.81
0.6848,0.4797,130.48
0.7747,0.4797,130.91
0.676,0.6564,130.54
0.7858,0.6564,130.17
0.7804,0.6564,129.01
0.7302,0.6564,129.17
