motion,ssim,brightness
0.0172,1.0,247.12
0.0393,1.0,239.97
0.0608,1.0,211.84
0.1024,1.0,161.5
0.1058,1.0,112.8
0.019,1.0,108.84
0.0057,1.0,108.85
0.0089,0.6534,108.83
0.012,0.6534,108.88
0.0137,0.6534,108.91
0.0119,0.6534,108.93
0.0066,0.6534,109.13
0.0084,0.6534,108.94
0.0107,0.6534,108.76
0.012,0.6534,109.02
0.0097,0.6534,108.67
0.0125,0.941,108.92
0.0099,0.941,108.83
0.012,0.941,109.09
0.0085,0.941,108.65
0.012,0.941,108.76
0.0136,0.941,108.82
0.0104,0.941,108.81
0.0102,0.941,108.79
0.0137,0.941,108.79
0.0136,0.9416,108.84
0.0121,0.9416,108.84
0.011,0.9416,108.87
0.0131,0.9416,108.87
0.0099,0.9416,108.85
0.0116,0.9416,108.87
0.0127,0.9416,108.86
0.0083,0.9416,108.88
0.0087,0.9416,108.88
0.0119,0.9412,108.88
0.0111,0.9412,108.88
0.0099,0.9412,108.87
0.0077,0.9412,108.89
0.0128,0.9412,108.84
0.0116,0.9412,108.84
0.0089,0.9412,108.85
0.0103,0.9412,108.86
0.01,0.9412,108.88
0.0084,0.9409,108.86
0.0103,0.9409,108.88
0.0083,0.9409,108.87
0.0071,0.9409,108.88
0.0133,0.9409,108.9
0.0105,0.9409,108.89
0.0119,0.9409,108.86
0.0115,0.9409,108.89
0.0119,0.9409,108.87
0.0123,0.9414,108.89
0.0088,0.9414,108.9
0.0109,0.9414,108.91
0.0088,0.9414,108.93
0.0131,0.9414,108.92
0.0132,0.9414,108.91
0.0111,0.9414,108.91
0.0069,0.9414,109.0
0.0114,0.9414,108.9
0.012,0.9412,108.82
0.0097,0.9412,108.88
0.0052,0.9412,108.89
0.0077,0.9412,108.9
0.0112,0.9412,108.93
0.0085,0.9412,108.94
0.006,0.9412,108.93
0.0118,0.9412,108.92
0.0177,0.9412,108.92
0.0093,0.9411,108.91
0.0066,0.9411,108.93
0.0101,0.9411,108.94
0.0094,0.9411,108.95
0.012,0.9411,108.91
0.0085,0.9411,108.92
0.0128,0.9411,108.93
0.0112,0.9411,108.89
0.0075,0.9411,108.89
0.0119,0.9411,108.9
0.012,0.9411,108.92
0.0084,0.9411,108.93
0.0095,0.9411,108.91
0.0114,0.9411,108.91
0.0088,0.9411,108.93
0.0137,0.9411,108.85
0.0094,0.9411,108.78
0.013,0.9411,108.84
0.0117,0.9409,108.8
0.009,0.9409,108.87
0.0094,0.9409,108.89
0.0074,0.9409,108.9
0.0094,0.9409,108.91
0.0112,0.9409,108.91
0.0114,0.9409,108.91
0.0125,0.9409,108.92
0.0109,0.9409,108.91
0.0105,0.941,108.93
0.0105,0.941,108.93
0.0402,0.941,96.85
0.2722,0.941,66.8
0.2213,0.941,199.71
0.2506,0.941,134.38
0.4927,0.941,180.37
0.312,0.941,144.2
0.2901,0.941,54.72
0.1835,0.6337,201.38
0.2605,0.6337,159.17
0.4878,0.6337,176.57
0.3218,0.6337,137.66
0.3575,0.6337,109.22
0.4043,0.6337,175.06
0.264,0.6337,105.53
0.3124,0.6337,178.08
0.2421,0.6337,128.69
0.3539,0.5753,115.51
0.3956,0.5753,130.9
0.3312,0.5753,123.85
0.3101,0.5753,188.99
0.2749,0.5753,142.09
0.4226,0.5753,128.37
0.4127,0.5753,124.85
0.3966,0.5753,153.82
0.3364,0.5753,184.94
0.2524,0.4674,139.23
0.3463,0.4674,125.75
0.3647,0.4674,156.91
0.317,0.4674,111.28
0.3774,0.4674,185.97
0.3501,0.4674,150.36
0.354,0.4674,102.92
0.3301,0.4674,144.38
0.3117,0.4674,115.98
0.3561,0.7354,182.91
0.3546,0.7354,149.8
0.4075,0.7354,103.79
0.3237,0.7354,130.55
0.3311,0.7354,114.99
0.3818,0.7354,194.39
0.3434,0.7354,163.25
0.356,0.7354,110.6
0.35,0.7354,125.39
0.3074,0.5469,124.68
0.3207,0.5469,186.75
0.2994,0.5469,139.75
0.4053,0.5469,140.85
0.288,0.5469,128.82
0.3494,0.5469,143.37
0.3113,0.5469,190.53
0.2608,0.5469,126.52
0.3743,0.5469,147.17
0.3741,0.661,159.81
0.4068,0.661,125.11
0.4303,0.661,146.82
0.3071,0.661,99.5
0.2998,0.661,138.75
0.2974,0.661,140.06
0.3726,0.661,119.29
0.3688,0.661,181.63
0.2461,0.661,105.98
0.3585,0.6777,145.14
0.4216,0.6777,142.81
0.3501,0.6777,136.46
0.2988,0.6777,195.4
0.333,0.6777,151.18
0.4065,0.6777,128.55
0.2724,0.6777,125.78
0.4348,0.6777,172.91
0.345,0.6777,197.52
0.2858,0.4128,135.53
0.3409,0.4128,137.93
0.2728,0.4128,94.6
0.3911,0.4128,169.66
0.3786,0.4128,189.08
0.334,0.4128,133.49
0.4338,0.4128,137.22
0.2396,0.4128,100.48
0.4995,0.4128,167.94
0.3374,0.7466,167.76
0.3038,0.7466,129.94
0.4663,0.7466,177.87
0.2975,0.7466,118.09
0.383,0.7466,191.71
0.3913,0.7466,158.18
0.4187,0.7466,155.97
0.2748,0.7466,176.29
0.2652,0.7466,141.97
0.3085,0.8481,178.75
0.2429,0.8481,106.07
0.2628,0.8481,192.95
0.2359,0.8481,166.51
0.2585,0.8481,138.46
0.3742,0.8481,167.38
0.3279,0.8481,102.74
0.4224,0.8481,132.54
0.3872,0.8481,129.79
0.419,0.6696,154.48
0.3822,0.6696,169.89
0.4324,0.6696,112.24
0.2853,0.6696,196.79
