motion,ssim,brightness
0.1041,1.0,116.79
0.0589,1.0,118.38
0.0388,1.0,118.69
0.0381,1.0,118.5
0.0432,1.0,117.98
0.0248,0.9536,118.02
0.0385,0.9536,117.86
0.038,0.9536,118.03
0.0112,0.9536,118.02
0.0243,0.9536,118.0
0.0441,0.9536,118.22
0.0446,0.96,118.57
0.025,0.96,118.67
0.0359,0.96,118.82
0.036,0.96,118.61
0.0463,0.96,118.29
0.035,0.96,118.21
0.0402,0.959,118.03
0.038,0.959,117.93
0.0412,0.959,118.06
0.028,0.959,118.12
0.0254,0.959,118.16
0.0366,0.959,118.32
0.021,0.9664,118.3
0.0229,0.9664,118.2
0.0474,0.9664,117.9
0.0461,0.9664,117.62
0.0521,0.9664,117.88
0.0507,0.9664,118.37
0.0422,0.9587,118.91
0.0302,0.9587,118.85
0.0305,0.9587,118.76
0.0415,0.9587,118.44
0.0448,0.9587,117.92
0.0498,0.9587,117.72
0.0512,0.9564,118.04
0.0431,0.9564,118.21
0.0313,0.9564,118.17
0.0358,0.9564,118.06
0.0468,0.9564,117.82
0.0415,0.9564,117.96
0.0465,0.9696,118.14
0.0396,0.9696,118.3
0.0373,0.9696,118.12
0.0425,0.9696,117.82
0.0277,0.9696,117.74
0.0417,0.9696,118.05
0.0292,0.9722,118.1
0.0399,0.9722,117.84
0.0296,0.9722,117.82
0.0486,0.9722,118.13
0.0392,0.9722,118.38
0.0382,0.9722,118.23
0.0406,0.9719,118.03
0.0391,0.9719,117.92
0.0241,0.9719,117.97
0.0204,0.9719,117.93
0.0278,0.9719,117.86
0.034,0.9719,117.77
0.0487,0.9579,117.5
0.0252,0.9579,117.49
0.0451,0.9579,118.01
0.0364,0.9579,117.86
0.0355,0.9579,117.99
0.041,0.9579,118.22
0.0348,0.9545,118.43
0.0398,0.9545,118.05
0.0388,0.9545,117.9
0.0291,0.9545,118.0
0.0451,0.9545,117.72
0.0319,0.9545,117.66
0.0445,0.9597,117.94
0.0361,0.9597,118.03
0.0391,0.9597,118.19
0.0266,0.9597,118.13
0.0371,0.9597,117.58
0.0468,0.9597,117.84
0.0463,0.963,118.25
0.0227,0.963,118.21
0.0279,0.963,118.22
0.0254,0.963,118.19
0.0392,0.963,117.9
0.0462,0.963,117.67
0.0383,0.9595,117.78
0.0453,0.9595,117.93
0.0397,0.9595,117.85
0.0492,0.9595,116.85
0.0429,0.9595,117.08
0.0444,0.9595,117.48
0.046,0.9672,117.73
0.0442,0.9672,117.8
0.0424,0.9672,117.81
0.0367,0.9672,117.58
0.0287,0.9672,117.47
0.0252,0.9672,117.4
0.0438,0.9607,117.14
0.0458,0.9607,116.78
0.0298,0.9607,116.72
0.0513,0.9607,115.9
0.5074,0.9607,121.83
0.8373,0.9607,129.15
0.9232,0.6423,115.82
0.8426,0.6423,126.56
0.802,0.6423,125.97
0.7492,0.6423,126.86
0.7417,0.6423,127.88
0.7859,0.6423,129.25
0.7587,0.543,129.03
0.7926,0.543,129.51
0.8198,0.543,129.19
0.7692,0.543,129.04
0.77,0.543,129.75
0.7577,0.543,129.68
0.7636,0.5793,130.64
0.7792,0.5793,131.11
0.7792,0.5793,131.34
0.7183,0.5793,132.14
0.7399,0.5793,132.71
0.7471,0.5793,133.74
0.7958,0.5381,134.11
0.7814,0.5381,133.77
0.7474,0.5381,133.7
0.7879,0.5381,133.55
0.7905,0.5381,133.87
0.851,0.5381,134.34
0.7838,0.5141,133.28
0.7608,0.5141,133.49
0.8602,0.5141,133.16
0.7374,0.5141,133.96
0.7951,0.5141,134.52
0.8142,0.5141,134.38
0.7606,0.5362,134.79
0.8309,0.5362,134.57
0.8372,0.5362,135.03
0.8078,0.5362,134.52
0.857,0.5362,134.07
0.8209,0.5362,134.2
0.8923,0.5094,135.08
0.7626,0.5094,140.51
0.8046,0.5094,128.67
0.8768,0.5094,127.87
0.7339,0.5094,128.68
0.761,0.5094,127.87
0.8029,0.4873,127.5
0.7848,0.4873,127.68
0.7851,0.4873,127.75
0.5452,0.4873,127.45
0.8008,0.4873,127.9
0.7419,0.4873,127.92
0.7642,0.5772,127.92
0.7039,0.5772,127.9
0.7968,0.5772,127.53
0.8165,0.5772,126.74
0.8235,0.5772,126.58
0.7939,0.5772,127.73
0.8009,0.5074,128.37
0.7833,0.5074,128.64
0.7828,0.5074,128.96
0.8229,0.5074,128.63
0.5261,0.5074,128.48
0.8049,0.5074,128.87
0.8094,0.6559,129.46
0.8217,0.6559,130.13
0.7857,0.6559,131.63
0.7629,0.6559,131.83
0.803,0.6559,133.75
0.7947,0.6559,134.29
0.8398,0.4974,130.16
0.8054,0.4974,127.76
0.7883,0.4974,126.7
0.7353,0.4974,126.19
0.8077,0.4974,127.12
0.7726,0.4974,126.54
0.8313,0.5317,127.29
0.7422,0.5317,127.28
0.7559,0.5317,126.33
0.8175,0.5317,126.47
0.7985,0.5317,126.94
0.8043,0.5317,126.96
0.7922,0.5591,127.79
0.7426,0.5591,128.43
0.8185,0.5591,126.96
0.7337,0.5591,126.42
0.7704,0.5591,126.31
0.7696,0.5591,126.75
0.7664,0.504,127.28
0.8063,0.504,127.59
0.7913,0.504,128.15
0.7892,0.504,128.1
0.8193,0.504,128.31
0.7277,0.504,128.61
0.8245,0.5475,128.62
0.8156,0.5475,128.83
0.818,0.5475,129.22
0.7982,0.5475,129.2
0.794,0.5475,128.82
0.798,0.5475,129.42
0.7454,0.7162,130.33
0.8124,0.7162,130.32
0.7538,0.7162,131.16
