motion,ssim,brightness
0.0199,1.0,108.04
0.0178,1.0,108.81
0.0111,1.0,109.18
0.0091,1.0,109.28
0.0125,1.0,109.34
0.0094,0.9369,109.04
0.0122,0.9369,109.06
0.011,0.9369,109.08
0.0101,0.9369,109.13
0.0118,0.9369,109.16
0.0084,0.9369,109.13
0.011,0.9401,109.17
0.0114,0.9401,109.18
0.0134,0.9401,109.21
0.0102,0.9401,109.29
0.0128,0.9401,109.26
0.0122,0.9401,108.91
0.0208,0.9375,108.52
0.0225,0.9375,108.49
0.0189,0.9375,108.66
0.0179,0.9375,109.27
0.0071,0.9375,109.46
0.0137,0.9375,109.14
0.0064,0.9376,109.17
0.0132,0.9376,109.16
0.0085,0.9376,109.16
0.0109,0.9376,109.14
0.0151,0.9376,109.17
0.0081,0.9376,109.19
0.0077,0.9406,109.22
0.0108,0.9406,109.26
0.0117,0.9406,109.27
0.0131,0.9406,109.18
0.0136,0.9406,109.2
0.0136,0.9406,109.21
0.0153,0.9407,109.24
0.0156,0.9407,108.77
0.0261,0.9407,108.3
0.0242,0.9407,108.39
0.0192,0.9407,108.41
0.021,0.9407,108.27
0.0225,0.9328,108.12
0.0256,0.9328,108.03
0.0238,0.9328,108.06
0.0278,0.9328,108.04
0.0222,0.9328,107.98
0.0192,0.9328,108.01
0.0145,0.9377,108.03
0.0147,0.9377,108.06
0.0171,0.9377,108.06
0.0229,0.9377,108.13
0.0149,0.9377,108.08
0.026,0.9377,107.99
0.0197,0.941,107.99
0.0147,0.941,108.04
0.0183,0.941,108.04
0.0243,0.941,107.96
0.0238,0.941,108.03
0.0221,0.941,108.06
0.0165,0.9375,108.09
0.029,0.9375,108.08
0.0241,0.9375,107.98
0.0263,0.9375,107.9
0.0175,0.9375,107.94
0.0149,0.9375,107.94
0.02,0.9395,108.0
0.0325,0.9395,108.41
0.0158,0.9395,108.47
0.0255,0.9395,108.36
0.025,0.9395,108.17
0.0132,0.9395,108.17
0.0138,0.9389,108.16
0.0189,0.9389,108.15
0.017,0.9389,108.19
0.0144,0.9389,108.24
0.0194,0.9389,108.23
0.0166,0.9389,108.18
0.0189,0.9409,108.26
0.027,0.9409,108.35
0.0153,0.9409,108.4
0.0115,0.9409,108.43
0.0153,0.9409,108.43
0.0115,0.9409,108.46
0.023,0.9334,108.63
0.0194,0.9334,108.55
0.0271,0.9334,108.37
0.0182,0.9334,108.41
0.0229,0.9334,108.28
0.0224,0.9334,108.31
0.0202,0.936,108.32
0.0225,0.936,108.38
0.0239,0.936,108.44
0.0185,0.936,108.53
0.019,0.936,108.51
0.0213,0.936,108.42
0.028,0.9353,108.1
0.0321,0.9353,107.77
0.0254,0.9353,107.73
0.0372,0.9353,106.23
0.1542,0.9353,4.3
0.0,0.9353,33.7
0.0002,0.3312,18.21
0.0,0.3312,22.09
0.001,0.3312,28.82
0.0016,0.3312,30.8
0.0001,0.3312,20.77
0.0001,0.3312,20.85
0.0,0.9027,21.11
0.0009,0.9027,22.09
0.0004,0.9027,22.13
0.0005,0.9027,22.32
0.0007,0.9027,22.3
0.0008,0.9027,22.16
0.0001,0.9059,21.96
0.0003,0.9059,22.06
0.0005,0.9059,21.93
0.0005,0.9059,22.84
0.0,0.9059,22.86
0.0004,0.9059,22.66
0.0003,0.9049,22.69
0.0002,0.9049,22.52
0.0012,0.9049,22.58
0.0002,0.9049,20.7
0.0006,0.9049,20.67
0.0003,0.9049,20.65
0.0001,0.9038,20.74
0.0011,0.9038,20.65
0.0002,0.9038,20.51
0.0001,0.9038,20.04
0.0,0.9038,19.52
0.0,0.9038,19.08
0.0,0.9076,18.95
0.0,0.9076,19.7
0.0001,0.9076,19.29
0.0,0.9076,19.28
0.0,0.9076,19.06
0.0001,0.9076,19.07
0.0001,0.9125,19.14
0.0,0.9125,19.18
0.0002,0.9125,19.09
0.0001,0.9125,21.18
0.0005,0.9125,23.33
0.0026,0.9125,34.28
0.0026,0.8859,23.91
0.0004,0.8859,22.59
0.0015,0.8859,22.71
0.0013,0.8859,24.49
0.0006,0.8859,23.98
0.0014,0.9021,23.78
0.0006,0.9021,23.67
0.0013,0.9021,23.49
0.0013,0.9021,23.39
0.0014,0.9021,23.15
0.0014,0.9021,23.03
0.0017,0.9033,23.17
0.0004,0.9033,22.98
0.0008,0.9033,22.95
0.0005,0.9033,22.87
0.0011,0.9033,22.73
0.0011,0.9033,22.7
0.001,0.9048,22.59
0.0009,0.9048,22.63
0.0008,0.9048,22.6
0.0007,0.9048,24.97
0.001,0.9048,23.17
0.0012,0.9048,23.27
0.0002,0.9049,22.85
0.0009,0.9049,22.63
0.0011,0.9049,22.69
0.0002,0.9049,22.67
0.0012,0.9049,22.59
0.0,0.9049,22.45
0.0002,0.9047,22.53
0.0002,0.9047,22.34
0.001,0.9047,22.22
0.0006,0.9047,21.61
0.0001,0.9047,21.71
0.0002,0.9047,21.57
0.0003,0.9049,21.29
0.0008,0.9049,32.01
0.0027,0.9049,32.19
0.0041,0.9049,32.1
0.0035,0.9049,31.93
0.0046,0.9049,31.11
0.0042,0.8452,30.64
0.0033,0.8452,31.26
0.0027,0.8452,31.59
0.0037,0.8452,31.44
0.0032,0.8452,31.8
0.0025,0.8452,32.31
0.0029,0.8935,32.37
0.0058,0.8935,32.16
0.0054,0.8935,32.36
0.0056,0.8935,32.32
0.0038,0.8935,31.7
0.0031,0.8935,30.28
0.0021,0.8956,31.58
0.005,0.8956,31.53
0.0037,0.8956,32.04
0.003,0.8956,31.69
