motion,ssim,brightness
0.0467,1.0,244.77
0.1193,1.0,226.32
0.1605,1.0,158.35
0.1315,1.0,106.53
0.0152,1.0,106.52
0.0266,0.601,106.48
0.0177,0.601,106.49
0.0119,0.601,106.51
0.0143,0.601,106.51
0.028,0.601,106.34
0.0235,0.601,106.37
0.0254,0.9408,106.49
0.0114,0.9408,106.5
0.0158,0.9408,106.5
0.0179,0.9408,106.5
0.0167,0.9408,106.48
0.0146,0.9408,106.49
0.02,0.9394,106.46
0.0118,0.9394,106.46
0.0144,0.9394,106.45
0.0219,0.9394,106.45
0.0137,0.9394,106.45
0.0229,0.9394,106.41
0.0206,0.9389,106.39
0.0195,0.9389,106.37
0.0251,0.9389,106.48
0.0262,0.9389,106.34
0.0184,0.9389,106.16
0.0263,0.9389,106.25
0.0162,0.9374,106.39
0.0229,0.9374,106.47
0.0179,0.9374,106.49
0.0149,0.9374,106.43
0.0244,0.9374,106.36
0.0139,0.9374,106.42
0.0214,0.9389,106.33
0.0163,0.9389,106.36
0.0141,0.9389,106.38
0.0154,0.9389,106.38
0.0205,0.9389,106.29
0.0271,0.9389,106.4
0.0151,0.9408,106.4
0.0284,0.9408,106.28
0.0285,0.9408,106.18
0.0194,0.9408,106.14
0.0273,0.9408,106.22
0.0232,0.9408,106.26
0.0182,0.9403,106.32
0.0119,0.9403,106.36
0.0277,0.9403,106.26
0.0283,0.9403,106.11
0.018,0.9403,106.12
0.0135,0.9403,106.12
0.0228,0.9382,106.23
0.02,0.9382,106.33
0.0222,0.9382,106.4
0.0224,0.9382,106.37
0.0268,0.9382,106.25
0.0236,0.9382,106.16
0.0291,0.9399,106.25
0.0137,0.9399,106.32
0.0284,0.9399,106.17
0.0311,0.9399,106.02
0.0283,0.9399,106.14
0.0286,0.9399,106.16
0.0192,0.9394,106.15
0.0166,0.9394,106.17
0.0084,0.9394,106.2
0.0131,0.9394,106.2
0.0134,0.9394,106.2
0.0103,0.9394,106.19
0.0138,0.9399,106.2
0.011,0.9399,106.21
0.0205,0.9399,106.22
0.0098,0.9399,106.22
0.0143,0.9399,106.19
0.017,0.9399,106.23
0.0146,0.9402,106.21
0.0162,0.9402,106.21
0.0116,0.9402,106.22
0.0292,0.9402,106.12
0.0134,0.9402,106.16
0.0078,0.9402,106.16
0.0187,0.9406,106.21
0.0224,0.9406,106.3
0.0189,0.9406,106.29
0.0178,0.9406,106.29
0.0141,0.9406,106.32
0.0115,0.9406,106.32
0.0093,0.9395,106.34
0.0187,0.9395,106.3
0.0311,0.9395,106.19
0.0238,0.9395,106.08
0.0217,0.9395,106.17
0.027,0.9395,106.22
0.0214,0.9391,106.23
0.0266,0.9391,106.08
0.0106,0.9391,106.09
0.012,0.9391,106.06
0.203,0.9391,62.47
0.1718,0.9391,212.57
0.1948,0.5733,150.01
0.4416,0.5733,163.55
0.4321,0.5733,132.22
0.3719,0.5733,119.38
0.3985,0.5733,186.12
0.4684,0.5733,87.48
0.3611,0.4981,172.71
0.2762,0.4981,185.05
0.2731,0.4981,103.04
0.2706,0.4981,199.29
0.2109,0.4981,168.44
0.3434,0.4981,141.74
0.4988,0.7322,139.99
0.3514,0.7322,154.72
0.424,0.7322,162.2
0.4762,0.7322,145.37
0.3837,0.7322,110.66
0.4323,0.7322,179.03
0.431,0.4754,96.41
0.3821,0.4754,145.29
0.3594,0.4754,192.78
0.405,0.4754,142.39
0.2463,0.4754,209.62
0.2465,0.4754,103.37
0.394,0.4836,178.9
0.3204,0.4836,124.27
0.3293,0.4836,119.59
0.4151,0.4836,199.72
0.2947,0.4836,104.49
0.3825,0.4836,109.31
0.4132,0.8401,203.39
0.3197,0.8401,118.88
0.3257,0.8401,88.79
0.3921,0.8401,201.26
0.283,0.8401,114.78
0.4765,0.8401,129.17
0.3315,0.8329,189.99
0.3475,0.8329,136.03
0.5321,0.8329,129.58
0.401,0.8329,175.8
0.4926,0.8329,164.26
0.4544,0.8329,141.88
0.4005,0.5344,117.54
0.5122,0.5344,161.32
0.4772,0.5344,118.6
0.3646,0.5344,107.61
0.3253,0.5344,205.61
0.2302,0.5344,134.92
0.5221,0.5698,116.13
0.4031,0.5698,193.85
0.4074,0.5698,123.23
0.5411,0.5698,133.17
0.4871,0.5698,159.53
0.4366,0.5698,147.34
0.3738,0.6317,182.06
0.2905,0.6317,116.72
0.4176,0.6317,183.34
0.3196,0.6317,86.83
0.5283,0.6317,117.89
0.4269,0.6317,190.17
0.2819,0.5299,109.01
0.5543,0.5299,120.37
0.3999,0.5299,190.81
0.3851,0.5299,123.0
0.2871,0.5299,208.09
0.227,0.5299,156.08
0.451,0.5937,154.48
0.5215,0.5937,153.62
0.4665,0.5937,131.48
0.3992,0.5937,126.15
0.3795,0.5937,112.81
0.2888,0.5937,121.73
0.3897,0.7771,182.07
0.2568,0.7771,101.66
0.5503,0.7771,107.15
0.4067,0.7771,188.74
0.3387,0.7771,145.38
0.327,0.7771,173.05
0.3397,0.6439,161.25
0.4047,0.6439,150.16
0.4229,0.6439,198.95
0.2962,0.6439,116.22
0.3641,0.6439,199.43
0.3139,0.6439,120.06
0.5546,0.4995,115.52
0.3681,0.4995,188.35
0.3745,0.4995,137.41
0.4386,0.4995,168.49
0.2735,0.4995,146.44
0.3503,0.4995,169.06
0.3077,0.6689,170.62
0.3413,0.6689,141.38
0.4303,0.6689,162.53
0.4248,0.6689,138.18
0.4054,0.6689,158.96
0.3958,0.6689,178.99
0.3309,0.4276,115.32
0.4195,0.4276,180.87
0.3567,0.4276,157.33
