motion,ssim,brightness
0.072,1.0,230.66
0.1428,1.0,171.7
0.1212,1.0,108.9
0.0143,1.0,108.88
0.0125,1.0,108.91
0.0118,0.6309,108.89
0.0111,0.6309,109.0
0.0121,0.6309,108.96
0.011,0.6309,108.97
0.0133,0.6309,109.26
0.0152,0.6309,109.23
0.0097,0.9404,109.18
0.0136,0.9404,109.21
0.0111,0.9404,109.19
0.0141,0.9404,109.2
0.0123,0.9404,109.2
0.0112,0.9404,109.2
0.0121,0.9407,109.21
0.0139,0.9407,109.21
0.0104,0.9407,109.19
0.0123,0.9407,109.2
0.0082,0.9407,109.21
0.0116,0.9407,109.18
0.0086,0.9405,109.2
0.0083,0.9405,109.27
0.0093,0.9405,109.22
0.0092,0.9405,108.97
0.0094,0.9405,108.93
0.0057,0.9405,108.99
0.0106,0.9407,109.06
0.0104,0.9407,109.04
0.0155,0.9407,109.02
0.0067,0.9407,108.94
0.0079,0.9407,109.06
0.0108,0.9407,108.95
0.0096,0.9406,108.87
0.0131,0.9406,108.87
0.0097,0.9406,108.99
0.0091,0.9406,108.97
0.0074,0.9406,108.86
0.01,0.9406,108.95
0.0091,0.9409,108.93
0.0098,0.9409,108.95
0.0089,0.9409,109.09
0.0124,0.9409,109.02
0.0084,0.9409,109.14
0.0103,0.9409,109.18
0.0095,0.9406,109.12
0.0152,0.9406,109.21
0.009,0.9406,109.27
0.012,0.9406,109.28
0.0114,0.9406,109.16
0.0089,0.9406,109.04
0.0116,0.9406,108.24
0.0082,0.9406,108.32
0.0106,0.9406,108.63
0.0113,0.9406,108.37
0.0106,0.9406,108.37
0.0084,0.9406,108.95
0.0075,0.9404,109.14
0.0117,0.9404,109.28
0.0054,0.9404,109.21
0.01,0.9404,109.22
0.0075,0.9404,109.21
0.0104,0.9404,110.13
0.0123,0.9399,109.29
0.0146,0.9399,109.32
0.0126,0.9399,109.32
0.0119,0.9399,109.95
0.0112,0.9399,109.97
0.0107,0.9399,110.01
0.0119,0.9402,109.37
0.0119,0.9402,110.0
0.0094,0.9402,109.98
0.0109,0.9402,109.98
0.0131,0.9402,110.14
0.0118,0.9402,109.31
0.0125,0.9398,109.28
0.0116,0.9398,109.28
0.014,0.9398,109.3
0.0107,0.9398,109.21
0.0116,0.9398,109.22
0.0081,0.9398,109.34
0.0097,0.9403,109.41
0.0123,0.9403,109.22
0.0097,0.9403,109.31
0.0091,0.9403,109.18
0.0172,0.9403,109.88
0.0174,0.9403,109.8
0.0105,0.9402,109.94
0.016,0.9402,109.89
0.0196,0.9402,109.71
0.0138,0.9402,109.77
0.0154,0.9402,109.26
0.013,0.9402,109.24
0.0125,0.9404,109.25
0.0194,0.9404,109.23
0.0154,0.9404,109.57
0.0064,0.9404,109.19
0.0152,0.9404,109.18
0.0161,0.9404,109.16
0.0094,0.9382,109.16
0.0154,0.9382,109.16
0.0122,0.9382,109.17
0.0175,0.9382,109.2
0.0093,0.9382,109.22
0.0129,0.9382,109.28
0.0161,0.9395,109.14
0.0129,0.9395,109.7
0.013,0.9395,109.23
0.0128,0.9395,109.26
0.0162,0.9395,109.24
0.0121,0.9395,109.22
0.013,0.9402,109.18
0.0125,0.9402,109.25
0.0141,0.9402,109.23
0.0163,0.9402,109.27
0.0076,0.9402,109.59
0.0162,0.9402,109.25
0.0111,0.9403,109.29
0.0146,0.9403,109.24
0.0091,0.9403,109.45
0.0169,0.9403,109.48
0.0121,0.9403,109.51
0.0116,0.9403,109.5
0.0127,0.9401,109.53
0.0169,0.9401,109.54
0.0117,0.9401,109.57
0.0114,0.9401,109.54
0.0128,0.9401,109.34
0.013,0.9401,109.35
0.0146,0.9398,109.33
0.0095,0.9398,109.33
0.0093,0.9398,109.31
0.0143,0.9398,109.26
0.0192,0.9398,109.31
0.0145,0.9398,109.38
0.0164,0.9394,109.36
0.0102,0.9394,109.37
0.0129,0.9394,109.36
0.0103,0.9394,109.35
0.0139,0.9394,109.39
0.0155,0.9394,109.38
0.0115,0.9403,109.38
0.0154,0.9403,109.26
0.016,0.9403,109.24
0.0148,0.9403,109.22
0.0169,0.9403,109.38
0.0125,0.9403,109.49
0.0113,0.9399,109.46
0.0154,0.9399,109.45
0.0151,0.9399,109.46
0.0114,0.9399,109.51
0.0127,0.9399,109.63
0.0132,0.9399,109.67
0.0132,0.9399,109.34
0.0207,0.9399,109.8
0.0087,0.9399,109.31
0.022,0.9399,109.37
0.0129,0.9399,109.44
0.0107,0.9399,109.47
0.0069,0.9396,109.59
0.0118,0.9396,109.59
0.0087,0.9396,109.6
0.0118,0.9396,109.58
0.0078,0.9396,109.59
0.0152,0.9396,109.59
0.0106,0.9404,109.6
0.0089,0.9404,109.6
0.0106,0.9404,109.57
0.0132,0.9404,109.56
0.0079,0.9404,109.6
0.0107,0.9404,109.58
0.0143,0.9408,109.57
0.0129,0.9408,109.56
0.0105,0.9408,109.54
0.0105,0.9408,109.46
0.0101,0.9408,109.29
0.018,0.9408,109.34
0.0083,0.9407,109.39
0.0087,0.9407,109.41
0.011,0.9407,109.4
0.0081,0.9407,109.41
0.0089,0.9407,109.43
0.0108,0.9407,109.5
0.0076,0.941,109.46
0.0067,0.941,109.47
0.0119,0.941,109.46
0.0129,0.941,109.49
0.0113,0.941,109.49
0.013,0.941,109.49
0.0081,0.9411,109.47
0.0087,0.9411,109.5
0.0057,0.9411,109.5
0.0116,0.9411,109.52
0.0085,0.9411,109.49
0.0095,0.9411,109.49
0.0127,0.9411,109.5
0.0132,0.9411,109.5
0.0072,0.9411,109.49
