motion,ssim,brightness
1.0,1.0,137.9
1.0,1.0,124.76
1.0,1.0,124.95
1.0,1.0,124.96
0.1124,1.0,124.94
0.0002,1.0,124.77
0.0001,1.0,124.81
0.0,1.0,124.83
0.0,1.0,124.84
0.0001,0.9207,124.79
0.0003,0.9207,124.76
0.0003,0.9207,124.79
0.0001,0.9207,124.82
0.0001,0.9207,124.84
0.0,0.9207,124.87
0.0001,0.9207,124.82
0.0002,0.9207,124.81
0.0,0.9207,124.83
0.0,0.9207,124.82
0.0,0.9698,124.82
0.0,0.9698,124.84
0.0,0.9698,124.85
0.0,0.9698,124.87
0.0,0.9698,124.88
0.0,0.9698,124.87
0.0,0.9698,124.85
0.0,0.9698,124.85
0.0002,0.9698,124.81
0.0001,0.9698,124.83
0.0,0.9699,124.85
0.0,0.9699,124.87
0.0,0.9699,124.92
0.0,0.9699,124.89
0.0001,0.9699,124.85
0.0005,0.9699,124.81
0.0005,0.9699,124.8
0.0004,0.9699,124.83
0.0001,0.9699,124.87
0.0,0.9699,124.86
0.0004,0.9696,124.8
0.0007,0.9696,124.79
0.0001,0.9696,124.85
0.0,0.9696,124.87
0.0001,0.9696,124.82
0.0007,0.9696,124.76
0.0027,0.9696,124.64
0.0019,0.9696,124.73
0.0008,0.9696,124.78
0.0,0.9696,124.84
0.0,0.9702,124.88
0.0,0.9702,124.88
0.0,0.9702,124.89
0.0,0.9702,124.89
0.0,0.9702,124.85
0.0,0.9702,124.84
0.0001,0.9702,124.83
0.0,0.9702,124.87
0.0,0.9702,124.87
0.0,0.9702,124.89
0.0,0.9702,124.91
0.0,0.9702,124.91
0.0,0.9702,124.87
0.0,0.9702,124.85
0.0,0.9702,124.89
0.0,0.9702,124.91
0.0,0.9702,124.88
0.0,0.9702,124.81
0.0001,0.9702,124.8
0.0,0.9702,124.86
0.0,0.9698,124.87
0.0,0.9698,124.88
0.0,0.9698,124.87
0.0,0.9698,124.83
0.0,0.9698,124.84
0.0,0.9698,124.85
0.0,0.9698,124.87
0.0,0.9698,124.86
0.0,0.9698,124.86
0.0,0.9698,124.85
0.0,0.9702,124.87
0.0,0.9702,124.85
0.0,0.9702,124.77
0.0,0.9702,124.75
0.0,0.9702,124.8
0.0,0.9702,124.83
0.0,0.9702,124.85
0.004,0.9702,124.52
0.0031,0.9702,124.58
0.0003,0.9702,124.72
0.0,0.9699,124.78
0.0,0.9699,124.83
0.0,0.9699,124.89
0.0,0.9699,124.85
0.0,0.9699,124.82
0.0,0.9699,124.86
0.0,0.9699,124.87
0.0,0.9699,124.83
0.0064,0.9699,124.36
0.1126,0.9699,120.68
0.4002,0.7513,102.75
0.8034,0.7513,125.72
0.7108,0.7513,138.65
0.6341,0.7513,135.24
0.6337,0.7513,134.71
0.6263,0.7513,131.52
0.6168,0.7513,130.85
0.6184,0.7513,133.76
0.6114,0.7513,133.42
0.6079,0.7513,133.53
0.6,0.552,133.19
0.5992,0.552,131.15
0.5998,0.552,128.33
0.558,0.552,127.17
0.5148,0.552,128.22
0.5071,0.552,126.38
0.4813,0.552,124.99
0.5208,0.552,125.97
0.5118,0.552,126.59
0.517,0.552,126.53
0.5155,0.5185,126.53
0.5128,0.5185,126.52
0.5119,0.5185,126.14
0.5136,0.5185,126.1
0.5196,0.5185,125.75
0.5222,0.5185,125.23
0.5184,0.5185,125.59
0.5083,0.5185,125.81
0.5101,0.5185,125.67
0.5058,0.5185,125.76
0.5057,0.6348,125.6
0.5092,0.6348,125.81
0.4948,0.6348,126.1
0.4879,0.6348,126.18
0.4866,0.6348,125.97
0.4872,0.6348,125.77
0.4802,0.6348,125.6
0.449,0.6348,125.63
0.4006,0.6348,126.57
0.3662,0.6348,126.06
0.3478,0.5997,126.47
0.3057,0.5997,129.4
0.2951,0.5997,126.59
0.3658,0.5997,127.24
0.368,0.5997,126.6
0.3597,0.5997,127.46
0.3439,0.5997,127.22
0.3283,0.5997,128.25
0.2833,0.5997,128.42
0.2856,0.5997,128.04
0.3053,0.524,129.51
0.2937,0.524,129.27
0.3359,0.524,141.77
0.3006,0.524,132.35
0.265,0.524,125.22
0.2658,0.524,123.04
0.2516,0.524,123.43
0.2426,0.524,125.55
0.2355,0.524,124.65
0.2261,0.524,124.7
0.2105,0.586,124.69
0.1987,0.586,124.55
0.1894,0.586,124.45
0.1949,0.586,124.95
0.1828,0.586,124.69
0.1835,0.586,124.48
0.1807,0.586,124.54
0.1688,0.586,124.57
0.1733,0.586,123.76
0.1771,0.586,123.45
0.1648,0.6032,123.48
0.1479,0.6032,123.85
0.1395,0.6032,123.88
0.1295,0.6032,124.22
0.1356,0.6032,124.7
0.1233,0.6032,124.64
0.1211,0.6032,124.33
0.1399,0.6032,124.17
0.1457,0.6032,124.07
0.1419,0.6032,124.22
0.1123,0.6274,125.0
0.1025,0.6274,125.28
0.0936,0.6274,125.25
0.0975,0.6274,126.09
0.0857,0.6274,125.82
0.0756,0.6274,125.24
0.0696,0.6274,125.65
0.0825,0.6274,125.78
0.0741,0.6274,125.33
0.0612,0.6274,125.08
0.0514,0.6221,125.28
0.0562,0.6221,125.95
0.1422,0.6221,134.74
0.1569,0.6221,134.5
0.0804,0.6221,128.26
0.0734,0.6221,130.58
0.1712,0.6221,140.79
0.1286,0.6221,134.23
0.1173,0.6221,129.78
0.0864,0.6221,130.86
0.0331,0.7613,121.4
