motion,ssim,brightness
1.0,1.0,225.87
1.0,1.0,247.07
1.0,1.0,216.63
1.0,1.0,174.69
1.0,1.0,136.06
0.9986,1.0,106.68
0.9986,1.0,106.47
0.9958,1.0,106.59
0.8908,0.6417,106.61
0.0009,0.6417,106.51
0.0009,0.6417,106.39
0.0001,0.6417,106.4
0.0001,0.6417,106.42
0.0002,0.6417,106.4
0.0002,0.6417,106.44
0.0002,0.6417,106.41
0.0001,0.6417,106.4
0.0001,0.6417,106.41
0.0001,0.9434,106.43
0.0001,0.9434,106.4
0.0,0.9434,106.44
0.0,0.9434,106.43
0.0,0.9434,106.44
0.0,0.9434,106.44
0.0,0.9434,106.44
0.0001,0.9434,106.44
0.0,0.9434,106.41
0.0,0.9434,106.44
0.0,0.9436,106.41
0.0004,0.9436,106.35
0.0001,0.9436,106.37
0.0,0.9436,106.4
0.0,0.9436,106.41
0.0,0.9436,106.43
0.0,0.9436,106.43
0.0,0.9436,106.42
0.0,0.9436,106.44
0.0001,0.9436,106.48
0.0003,0.9428,106.51
0.0004,0.9428,106.52
0.0006,0.9428,106.53
0.0005,0.9428,106.52
0.0005,0.9428,106.52
0.0005,0.9428,106.53
0.0004,0.9428,106.52
0.0004,0.9428,106.51
0.0003,0.9428,106.52
0.0003,0.9428,106.52
0.0001,0.9439,106.52
0.0002,0.9439,106.52
0.0002,0.9439,106.49
0.0002,0.9439,106.5
0.0002,0.9439,106.53
0.0001,0.9439,106.52
0.0001,0.9439,106.52
0.0001,0.9439,106.53
0.0001,0.9439,106.49
0.0,0.9439,106.5
0.0,0.9439,106.5
0.0,0.9439,106.49
0.0,0.9439,106.49
0.0,0.9439,106.49
0.0,0.9439,106.52
0.0,0.9439,106.48
0.0,0.9439,106.49
0.0,0.9439,106.47
0.0,0.9439,106.46
0.0,0.9439,106.45
0.0,0.9438,106.48
0.0,0.9438,106.49
0.0,0.9438,106.45
0.0,0.9438,106.45
0.0,0.9438,106.45
0.0,0.9438,106.39
0.0,0.9438,106.36
0.0,0.9438,106.37
0.0,0.9438,106.38
0.0,0.9438,106.4
0.0,0.9437,106.41
0.0,0.9437,106.44
0.0,0.9437,106.42
0.0003,0.9437,106.41
0.0002,0.9437,106.43
0.0,0.9437,106.33
0.0,0.9437,106.4
0.0,0.9437,106.34
0.0001,0.9437,106.28
0.0003,0.9437,106.28
0.0,0.943,106.3
0.0,0.943,106.36
0.0002,0.943,106.38
0.0002,0.943,106.4
0.0002,0.943,106.44
0.0002,0.943,106.45
0.0002,0.943,106.42
0.0002,0.943,106.4
0.0001,0.943,106.4
0.0001,0.943,106.4
0.0,0.9426,106.24
0.3695,0.9426,82.1
0.9401,0.9426,87.07
0.9388,0.9426,203.22
0.8776,0.9426,138.58
0.8525,0.9426,157.26
0.9644,0.9426,167.03
0.9476,0.9426,100.93
0.8784,0.9426,144.46
0.8784,0.9426,153.13
0.9183,0.6016,132.89
0.9559,0.6016,146.37
0.4808,0.6016,88.04
0.8959,0.6016,164.64
0.8939,0.6016,165.91
0.8229,0.6016,113.8
0.7567,0.6016,195.03
0.8392,0.6016,205.61
0.8908,0.6016,130.39
0.9104,0.6016,169.59
0.9133,0.5691,160.05
0.835,0.5691,89.22
0.9134,0.5691,140.82
0.9461,0.5691,119.61
0.9137,0.5691,94.43
0.8549,0.5691,118.46
0.8919,0.5691,103.98
0.9266,0.5691,151.75
0.8533,0.5691,177.93
0.9287,0.5691,107.5
0.8142,0.6693,124.45
0.8698,0.6693,111.4
0.9008,0.6693,145.34
0.793,0.6693,203.87
0.7397,0.6693,165.16
0.9203,0.6693,101.29
0.7867,0.6693,146.31
0.8652,0.6693,98.17
0.6744,0.6693,196.78
0.6998,0.6693,194.97
0.8654,0.4608,122.46
0.8255,0.4608,194.61
0.786,0.4608,146.42
0.6137,0.4608,179.48
0.7611,0.4608,166.82
0.8326,0.4608,90.31
0.882,0.4608,133.53
0.8068,0.4608,182.94
0.8809,0.4608,180.52
0.6629,0.4608,213.51
0.5655,0.6109,171.26
0.8717,0.6109,103.95
0.7456,0.6109,136.41
0.8209,0.6109,131.49
0.5539,0.6109,203.29
0.5036,0.6109,172.57
0.8726,0.6109,108.39
0.712,0.6109,161.54
0.7418,0.6109,116.33
0.4455,0.6109,190.1
0.5505,0.7608,183.73
0.8041,0.7608,119.9
0.8532,0.7608,163.58
0.731,0.7608,186.31
0.7433,0.7608,184.32
0.5465,0.7608,215.75
0.4173,0.7608,180.92
0.8422,0.7608,95.73
0.7079,0.7608,167.82
0.7735,0.7608,164.88
0.3724,0.8049,194.8
0.5133,0.8049,185.21
0.7232,0.8049,127.89
0.7722,0.8049,108.92
0.7049,0.8049,118.35
0.6258,0.8049,155.49
0.5412,0.8049,166.12
0.7653,0.8049,102.24
0.8164,0.8049,91.98
0.5994,0.8049,168.09
0.7552,0.489,113.22
0.588,0.489,164.59
0.3852,0.489,189.72
0.6175,0.489,135.88
0.739,0.489,109.51
0.7453,0.489,123.43
0.5736,0.489,122.2
0.4809,0.489,159.41
0.7536,0.489,133.69
0.7006,0.489,90.51
0.7143,0.7415,122.91
0.4934,0.7415,118.83
0.6534,0.7415,89.35
0.336,0.7415,176.88
0.3158,0.7415,192.89
0.5618,0.7415,127.05
0.4138,0.7415,139.41
0.4801,0.7415,130.67
0.6611,0.7415,134.53
0.2381,0.7415,186.65
0.409,0.6328,161.0
0.7053,0.6328,89.96
