motion,ssim,brightness
1.0,1.0,247.79
1.0,1.0,248.77
1.0,1.0,232.45
1.0,1.0,204.6
0.9024,1.0,153.89
0.9987,1.0,112.98
0.9987,1.0,109.95
0.9978,1.0,109.97
0.9631,1.0,109.86
0.0001,0.6175,109.97
0.0023,0.6175,109.58
0.0026,0.6175,109.53
0.0014,0.6175,109.62
0.0009,0.6175,109.7
0.0008,0.6175,109.8
0.0007,0.6175,109.84
0.0003,0.6175,110.1
0.0008,0.6175,110.19
0.0003,0.6175,110.16
0.0052,0.9337,109.83
0.0091,0.9337,109.5
0.0066,0.9337,109.57
0.0047,0.9337,109.68
0.0043,0.9337,109.7
0.0036,0.9337,109.76
0.0022,0.9337,109.79
0.0021,0.9337,109.74
0.0015,0.9337,109.76
0.001,0.9337,109.75
0.0003,0.932,109.75
0.0002,0.932,109.71
0.0013,0.932,109.67
0.0024,0.932,109.58
0.0017,0.932,109.59
0.0011,0.932,109.58
0.002,0.932,109.47
0.0015,0.932,109.5
0.0018,0.932,109.49
0.0027,0.932,109.43
0.0028,0.9319,109.4
0.0027,0.9319,109.4
0.0028,0.9319,109.41
0.0022,0.9319,109.42
0.0017,0.9319,109.45
0.0015,0.9319,109.48
0.0007,0.9319,109.56
0.0011,0.9319,109.52
0.0012,0.9319,109.5
0.0019,0.9319,109.41
0.002,0.9392,109.4
0.0018,0.9392,109.4
0.002,0.9392,109.39
0.0021,0.9392,109.37
0.0021,0.9392,109.36
0.0021,0.9392,109.35
0.0022,0.9392,109.35
0.002,0.9392,109.36
0.0016,0.9392,109.35
0.0016,0.9392,109.35
0.0004,0.9407,109.42
0.0002,0.9407,109.49
0.0003,0.9407,109.47
0.0003,0.9407,109.47
0.0005,0.9407,109.46
0.0007,0.9407,109.43
0.0001,0.9407,109.51
0.0001,0.9407,109.45
0.0001,0.9407,109.48
0.0007,0.9407,109.43
0.0002,0.9385,109.46
0.0005,0.9385,109.44
0.0008,0.9385,109.41
0.0009,0.9385,109.41
0.0014,0.9385,109.37
0.0012,0.9385,109.39
0.0014,0.9385,109.34
0.0016,0.9385,109.35
0.0014,0.9385,109.35
0.0023,0.9385,109.27
0.003,0.9351,109.18
0.0027,0.9351,109.21
0.0023,0.9351,109.26
0.0023,0.9351,109.24
0.002,0.9351,109.27
0.0024,0.9351,109.23
0.0023,0.9351,109.23
0.0023,0.9351,109.23
0.0033,0.9351,109.12
0.0026,0.9351,109.17
0.0034,0.9384,109.14
0.0034,0.9384,109.13
0.0034,0.9384,109.13
0.0032,0.9384,109.13
0.003,0.9384,109.15
0.0028,0.9384,109.14
0.0021,0.9384,109.19
0.0017,0.9384,109.26
0.0009,0.9384,109.35
0.0012,0.9384,109.29
0.0015,0.937,109.25
0.0008,0.937,109.34
0.0009,0.937,109.37
0.0006,0.937,109.38
0.0004,0.937,109.33
0.0001,0.937,109.36
0.0002,0.937,109.34
0.0001,0.937,109.34
0.0006,0.937,109.27
0.0006,0.937,109.23
0.0007,0.9394,109.23
0.0008,0.9394,109.21
0.0022,0.9394,109.1
0.0024,0.9394,109.08
0.0017,0.9394,109.15
0.0015,0.9394,109.18
0.0013,0.9394,109.21
0.0023,0.9394,109.06
0.0024,0.9394,109.05
0.0028,0.9394,109.05
0.0027,0.9324,109.06
0.0029,0.9324,109.01
0.0032,0.9324,108.96
0.0034,0.9324,108.97
0.0028,0.9324,109.02
0.0031,0.9324,109.02
0.003,0.9324,108.97
0.0029,0.9324,108.98
0.003,0.9324,108.99
0.0024,0.9324,109.01
0.0024,0.9399,109.06
0.0017,0.9399,109.13
0.0015,0.9399,109.17
0.0016,0.9399,109.12
0.0015,0.9399,109.13
0.0017,0.9399,109.1
0.0016,0.9399,109.11
0.0014,0.9399,109.12
0.0013,0.9399,109.11
0.0013,0.9399,109.1
0.0012,0.9401,109.08
0.0011,0.9401,109.08
0.0012,0.9401,109.08
0.0011,0.9401,109.08
0.0009,0.9401,109.12
0.001,0.9401,109.11
0.001,0.9401,109.07
0.0008,0.9401,109.08
0.0006,0.9401,109.12
0.0002,0.9401,109.21
0.0001,0.9356,109.17
0.0001,0.9356,109.23
0.0001,0.9356,109.17
0.0001,0.9356,109.19
0.0002,0.9356,109.23
0.0001,0.9356,109.29
0.0001,0.9356,109.23
0.0001,0.9356,109.23
0.0001,0.9356,109.15
0.0,0.9356,109.1
0.0001,0.9413,109.13
0.0001,0.9413,109.15
0.0,0.9413,109.11
0.0,0.9413,109.08
0.0001,0.9413,109.07
0.0002,0.9413,109.04
0.0003,0.9413,109.02
0.0001,0.9413,109.06
0.0002,0.9413,109.01
0.0001,0.9413,109.05
0.0,0.9399,109.07
0.0,0.9399,109.15
0.0,0.9399,109.14
0.0,0.9399,109.09
0.0,0.9399,109.11
0.0,0.9399,109.1
0.0,0.9399,109.09
0.0,0.9399,109.08
0.0,0.9399,109.07
0.0,0.9399,109.07
0.0,0.9415,109.06
0.0,0.9415,109.08
0.0,0.9415,109.11
0.0,0.9415,109.1
0.0,0.9415,109.03
0.0001,0.9415,109.02
0.0001,0.9415,109.01
0.0001,0.9415,109.02
0.0001,0.9415,108.99
0.0,0.9415,109.0
0.0,0.9398,108.99
0.0,0.9398,108.99
0.0,0.9398,108.99
0.0001,0.9398,108.99
0.0,0.9398,109.0
0.0002,0.9398,108.97
0.0003,0.9398,108.94
0.0004,0.9398,108.95
0.0004,0.9398,108.96
0.0003,0.9398,108.97
0.0003,0.9406,108.97
