motion,ssim,brightness
1.0,1.0,106.49
1.0,1.0,107.01
0.9654,1.0,107.01
0.9621,1.0,107.16
0.0,1.0,107.25
0.0,1.0,107.03
0.0,1.0,107.02
0.0,1.0,107.03
0.0,1.0,107.04
0.0,0.9394,107.03
0.0,0.9394,107.08
0.0,0.9394,107.06
0.0,0.9394,107.11
0.0,0.9394,107.12
0.0,0.9394,107.15
0.0,0.9394,107.12
0.0,0.9394,107.16
0.0,0.9394,107.2
0.0,0.9394,107.25
0.0,0.9423,107.23
0.0,0.9423,107.23
0.0,0.9423,107.25
0.0,0.9423,107.31
0.0,0.9423,107.37
0.0,0.9423,107.39
0.0,0.9423,107.45
0.0,0.9423,107.45
0.0,0.9423,107.45
0.0,0.9423,107.48
0.0,0.9399,107.5
0.0,0.9399,107.51
0.0,0.9399,107.48
0.0,0.9399,107.48
0.0,0.9399,107.51
0.0,0.9399,107.53
0.0,0.9399,107.55
0.0,0.9399,107.52
0.0,0.9399,107.51
0.0,0.9399,107.55
0.0,0.943,107.55
0.0,0.943,107.57
0.0,0.943,107.53
0.0,0.943,107.56
0.0,0.943,107.59
0.0,0.943,107.62
0.0,0.943,107.58
0.0,0.943,107.55
0.0,0.943,107.54
0.0,0.943,107.58
0.0,0.9435,107.56
0.0,0.9435,107.56
0.0,0.9435,107.6
0.0,0.9435,107.61
0.0,0.9435,107.6
0.0,0.9435,107.6
0.0,0.9435,107.63
0.0,0.9435,107.63
0.0,0.9435,107.61
0.0,0.9435,107.59
0.0,0.9434,107.6
0.0,0.9434,107.61
0.0,0.9434,107.58
0.0,0.9434,107.56
0.0,0.9434,107.57
0.0,0.9434,107.53
0.0,0.9434,107.54
0.0,0.9434,107.58
0.0,0.9434,107.55
0.0,0.9434,107.55
0.0,0.9433,107.59
0.0,0.9433,107.63
0.0,0.9433,107.67
0.0,0.9433,107.68
0.0,0.9433,107.69
0.0,0.9433,107.69
0.0,0.9433,107.66
0.0,0.9433,107.67
0.0,0.9433,107.72
0.0,0.9433,107.71
0.0035,0.9381,107.93
0.003,0.9381,107.91
0.0064,0.9381,108.07
0.0065,0.9381,108.0
0.0082,0.9381,108.18
0.0098,0.9381,108.26
0.0085,0.9381,108.18
0.0089,0.9381,108.22
0.0078,0.9381,108.13
0.0058,0.9381,107.97
0.0039,0.9404,107.85
0.0005,0.9404,107.43
0.0011,0.9404,106.9
0.0052,0.9404,106.29
0.011,0.9404,105.86
0.0102,0.9404,105.87
0.0141,0.9404,105.61
0.0191,0.9404,105.3
0.0285,0.9404,104.66
0.0385,0.9404,103.87
0.9411,0.137,6.19
0.8817,0.137,22.08
0.8595,0.137,40.84
0.8584,0.137,41.51
0.8585,0.137,42.1
0.8571,0.137,42.61
0.8575,0.137,42.98
0.8565,0.137,43.24
0.8549,0.137,43.55
0.8554,0.137,44.03
0.8552,0.2629,44.44
0.8545,0.2629,44.43
0.8544,0.2629,44.88
0.8536,0.2629,44.75
0.8537,0.2629,45.25
0.8521,0.2629,45.41
0.8515,0.2629,42.11
0.85,0.2629,43.25
0.8487,0.2629,44.07
0.847,0.2629,44.81
0.8456,0.893,45.63
0.8446,0.893,46.13
0.8448,0.893,46.74
0.8428,0.893,46.93
0.8418,0.893,47.39
0.8413,0.893,47.8
0.837,0.893,48.64
0.8338,0.893,47.93
0.831,0.893,48.97
0.8266,0.893,49.45
0.8227,0.888,50.47
0.8184,0.888,50.62
0.8153,0.888,50.39
0.8136,0.888,50.28
0.8104,0.888,50.23
0.8076,0.888,50.33
0.8051,0.888,50.25
0.6436,0.888,49.55
0.399,0.888,48.68
0.1918,0.888,47.53
0.0721,0.8879,46.33
0.0213,0.8879,46.86
0.004,0.8879,47.41
0.0009,0.8879,47.49
0.0001,0.8879,46.81
0.0,0.8879,46.24
0.0,0.8879,46.44
0.0,0.8879,47.6
0.0,0.8879,47.54
0.0,0.8879,46.68
0.0,0.8873,41.59
0.0,0.8873,42.13
0.0,0.8873,42.74
0.0,0.8873,43.54
0.0,0.8873,43.74
0.0,0.8873,43.53
0.0,0.8873,43.54
0.0,0.8873,43.45
0.0,0.8873,43.65
0.0,0.8873,43.8
0.0,0.8903,44.02
0.0,0.8903,43.52
0.0,0.8903,43.63
0.0,0.8903,43.71
0.0,0.8903,43.8
0.0,0.8903,43.79
0.0,0.8903,43.92
0.0,0.8903,43.68
0.0,0.8903,43.73
0.0,0.8903,43.6
0.0,0.892,43.54
0.0,0.892,43.53
0.0,0.892,42.78
0.0,0.892,42.39
0.0,0.892,42.09
0.0,0.892,42.84
0.0,0.892,42.63
0.0,0.892,42.95
0.0,0.892,43.01
0.0,0.892,43.09
0.0,0.8905,43.01
0.0,0.8905,43.06
0.0,0.8905,43.1
0.0,0.8905,43.14
0.0,0.8905,43.05
0.0,0.8905,42.96
0.0,0.8905,42.83
0.0,0.8905,42.96
0.0,0.8905,42.93
0.0,0.8905,43.15
0.0,0.8895,43.34
0.0,0.8895,43.4
0.0,0.8895,43.38
0.0,0.8895,42.71
0.0,0.8895,41.37
0.0,0.8895,32.31
0.0,0.8895,42.07
0.0,0.8895,43.54
0.0,0.8895,43.58
0.0,0.8895,43.38
0.0,0.8909,41.26
