motion,ssim,brightness
1.0,1.0,225.54
0.0571,1.0,244.77
0.1308,1.0,230.92
0.4337,1.0,201.65
0.694,1.0,162.38
0.8449,1.0,121.24
0.0,1.0,109.59
0.0,1.0,109.41
0.0,1.0,109.4
0.0,0.6586,109.38
0.0,0.6586,109.36
0.0,0.6586,109.39
0.0,0.6586,109.41
0.0,0.6586,109.4
0.0,0.6586,109.39
0.0,0.6586,109.38
0.0,0.6586,109.38
0.0,0.6586,109.39
0.0,0.6586,109.41
0.0,0.941,109.41
0.0,0.941,109.4
0.0,0.941,109.4
0.0,0.941,109.38
0.0,0.941,109.4
0.0,0.941,109.4
0.0,0.941,109.39
0.0,0.941,109.38
0.0,0.941,109.35
0.0,0.941,109.39
0.0,0.9418,109.41
0.0,0.9418,109.39
0.0,0.9418,109.39
0.0,0.9418,109.39
0.0,0.9418,109.39
0.0,0.9418,109.39
0.0,0.9418,109.41
0.0,0.9418,109.42
0.0,0.9418,109.41
0.0,0.9418,109.41
0.0,0.941,109.33
0.0,0.941,109.36
0.0,0.941,109.35
0.0,0.941,109.4
0.0,0.941,109.51
0.0,0.941,109.49
0.0,0.941,109.47
0.0,0.941,109.42
0.0,0.941,109.12
0.0004,0.941,109.17
0.0005,0.9393,109.15
0.0004,0.9393,109.14
0.0019,0.9393,109.03
0.0035,0.9393,108.91
0.0034,0.9393,108.92
0.0029,0.9393,108.92
0.0021,0.9393,108.95
0.0014,0.9393,108.95
0.0011,0.9393,108.96
0.0001,0.9393,108.98
0.0,0.94,108.98
0.0,0.94,108.96
0.0006,0.94,108.94
0.0008,0.94,108.91
0.0,0.94,108.97
0.0,0.94,109.16
0.0,0.94,109.36
0.0,0.94,109.38
0.0,0.94,109.4
0.0,0.94,109.4
0.0,0.9395,109.41
0.0,0.9395,109.41
0.0,0.9395,109.4
0.0,0.9395,109.39
0.0,0.9395,109.41
0.0,0.9395,109.4
0.0,0.9395,109.38
0.0,0.9395,109.4
0.0,0.9395,109.39
0.0,0.9395,109.67
0.0,0.9412,109.49
0.0,0.9412,109.56
0.0,0.9412,109.57
0.0,0.9412,109.62
0.0,0.9412,109.59
0.0,0.9412,109.54
0.0,0.9412,109.54
0.0,0.9412,109.57
0.0,0.9412,109.59
0.0,0.9412,109.6
0.0,0.9412,109.59
0.0,0.9412,109.57
0.0,0.9412,109.59
0.0,0.9412,109.6
0.0,0.9412,109.62
0.0,0.9412,109.61
0.0,0.9412,109.53
0.0,0.9412,109.56
0.0,0.9412,109.58
0.0,0.9412,109.6
0.0012,0.9398,109.19
0.3045,0.9398,89.66
0.6869,0.9398,67.9
0.6055,0.9398,148.06
0.8158,0.9398,102.98
0.6404,0.9398,124.86
0.6654,0.9398,150.69
0.4276,0.9398,87.47
0.5094,0.9398,155.63
0.6097,0.9398,146.4
0.7095,0.702,115.57
0.192,0.702,188.44
0.5254,0.702,154.11
0.8623,0.702,112.84
0.601,0.702,164.19
0.7992,0.702,113.32
0.387,0.702,165.94
0.1733,0.702,197.51
0.4946,0.702,149.24
0.8295,0.702,113.75
0.6985,0.7403,128.94
0.758,0.7403,97.55
0.2904,0.7403,176.56
0.2835,0.7403,213.96
0.3564,0.7403,154.52
0.4634,0.7403,169.27
0.6924,0.7403,136.79
0.8171,0.7403,102.35
0.1584,0.7403,186.28
0.3811,0.7403,162.9
0.8079,0.5428,114.98
0.3816,0.5428,181.15
0.7156,0.5428,121.17
0.4512,0.5428,160.91
0.2197,0.5428,187.92
0.5912,0.5428,140.03
0.7404,0.5428,107.77
0.4165,0.5428,166.69
0.6103,0.5428,128.11
0.1492,0.5428,180.6
0.2743,0.5499,178.4
0.7668,0.5499,95.38
0.6668,0.5499,111.22
0.6858,0.5499,108.82
0.679,0.5499,120.64
0.6054,0.5499,133.57
0.3676,0.5499,107.23
0.624,0.5499,81.16
0.5007,0.5499,119.4
0.4,0.5499,121.91
0.0767,0.8018,190.38
0.1341,0.8018,177.47
0.6379,0.8018,97.1
0.2537,0.8018,180.38
0.3258,0.8018,139.68
0.2913,0.8018,158.27
0.0689,0.8018,182.57
0.2804,0.8018,147.19
0.427,0.8018,110.73
0.2028,0.8018,150.1
0.3952,0.478,99.69
0.1375,0.478,169.98
0.0258,0.478,201.0
0.3509,0.478,140.09
0.238,0.478,135.13
0.3258,0.478,116.91
0.3222,0.478,116.53
0.0636,0.478,177.36
0.3172,0.478,143.51
0.5064,0.478,85.4
0.1218,0.6265,169.85
0.2673,0.6265,124.36
0.2558,0.6265,145.05
0.034,0.6265,184.01
