motion,ssim,brightness
1.0,1.0,108.11
0.0,1.0,108.16
0.0,1.0,108.24
0.0,1.0,108.45
0.0,1.0,108.63
0.0,1.0,108.72
0.0,1.0,108.65
0.0,1.0,108.7
0.0,1.0,108.68
0.0,0.9407,108.68
0.0,0.9407,108.69
0.0,0.9407,108.68
0.0,0.9407,108.68
0.0,0.9407,108.67
0.0,0.9407,108.68
0.0,0.9407,108.69
0.0,0.9407,108.69
0.0,0.9407,108.69
0.0,0.9407,108.69
0.0,0.9411,108.71
0.0,0.9411,108.72
0.0,0.9411,108.73
0.0,0.9411,108.69
0.0,0.9411,108.72
0.0,0.9411,108.74
0.0,0.9411,108.74
0.0,0.9411,108.76
0.0,0.9411,108.77
0.0,0.9411,108.78
0.0,0.9412,108.78
0.0,0.9412,108.74
0.0,0.9412,108.74
0.0,0.9412,108.73
0.0,0.9412,108.73
0.0,0.9412,108.77
0.0,0.9412,108.77
0.0,0.9412,108.83
0.0,0.9412,108.88
0.0,0.9412,108.79
0.0,0.941,108.75
0.0,0.941,108.84
0.0,0.941,108.86
0.0,0.941,108.84
0.0,0.941,108.86
0.0,0.941,108.86
0.0,0.941,108.84
0.0,0.941,108.83
0.0,0.941,108.82
0.0,0.941,108.84
0.0,0.9407,108.84
0.0,0.9407,108.84
0.0,0.9407,108.83
0.0,0.9407,108.81
0.0,0.9407,108.85
0.0,0.9407,108.82
0.0,0.9407,108.8
0.0,0.9407,108.79
0.0,0.9407,108.79
0.0,0.9407,108.78
0.0,0.9409,108.77
0.0,0.9409,108.77
0.0,0.9409,108.76
0.0,0.9409,108.79
0.0,0.9409,108.74
0.0,0.9409,108.77
0.0,0.9409,108.76
0.0,0.9409,108.76
0.0,0.9409,108.77
0.0,0.9409,108.77
0.0,0.941,108.74
0.0013,0.941,108.59
0.0013,0.941,108.59
0.0017,0.941,108.58
0.0024,0.941,108.52
0.0054,0.941,108.29
0.0045,0.941,108.35
0.0029,0.941,108.46
0.0021,0.941,108.54
0.0025,0.941,108.52
0.0029,0.9393,108.49
0.0026,0.9393,108.51
0.0024,0.9393,108.55
0.0021,0.9393,108.57
0.0021,0.9393,108.56
0.0021,0.9393,108.55
0.002,0.9393,108.57
0.0017,0.9393,108.57
0.0,0.9393,108.56
0.0,0.9393,108.58
0.0,0.9408,108.56
0.0001,0.9408,108.51
0.002,0.9408,108.4
0.0027,0.9408,108.36
0.0039,0.9408,108.28
0.0058,0.9408,108.21
0.0106,0.9408,107.88
0.0279,0.9408,106.67
0.0993,0.9408,102.02
0.1482,0.9408,99.52
0.9788,0.2357,12.04
0.8946,0.2357,40.05
0.8937,0.2357,41.38
0.8935,0.2357,41.54
0.893,0.2357,42.39
0.8926,0.2357,42.84
0.893,0.2357,42.93
0.8932,0.2357,42.93
0.8921,0.2357,43.66
0.8924,0.2357,44.13
0.8917,0.479,43.8
0.8918,0.479,43.46
0.8913,0.479,43.83
0.8908,0.479,43.77
0.8897,0.479,44.73
0.891,0.479,48.0
0.8902,0.479,48.42
0.8884,0.479,48.27
0.8832,0.479,48.46
0.8626,0.479,48.23
0.7936,0.8962,44.17
0.7116,0.8962,43.76
0.0398,0.8962,44.43
0.0,0.8962,45.39
0.0,0.8962,46.53
0.0,0.8962,46.6
0.0,0.8962,46.41
0.0,0.8962,46.49
0.0,0.8962,46.23
0.0,0.8962,46.23
0.0,0.8937,46.31
0.0,0.8937,46.28
0.0,0.8937,46.25
0.0,0.8937,46.14
0.0,0.8937,46.19
0.0,0.8937,46.18
0.0,0.8937,46.23
0.0,0.8937,46.2
0.0,0.8937,46.3
0.0,0.8937,46.32
0.0,0.8942,46.35
0.0,0.8942,46.24
0.0,0.8942,46.35
0.0,0.8942,46.15
0.0,0.8942,46.23
0.0,0.8942,46.11
0.0,0.8942,46.08
0.0,0.8942,46.27
0.0,0.8942,45.51
0.0,0.8942,45.45
0.0,0.8932,45.0
0.0,0.8932,44.97
0.0,0.8932,44.82
0.0,0.8932,44.63
0.0,0.8932,44.65
0.0,0.8932,44.73
0.0,0.8932,44.73
0.0,0.8932,44.86
0.0,0.8932,44.85
0.0,0.8932,44.61
0.0,0.8934,45.04
0.0,0.8934,45.49
0.0,0.8934,45.39
0.0,0.8934,45.7
0.0,0.8934,45.68
0.0,0.8934,45.45
0.0,0.8934,45.29
0.0,0.8934,45.0
0.0,0.8934,44.97
0.0,0.8934,44.96
0.0,0.8938,45.04
0.0,0.8938,45.01
0.0,0.8938,45.47
0.0,0.8938,45.5
0.0,0.8938,45.59
0.0,0.8938,45.98
0.0,0.8938,46.12
0.0,0.8938,46.36
0.0,0.8938,46.15
0.0,0.8938,45.84
0.0,0.8942,45.28
0.0,0.8942,45.24
0.0,0.8942,45.35
0.0,0.8942,45.35
0.0,0.8942,45.3
0.0,0.8942,45.27
0.0,0.8942,45.24
0.0,0.8942,45.3
0.0,0.8942,45.44
0.0,0.8942,45.38
0.0,0.8922,45.34
0.0,0.8922,45.37
0.0,0.8922,45.32
0.0,0.8922,45.46
0.0,0.8922,45.62
0.0,0.8922,45.61
0.0,0.8922,45.64
0.0,0.8922,45.48
0.0,0.8922,45.39
0.0,0.8922,45.48
0.0,0.8934,45.96
