motion,ssim,brightness
1.0,1.0,234.87
0.0532,1.0,229.2
0.2165,1.0,216.38
0.5754,1.0,187.74
0.7915,1.0,148.89
0.8417,1.0,109.49
0.0,1.0,105.68
0.0,1.0,105.54
0.0,1.0,105.55
0.0,0.6055,105.57
0.0,0.6055,105.49
0.0,0.6055,105.59
0.0,0.6055,105.64
0.0,0.6055,105.63
0.0,0.6055,105.69
0.0,0.6055,105.73
0.0,0.6055,105.78
0.0,0.6055,105.82
0.0,0.6055,105.85
0.0,0.937,105.9
0.0,0.937,105.87
0.0,0.937,105.88
0.0,0.937,105.95
0.0,0.937,106.01
0.0,0.937,106.02
0.0,0.937,106.0
0.0,0.937,105.97
0.0,0.937,105.98
0.0,0.937,106.02
0.0,0.9418,106.0
0.0,0.9418,106.05
0.0,0.9418,106.06
0.0,0.9418,106.08
0.0,0.9418,106.06
0.0,0.9418,106.09
0.0,0.9418,106.09
0.0,0.9418,106.15
0.0,0.9418,106.11
0.0,0.9418,106.12
0.0,0.9407,106.22
0.0,0.9407,106.25
0.0,0.9407,106.27
0.0,0.9407,106.22
0.0,0.9407,106.31
0.0,0.9407,106.29
0.0,0.9407,106.3
0.0,0.9407,106.32
0.0,0.9407,106.32
0.0,0.9407,106.37
0.0,0.9403,106.39
0.0,0.9403,106.42
0.0,0.9403,106.41
0.0,0.9403,106.38
0.0,0.9403,106.41
0.0,0.9403,106.44
0.0,0.9403,106.43
0.0,0.9403,106.38
0.0,0.9403,106.35
0.0,0.9403,106.42
0.0,0.9424,106.44
0.0,0.9424,106.44
0.0,0.9424,106.37
0.0,0.9424,106.42
0.0,0.9424,106.49
0.0,0.9424,106.46
0.0,0.9424,106.49
0.0,0.9424,106.46
0.0,0.9424,106.44
0.0,0.9424,106.38
0.0,0.9407,106.36
0.0,0.9407,106.3
0.0,0.9407,106.34
0.0,0.9407,106.45
0.0,0.9407,106.5
0.0,0.9407,106.54
0.0,0.9407,106.57
0.0,0.9407,106.48
0.0,0.9407,106.48
0.0,0.9407,106.5
0.0,0.9386,106.52
0.0,0.9386,106.55
0.0,0.9386,106.54
0.0,0.9386,106.51
0.0,0.9386,106.51
0.0,0.9386,106.58
0.0,0.9386,106.56
0.0,0.9386,106.57
0.0,0.9386,106.56
0.0,0.9386,106.56
0.0,0.9424,106.57
0.0,0.9424,106.6
0.0,0.9424,106.61
0.0,0.9424,106.59
0.0,0.9424,106.62
0.0,0.9424,106.59
0.0,0.9424,106.64
0.0,0.9424,106.6
0.0,0.9424,106.58
0.0,0.9424,106.56
0.045,0.9018,102.75
0.4865,0.9018,62.64
0.3955,0.9018,197.04
0.3534,0.9018,194.41
0.7128,0.9018,126.76
0.7652,0.9018,125.46
0.7755,0.9018,141.29
0.4143,0.9018,79.29
0.7233,0.9018,130.41
0.76,0.9018,135.15
0.8256,0.5978,91.14
0.5474,0.5978,166.63
0.7447,0.5978,137.82
0.9075,0.5978,101.25
0.6898,0.5978,154.96
0.8257,0.5978,114.83
0.683,0.5978,137.69
0.5741,0.5978,173.37
0.7902,0.5978,123.87
0.5861,0.5978,157.5
0.6389,0.6172,166.97
0.7121,0.6172,148.06
0.3521,0.6172,186.54
0.6618,0.6172,149.55
0.9186,0.6172,94.24
0.692,0.6172,147.33
0.8623,0.6172,98.74
0.1725,0.6172,176.49
0.2704,0.6172,197.39
0.6443,0.6172,137.93
0.6597,0.8103,145.46
0.8498,0.8103,116.03
0.7952,0.8103,94.6
0.2479,0.8103,174.06
0.6234,0.8103,158.85
0.8865,0.8103,96.45
0.6949,0.8103,130.11
0.7872,0.8103,107.55
0.472,0.8103,152.04
0.1057,0.8103,213.0
0.1735,0.6103,196.73
0.735,0.6103,134.15
0.5405,0.6103,176.95
0.5634,0.6103,124.37
0.1216,0.6103,179.3
0.3811,0.6103,173.77
0.7997,0.6103,93.31
0.3483,0.6103,198.44
0.5114,0.6103,143.97
0.3139,0.6103,167.99
0.1902,0.8211,194.3
0.5306,0.8211,141.74
0.4602,0.8211,140.74
0.5435,0.8211,130.0
0.4701,0.8211,108.75
0.068,0.8211,186.91
0.2706,0.8211,174.52
0.6398,0.8211,113.19
0.3473,0.8211,181.11
0.3665,0.8211,126.96
0.4141,0.5945,127.93
0.0948,0.5945,186.61
0.5283,0.5945,129.72
0.3926,0.5945,160.7
0.2288,0.5945,190.93
0.2878,0.5945,126.16
0.6083,0.5945,105.5
0.3391,0.5945,153.15
0.584,0.5945,97.2
0.2676,0.5945,124.32
0.1394,0.6129,150.1
0.2209,0.6129,113.61
0.0828,0.6129,175.75
0.0676,0.6129,186.33
0.5018,0.6129,117.31
0.2371,0.6129,181.93
0.142,0.6129,149.3
0.2933,0.6129,120.77
0.0397,0.6129,203.34
0.1296,0.6129,168.43
0.3891,0.5168,103.31
0.0483,0.5168,155.14
0.1321,0.5168,122.49
0.0604,0.5168,178.15
0.053,0.5168,183.66
0.4344,0.5168,123.5
0.1254,0.5168,120.23
0.2021,0.5168,119.73
0.2251,0.5168,92.84
0.0515,0.5168,174.74
0.1071,0.4363,170.25
0.4747,0.4363,97.4
0.0258,0.4363,179.24
0.099,0.4363,132.41
0.2731,0.4363,127.28
0.0589,0.4363,192.2
0.2233,0.4363,146.31
0.2105,0.4363,133.09
0.1914,0.4363,189.87
0.1313,0.4363,125.54
0.2194,0.6183,150.17
