Motion,SSIM,Brightness
0.0,1.0,107.17
0.0971,1.0,108.62
0.0992,1.0,107.89
0.0783,0.8958,109.14
0.0603,0.8958,109.18
0.0556,0.8958,108.95
0.048,0.8958,108.86
0.0449,0.8958,108.83
0.0853,0.8958,108.22
0.3134,0.6859,88.42
0.407,0.6859,111.56
0.4377,0.6859,140.01
0.397,0.6859,105.74
0.3698,0.6859,108.26
0.3815,0.6859,106.53
0.3644,0.6609,121.34
0.3656,0.6609,118.68
0.2245,0.6609,90.19
0.3975,0.6609,127.34
0.3842,0.6609,109.52
0.3095,0.6609,96.94
0.447,0.7445,135.54
0.428,0.7445,113.56
0.1887,0.7445,115.64
0.1134,0.7445,115.8
0.0515,0.7445,115.8
0.0144,0.7445,115.82
0.0167,0.6923,115.82
0.0182,0.6923,115.78
0.1853,0.6923,112.44
0.3488,0.6923,10.76
0.0,0.6923,44.27
0.008,0.6923,44.65
0.005,0.5153,42.51
0.0047,0.5153,35.57
0.0037,0.5153,36.1
0.0049,0.5153,36.74
0.0036,0.5153,37.05
0.0053,0.5153,37.37
0.0042,0.8842,37.89
0.0048,0.8842,37.84
0.0056,0.8842,38.36
0.0058,0.8842,38.31
0.0033,0.8842,35.09
0.0035,0.8842,36.33
0.0046,0.8912,36.78
0.2931,0.8912,224.86
0.3629,0.8912,219.02
0.3994,0.8912,186.61
0.4021,0.8912,19.96
0.0005,0.8912,41.0
0.0043,0.8798,42.2
0.0046,0.8798,39.57
0.0058,0.8798,39.52
0.003,0.8798,39.58
0.0047,0.8798,40.53
0.0056,0.8798,40.55
0.0046,0.8896,43.85
0.0033,0.8896,43.76
0.259,0.8896,225.58
0.3348,0.8896,232.13
0.2209,0.8896,224.63
0.2334,0.8896,174.34
0.198,0.5303,114.24
0.0339,0.5303,114.14
0.0256,0.5303,114.15
0.0675,0.5303,114.1
0.0666,0.5303,113.73
0.0486,0.5303,113.51
0.0671,0.9061,113.5
0.1032,0.9061,113.64
0.0274,0.9061,113.61
0.0564,0.9061,113.59
0.0249,0.9061,113.6
0.0258,0.9061,113.61
0.0568,0.9101,113.61
0.0352,0.9101,113.59
0.0883,0.9101,113.62
0.0182,0.9101,113.61
0.0293,0.9101,113.58
0.0142,0.9101,113.59
0.0156,0.9215,113.56
0.1025,0.9215,113.58
0.0419,0.9215,113.7
0.0358,0.9215,113.65
0.0504,0.9215,113.98
0.0433,0.9215,114.02
0.0323,0.905,114.09
0.0307,0.905,114.14
0.0596,0.905,114.23
0.0544,0.905,114.16
0.0296,0.905,114.16
0.039,0.905,114.2
0.0336,0.9331,114.17
0.0196,0.9331,114.15
0.0349,0.9331,114.2
0.0245,0.9331,114.23
0.0264,0.9331,114.19
0.0215,0.9331,114.21
0.0373,0.9298,114.26
0.0539,0.9298,114.09
0.0282,0.9298,114.15
0.0372,0.9298,114.18
0.0215,0.9298,114.14
0.0348,0.9298,114.15
0.0683,0.9259,114.03
0.0522,0.9259,113.99
0.0254,0.9259,114.0
0.031,0.9259,113.98
0.2143,0.9259,109.65
0.3842,0.9259,9.59
0.0,0.4896,37.52
0.0045,0.4896,36.07
0.0021,0.4896,34.14
0.0017,0.4896,32.5
0.0025,0.4896,33.03
0.0047,0.4896,33.86
0.0022,0.8914,33.61
0.004,0.8914,34.27
0.0754,0.8914,220.65
0.1949,0.8914,228.29
0.3531,0.8914,226.63
0.4003,0.8914,220.0
0.4661,0.2787,183.97
0.4059,0.2787,114.46
0.224,0.2787,113.17
0.2079,0.2787,112.82
0.1881,0.2787,112.97
0.1892,0.2787,113.0
0.1803,0.6542,113.13
0.1319,0.6542,113.08
0.2057,0.6542,124.87
0.1916,0.6542,113.26
0.1645,0.6542,113.12
0.0861,0.6542,113.01
0.1922,0.8522,112.96
0.1906,0.8522,112.89
0.1134,0.8522,112.81
0.179,0.8522,112.95
0.1664,0.8522,113.12
0.1914,0.8522,112.98
0.1822,0.9074,113.01
0.1917,0.9074,113.01
0.0943,0.9074,113.1
0.1976,0.9074,113.05
0.1817,0.9074,112.91
0.1647,0.9074,112.89
0.1884,0.9128,112.93
0.1966,0.9128,112.9
0.1863,0.9128,112.95
0.0863,0.9128,112.99
0.4255,0.9128,91.82
0.6663,0.9128,123.93
0.8352,0.5313,130.49
0.7537,0.5313,129.86
0.6211,0.5313,130.05
0.5489,0.5313,129.67
0.5909,0.5313,130.18
0.5718,0.5313,130.57
