FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,0.441,0.0,PRESENT
2,1,0.463,1.08,PRESENT
3,1,0.496,2.09,PRESENT
4,1,0.512,3.11,PRESENT
5,1,0.535,4.12,PRESENT
6,1,0.528,5.14,PRESENT
7,1,0.531,6.15,PRESENT
8,1,0.512,7.17,PRESENT
9,1,0.502,8.2,PRESENT
10,1,0.499,9.22,PRESENT
11,1,0.582,10.24,LINGERING
12,1,0.497,11.25,LINGERING
13,1,0.515,12.27,LINGERING
14,1,0.518,13.3,LINGERING
15,1,0.501,14.32,LINGERING
16,1,0.501,15.34,LINGERING
17,1,0.512,16.37,LINGERING
18,1,0.518,17.39,LINGERING
19,1,0.51,18.41,LINGERING
20,1,0.508,19.43,LINGERING
21,1,0.511,20.44,LINGERING
22,1,0.51,21.46,LINGERING
23,1,0.514,22.51,LINGERING
24,1,0.515,23.53,LINGERING
25,1,0.516,24.54,LINGERING
26,1,0.511,25.57,LINGERING
27,1,0.506,26.6,LINGERING
28,1,0.509,27.64,LINGERING
29,1,0.504,28.65,LINGERING
30,1,0.497,29.67,LINGERING
31,1,0.478,30.69,LINGERING
32,1,0.488,31.7,LINGERING
33,1,0.505,32.73,LINGERING
34,1,0.511,33.74,LINGERING
35,1,0.503,34.78,LINGERING
36,1,0.496,35.8,LINGERING
37,1,0.492,36.82,LINGERING
38,1,0.487,37.85,LINGERING
39,1,0.477,38.88,LINGERING
40,1,0.473,39.89,LINGERING
41,1,0.483,40.9,LINGERING
42,1,0.47,41.94,LINGERING
43,1,0.473,42.95,LINGERING
44,1,0.482,43.97,LINGERING
45,1,0.48,44.98,LINGERING
46,1,0.482,46.01,LINGERING
47,1,0.482,47.03,LINGERING
48,1,0.489,48.04,LINGERING
49,1,0.486,49.07,LINGERING
50,1,0.485,50.09,LINGERING
51,1,0.474,51.11,LINGERING
52,1,0.469,52.13,LINGERING
53,1,0.473,53.15,LINGERING
54,1,0.476,54.16,LINGERING
55,1,0.481,55.19,LINGERING
56,1,0.49,56.21,LINGERING
57,1,0.499,57.24,LINGERING
58,1,0.487,58.28,LINGERING
59,1,0.477,59.29,LINGERING
60,1,0.477,60.32,LINGERING
