FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,0.534,0.0,PRESENT
2,1,0.384,1.07,PRESENT
3,1,0.432,2.09,PRESENT
4,1,0.194,3.12,PRESENT
5,1,0.55,4.15,PRESENT
6,1,0.666,5.16,PRESENT
7,1,0.807,6.21,PRESENT
8,1,0.77,7.24,PRESENT
9,1,0.791,8.25,PRESENT
10,1,0.752,9.27,PRESENT
11,1,0.346,10.3,LINGERING
12,1,0.711,11.31,LINGERING
13,1,0.764,12.34,LINGERING
14,1,0.636,13.36,LINGERING
15,1,0.699,14.39,LINGERING
16,1,0.449,15.41,LINGERING
17,1,0.633,16.46,LINGERING
18,1,0.796,17.47,LINGERING
19,1,0.677,18.5,LINGERING
20,1,0.617,19.54,LINGERING
21,1,0.814,20.56,LINGERING
22,1,0.591,21.59,LINGERING
23,1,0.754,22.61,LINGERING
24,1,0.585,23.64,LINGERING
25,1,0.628,24.66,LINGERING
26,1,0.584,25.67,LINGERING
27,1,0.608,26.68,LINGERING
28,1,0.552,27.71,LINGERING
29,1,0.666,28.72,LINGERING
30,1,0.535,29.76,LINGERING
31,1,0.437,30.77,LINGERING
32,1,0.625,31.8,LINGERING
33,1,0.456,32.82,LINGERING
34,1,0.627,33.85,LINGERING
35,1,0.54,34.88,LINGERING
36,1,0.664,35.91,LINGERING
37,1,0.641,36.92,LINGERING
38,1,0.58,37.95,LINGERING
39,1,0.68,38.97,LINGERING
40,1,0.563,40.01,LINGERING
41,1,0.605,41.03,LINGERING
42,1,0.526,42.06,LINGERING
43,1,0.506,43.09,LINGERING
44,1,0.631,44.12,LINGERING
45,1,0.619,45.14,LINGERING
46,1,0.752,46.17,LINGERING
47,1,0.57,47.19,LINGERING
48,1,0.655,48.22,LINGERING
49,1,0.572,49.24,LINGERING
50,1,0.632,50.25,LINGERING
51,1,0.641,51.27,LINGERING
52,1,0.541,52.29,LINGERING
53,1,0.596,53.32,LINGERING
54,1,0.546,54.34,LINGERING
55,1,0.678,55.35,LINGERING
56,1,0.518,56.39,LINGERING
57,1,0.594,57.4,LINGERING
58,1,0.626,58.43,LINGERING
59,1,0.547,59.46,LINGERING
60,1,0.456,60.49,LINGERING
