FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,0.388,0.0,PRESENT
2,1,0.377,1.07,PRESENT
3,1,0.39,2.09,PRESENT
4,1,0.389,3.11,PRESENT
5,1,0.385,4.14,PRESENT
6,1,0.162,5.17,PRESENT
7,0,0.0,0.0,NO_PERSON
8,0,0.0,0.0,NO_PERSON
9,0,0.0,0.0,NO_PERSON
10,0,0.0,0.0,NO_PERSON
11,1,0.013,0.0,PRESENT
12,1,0.47,1.02,PRESENT
13,1,0.482,2.04,PRESENT
14,1,0.482,3.06,PRESENT
15,1,0.477,4.11,PRESENT
16,1,0.485,5.14,PRESENT
17,1,0.489,6.16,PRESENT
18,1,0.017,7.17,PRESENT
19,0,0.0,0.0,NO_PERSON
20,0,0.0,0.0,NO_PERSON
21,0,0.0,0.0,NO_PERSON
22,0,0.0,0.0,NO_PERSON
23,0,0.0,0.0,NO_PERSON
24,1,0.204,0.0,PRESENT
25,1,0.445,1.01,PRESENT
26,1,0.454,2.04,PRESENT
27,1,0.434,3.05,PRESENT
28,1,0.434,4.08,PRESENT
29,1,0.432,5.1,PRESENT
30,1,0.45,6.14,PRESENT
31,1,0.075,7.15,PRESENT
32,0,0.0,0.0,NO_PERSON
33,0,0.0,0.0,NO_PERSON
34,0,0.0,0.0,NO_PERSON
35,0,0.0,0.0,NO_PERSON
36,0,0.0,0.0,NO_PERSON
37,1,0.539,0.0,PRESENT
38,1,0.536,1.01,PRESENT
39,1,0.545,2.04,PRESENT
40,1,0.537,3.06,PRESENT
41,1,0.531,4.08,PRESENT
42,1,0.524,5.09,PRESENT
43,1,0.055,6.12,PRESENT
44,0,0.0,0.0,NO_PERSON
45,0,0.0,0.0,NO_PERSON
46,0,0.0,0.0,NO_PERSON
47,0,0.0,0.0,NO_PERSON
48,1,0.477,0.0,PRESENT
49,1,0.491,1.02,PRESENT
50,1,0.498,2.04,PRESENT
51,1,0.491,3.05,PRESENT
52,1,0.503,4.07,PRESENT
53,1,0.507,5.08,PRESENT
54,1,0.447,6.11,PRESENT
55,0,0.007,0.0,NO_PERSON
56,1,0.012,0.0,PRESENT
57,1,0.104,1.01,PRESENT
58,1,0.491,2.04,PRESENT
59,1,0.521,3.05,PRESENT
60,1,0.514,4.08,PRESENT
