FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,0.1,0.0,PRESENT
2,1,0.412,1.07,PRESENT
3,1,0.483,2.1,PRESENT
4,0,0.0,0.0,NO_PERSON
5,1,0.577,0.0,PRESENT
6,1,0.526,1.02,PRESENT
7,1,0.566,2.03,PRESENT
8,1,0.538,3.06,PRESENT
9,1,0.49,4.08,PRESENT
10,1,0.386,5.1,PRESENT
11,1,0.475,6.11,PRESENT
12,1,0.449,7.13,PRESENT
13,1,0.447,8.15,PRESENT
14,1,0.401,9.17,PRESENT
15,1,0.416,10.19,LINGERING
16,1,0.454,11.21,LINGERING
17,1,0.451,12.22,LINGERING
18,1,0.449,13.26,LINGERING
19,1,0.479,14.28,LINGERING
20,1,0.484,15.32,LINGERING
21,1,0.493,16.34,LINGERING
22,1,0.513,17.38,LINGERING
23,1,0.437,18.41,LINGERING
24,1,0.454,19.43,LINGERING
25,1,0.52,20.44,LINGERING
26,1,0.517,21.48,LINGERING
27,1,0.539,22.51,LINGERING
28,1,0.519,23.52,LINGERING
29,1,0.524,24.55,LINGERING
30,1,0.478,25.57,LINGERING
31,1,0.487,26.61,LINGERING
32,0,0.008,0.0,NO_PERSON
33,0,0.0,0.0,NO_PERSON
34,1,0.442,0.0,PRESENT
35,1,0.431,1.02,PRESENT
36,1,0.433,2.06,PRESENT
37,1,0.448,3.08,PRESENT
38,1,0.426,4.11,PRESENT
39,1,0.446,5.14,PRESENT
40,1,0.427,6.16,PRESENT
41,1,0.427,7.19,PRESENT
42,1,0.416,8.2,PRESENT
43,1,0.397,9.24,PRESENT
44,1,0.162,10.27,LINGERING
45,1,0.107,11.31,LINGERING
46,1,0.236,12.33,LINGERING
47,1,0.33,13.35,LINGERING
48,1,0.376,14.37,LINGERING
49,0,0.0,0.0,NO_PERSON
50,1,0.45,0.0,PRESENT
51,0,0.0,0.0,NO_PERSON
52,1,0.393,0.0,PRESENT
53,1,0.37,1.03,PRESENT
54,0,0.0,0.0,NO_PERSON
55,1,0.44,0.0,PRESENT
56,0,0.0,0.0,NO_PERSON
57,1,0.388,0.0,PRESENT
58,1,0.398,1.03,PRESENT
59,0,0.0,0.0,NO_PERSON
60,1,0.401,0.0,PRESENT
