FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,0.604,0.0,PRESENT
2,1,0.44,1.08,PRESENT
3,1,0.454,2.11,PRESENT
4,1,0.45,3.13,PRESENT
5,1,0.458,4.16,PRESENT
6,1,0.462,5.17,PRESENT
7,1,0.468,6.21,PRESENT
8,1,0.467,7.23,PRESENT
9,1,0.476,8.25,PRESENT
10,1,0.475,9.27,PRESENT
11,1,0.462,10.3,LINGERING
12,1,0.461,11.32,LINGERING
13,1,0.458,12.34,LINGERING
14,1,0.461,13.36,LINGERING
15,1,0.459,14.38,LINGERING
16,1,0.457,15.42,LINGERING
17,1,0.458,16.43,LINGERING
18,1,0.46,17.45,LINGERING
19,1,0.458,18.47,LINGERING
20,1,0.46,19.5,LINGERING
21,1,0.466,20.53,LINGERING
22,1,0.463,21.55,LINGERING
23,1,0.46,22.57,LINGERING
24,1,0.463,23.59,LINGERING
25,1,0.465,24.61,LINGERING
26,1,0.466,25.64,LINGERING
27,1,0.459,26.66,LINGERING
28,1,0.461,27.7,LINGERING
29,1,0.464,28.72,LINGERING
30,1,0.464,29.75,LINGERING
31,1,0.464,30.79,LINGERING
32,1,0.466,31.81,LINGERING
33,1,0.465,32.84,LINGERING
34,1,0.467,33.86,LINGERING
35,1,0.469,34.89,LINGERING
36,1,0.472,35.91,LINGERING
37,1,0.476,36.94,LINGERING
38,1,0.478,37.97,LINGERING
39,1,0.492,39.0,LINGERING
40,1,0.484,40.03,LINGERING
41,1,0.483,41.05,LINGERING
42,1,0.488,42.07,LINGERING
43,1,0.483,43.08,LINGERING
44,1,0.482,44.1,LINGERING
45,1,0.488,45.14,LINGERING
46,1,0.489,46.16,LINGERING
47,1,0.494,47.22,LINGERING
48,1,0.497,48.24,LINGERING
49,1,0.485,49.28,LINGERING
50,1,0.488,50.32,LINGERING
51,1,0.484,51.35,LINGERING
52,1,0.483,52.36,LINGERING
53,1,0.481,53.38,LINGERING
54,1,0.48,54.41,LINGERING
55,1,0.48,55.42,LINGERING
56,1,0.475,56.44,LINGERING
57,1,0.471,57.46,LINGERING
58,1,0.474,58.47,LINGERING
59,1,0.467,59.49,LINGERING
60,1,0.471,60.51,LINGERING
