FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,0.491,0.0,PRESENT
2,1,0.506,1.07,PRESENT
3,1,0.502,2.1,PRESENT
4,1,0.448,3.14,PRESENT
5,1,0.452,4.16,PRESENT
6,1,0.507,5.18,PRESENT
7,1,0.537,6.21,PRESENT
8,1,0.516,7.22,PRESENT
9,1,0.523,8.24,PRESENT
10,1,0.534,9.26,PRESENT
11,1,0.541,10.29,LINGERING
12,1,0.524,11.33,LINGERING
13,1,0.529,12.37,LINGERING
14,1,0.535,13.4,LINGERING
15,1,0.543,14.42,LINGERING
16,1,0.548,15.44,LINGERING
17,1,0.546,16.46,LINGERING
18,1,0.551,17.5,LINGERING
19,1,0.565,18.52,LINGERING
20,1,0.554,19.54,LINGERING
21,1,0.545,20.57,LINGERING
22,1,0.555,21.6,LINGERING
23,1,0.557,22.62,LINGERING
24,1,0.558,23.65,LINGERING
25,1,0.55,24.69,LINGERING
26,1,0.544,25.71,LINGERING
27,1,0.538,26.73,LINGERING
28,1,0.541,27.75,LINGERING
29,1,0.546,28.78,LINGERING
30,1,0.539,29.8,LINGERING
31,1,0.55,30.82,LINGERING
32,1,0.557,31.84,LINGERING
33,1,0.551,32.87,LINGERING
34,1,0.542,33.89,LINGERING
35,1,0.548,34.92,LINGERING
36,1,0.551,35.95,LINGERING
37,1,0.536,36.98,LINGERING
38,1,0.556,38.0,LINGERING
39,1,0.539,39.03,LINGERING
40,1,0.534,40.07,LINGERING
41,1,0.54,41.09,LINGERING
42,1,0.546,42.14,LINGERING
43,1,0.554,43.16,LINGERING
44,1,0.552,44.19,LINGERING
45,1,0.555,45.21,LINGERING
46,1,0.53,46.23,LINGERING
47,1,0.545,47.26,LINGERING
48,1,0.559,48.29,LINGERING
49,1,0.562,49.3,LINGERING
50,1,0.543,50.33,LINGERING
51,1,0.525,51.35,LINGERING
52,1,0.535,52.38,LINGERING
53,1,0.523,53.4,LINGERING
54,1,0.533,54.43,LINGERING
55,1,0.535,55.46,LINGERING
56,1,0.53,56.5,LINGERING
57,1,0.525,57.52,LINGERING
58,1,0.526,58.55,LINGERING
59,1,0.521,59.58,LINGERING
60,1,0.552,60.6,LINGERING
