FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,0.622,0.0,PRESENT
2,1,0.647,1.1,PRESENT
3,1,0.631,2.13,PRESENT
4,1,0.257,3.15,PRESENT
5,1,0.74,4.2,PRESENT
6,1,0.728,5.22,PRESENT
7,1,0.661,6.24,PRESENT
8,1,0.712,7.26,PRESENT
9,1,0.713,8.3,PRESENT
10,1,0.718,9.34,PRESENT
11,1,0.591,10.36,LINGERING
12,1,0.283,11.38,LINGERING
13,1,0.215,12.42,LINGERING
14,1,0.672,13.44,LINGERING
15,1,0.541,14.47,LINGERING
16,1,0.494,15.49,LINGERING
17,1,0.644,16.51,LINGERING
18,1,0.615,17.54,LINGERING
19,1,0.752,18.58,LINGERING
20,1,0.778,19.59,LINGERING
21,1,0.638,20.63,LINGERING
22,1,0.499,21.66,LINGERING
23,1,0.703,22.69,LINGERING
24,1,0.439,23.71,LINGERING
25,1,0.652,24.74,LINGERING
26,1,0.715,25.75,LINGERING
27,1,0.789,26.77,LINGERING
28,1,0.645,27.79,LINGERING
29,1,0.541,28.82,LINGERING
30,1,0.742,29.85,LINGERING
31,1,0.783,30.89,LINGERING
32,1,0.688,31.93,LINGERING
33,1,0.643,32.95,LINGERING
34,1,0.817,33.97,LINGERING
35,1,0.776,34.99,LINGERING
36,1,0.634,36.02,LINGERING
37,1,0.669,37.05,LINGERING
38,1,0.361,38.07,LINGERING
39,1,0.67,39.1,LINGERING
40,1,0.462,40.12,LINGERING
41,1,0.712,41.15,LINGERING
42,1,0.663,42.19,LINGERING
43,1,0.366,43.21,LINGERING
44,1,0.674,44.24,LINGERING
45,1,0.616,45.26,LINGERING
46,1,0.708,46.28,LINGERING
47,1,0.683,47.3,LINGERING
48,1,0.351,48.32,LINGERING
49,1,0.394,49.36,LINGERING
50,1,0.625,50.4,LINGERING
51,1,0.85,51.44,LINGERING
52,1,0.711,52.46,LINGERING
53,1,0.507,53.48,LINGERING
54,1,0.892,54.51,LINGERING
55,1,0.256,55.54,LINGERING
56,1,0.272,56.56,LINGERING
57,1,0.37,57.59,LINGERING
58,1,0.319,58.6,LINGERING
59,1,0.348,59.64,LINGERING
60,1,0.524,60.65,LINGERING
