FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,0.463,0.0,PRESENT
2,1,0.464,1.06,PRESENT
3,1,0.471,2.08,PRESENT
4,1,0.457,3.1,PRESENT
5,1,0.458,4.14,PRESENT
6,1,0.461,5.17,PRESENT
7,1,0.469,6.19,PRESENT
8,1,0.476,7.22,PRESENT
9,0,0.0,0.0,NO_PERSON
10,0,0.0,0.0,NO_PERSON
11,0,0.0,0.0,NO_PERSON
12,0,0.0,0.0,NO_PERSON
13,0,0.0,0.0,NO_PERSON
14,1,0.509,0.0,PRESENT
15,1,0.527,1.02,PRESENT
16,1,0.51,2.05,PRESENT
17,1,0.505,3.07,PRESENT
18,1,0.51,4.1,PRESENT
19,1,0.514,5.13,PRESENT
20,1,0.509,6.15,PRESENT
21,1,0.323,7.16,PRESENT
22,0,0.0,0.0,NO_PERSON
23,0,0.0,0.0,NO_PERSON
24,0,0.0,0.0,NO_PERSON
25,0,0.0,0.0,NO_PERSON
26,0,0.0,0.0,NO_PERSON
27,1,0.481,0.0,PRESENT
28,1,0.474,1.04,PRESENT
29,1,0.458,2.06,PRESENT
30,1,0.462,3.08,PRESENT
31,1,0.464,4.11,PRESENT
32,1,0.469,5.14,PRESENT
33,1,0.468,6.17,PRESENT
34,1,0.464,7.19,PRESENT
35,0,0.0,0.0,NO_PERSON
36,0,0.0,0.0,NO_PERSON
37,0,0.0,0.0,NO_PERSON
38,0,0.0,0.0,NO_PERSON
39,0,0.0,0.0,NO_PERSON
40,1,0.493,0.0,PRESENT
41,1,0.478,1.04,PRESENT
42,1,0.473,2.07,PRESENT
43,1,0.473,3.11,PRESENT
44,1,0.468,4.13,PRESENT
45,1,0.479,5.16,PRESENT
46,1,0.486,6.19,PRESENT
47,1,0.492,7.23,PRESENT
48,0,0.0,0.0,NO_PERSON
49,0,0.0,0.0,NO_PERSON
50,0,0.0,0.0,NO_PERSON
51,0,0.0,0.0,NO_PERSON
52,0,0.0,0.0,NO_PERSON
53,1,0.477,0.0,PRESENT
54,1,0.451,1.03,PRESENT
55,1,0.443,2.06,PRESENT
56,1,0.449,3.1,PRESENT
57,1,0.447,4.11,PRESENT
58,1,0.44,5.15,PRESENT
59,1,0.438,6.17,PRESENT
60,0,0.0,0.0,NO_PERSON
