FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,0,0.0,0.0,NO_PERSON
2,1,0.613,0.0,PRESENT
3,0,0.001,0.0,NO_PERSON
4,1,0.198,0.0,PRESENT
5,1,0.443,1.02,PRESENT
6,1,0.105,2.04,PRESENT
7,0,0.0,0.0,NO_PERSON
8,1,0.346,0.0,PRESENT
9,1,0.269,1.02,PRESENT
10,1,0.108,2.03,PRESENT
11,1,0.101,3.05,PRESENT
12,1,0.055,4.07,PRESENT
13,0,0.0,0.0,NO_PERSON
14,1,0.341,0.0,PRESENT
15,1,0.127,1.02,PRESENT
16,1,0.201,2.05,PRESENT
17,1,0.283,3.07,PRESENT
18,0,0.002,0.0,NO_PERSON
19,1,0.171,0.0,PRESENT
20,1,0.296,1.02,PRESENT
21,1,0.315,2.05,PRESENT
22,1,0.229,3.07,PRESENT
23,1,0.295,4.1,PRESENT
24,1,0.243,5.12,PRESENT
25,1,0.246,6.13,PRESENT
26,1,0.261,7.15,PRESENT
27,0,0.0,0.0,NO_PERSON
28,0,0.0,0.0,NO_PERSON
29,0,0.0,0.0,NO_PERSON
30,1,0.337,0.0,PRESENT
31,1,0.094,1.02,PRESENT
32,1,0.253,2.06,PRESENT
33,0,0.0,0.0,NO_PERSON
34,1,0.156,0.0,PRESENT
35,1,0.037,1.02,PRESENT
36,0,0.0,0.0,NO_PERSON
37,0,0.0,0.0,NO_PERSON
38,1,0.127,0.0,PRESENT
39,1,0.051,1.03,PRESENT
40,0,0.0,0.0,NO_PERSON
41,0,0.0,0.0,NO_PERSON
42,1,0.113,0.0,PRESENT
43,1,0.071,1.02,PRESENT
44,1,0.239,2.04,PRESENT
45,0,0.0,0.0,NO_PERSON
46,1,0.009,0.0,PRESENT
47,1,0.16,1.03,PRESENT
48,0,0.0,0.0,NO_PERSON
49,1,0.222,0.0,PRESENT
50,0,0.0,0.0,NO_PERSON
51,1,0.241,0.0,PRESENT
52,1,0.411,1.02,PRESENT
53,0,0.0,0.0,NO_PERSON
54,0,0.0,0.0,NO_PERSON
55,0,0.0,0.0,NO_PERSON
56,0,0.0,0.0,NO_PERSON
57,0,0.0,0.0,NO_PERSON
58,0,0.0,0.0,NO_PERSON
59,0,0.0,0.0,NO_PERSON
60,0,0.0,0.0,NO_PERSON
