FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,0.505,0.0,PRESENT
2,1,0.512,1.1,PRESENT
3,1,0.504,2.12,PRESENT
4,1,0.513,3.14,PRESENT
5,1,0.479,4.16,PRESENT
6,1,0.481,5.19,LINGERING
7,1,0.487,6.23,LINGERING
8,1,0.516,7.25,LINGERING
9,1,0.511,8.28,LINGERING
10,1,0.507,9.33,LINGERING
11,1,0.512,10.36,LINGERING
12,1,0.508,11.39,LINGERING
13,1,0.507,12.43,LINGERING
14,1,0.514,13.46,LINGERING
15,1,0.523,14.49,LINGERING
16,1,0.494,15.5,LINGERING
17,1,0.558,16.53,LINGERING
1,1,0.437,0.0,PRESENT
2,1,0.443,1.08,PRESENT
3,1,0.448,2.1,PRESENT
4,1,0.434,3.12,PRESENT
5,1,0.43,4.14,PRESENT
6,1,0.431,5.18,PRESENT
7,1,0.441,6.19,PRESENT
8,1,0.439,7.22,PRESENT
9,1,0.442,8.23,PRESENT
10,1,0.439,9.25,PRESENT
11,1,0.436,10.28,LINGERING
12,1,0.437,11.29,LINGERING
13,1,0.435,12.31,LINGERING
14,1,0.433,13.37,LINGERING
15,1,0.43,14.4,LINGERING
16,1,0.435,15.44,LINGERING
17,1,0.443,16.46,LINGERING
18,1,0.437,17.48,LINGERING
19,1,0.435,18.51,LINGERING
20,1,0.439,19.54,LINGERING
21,1,0.437,20.58,LINGERING
22,1,0.434,21.6,LINGERING
23,1,0.433,22.62,LINGERING
24,1,0.433,23.65,LINGERING
25,1,0.443,24.67,LINGERING
26,1,0.459,25.69,LINGERING
27,1,0.441,26.7,LINGERING
28,1,0.444,27.72,LINGERING
29,1,0.451,28.76,LINGERING
30,1,0.445,29.77,LINGERING
31,1,0.427,30.8,LINGERING
32,1,0.445,31.83,LINGERING
33,1,0.442,32.85,LINGERING
34,1,0.456,33.9,LINGERING
35,1,0.457,34.92,LINGERING
36,1,0.457,35.94,LINGERING
37,1,0.459,36.97,LINGERING
38,1,0.458,38.01,LINGERING
39,1,0.455,39.04,LINGERING
40,1,0.456,40.06,LINGERING
41,1,0.461,41.09,LINGERING
42,1,0.459,42.1,LINGERING
43,1,0.455,43.13,LINGERING
44,1,0.462,44.15,LINGERING
45,1,0.459,45.18,LINGERING
46,1,0.454,46.2,LINGERING
47,1,0.463,47.23,LINGERING
48,1,0.465,48.27,LINGERING
49,1,0.464,49.29,LINGERING
50,1,0.458,50.31,LINGERING
51,1,0.455,51.33,LINGERING
52,1,0.461,52.36,LINGERING
53,1,0.455,53.38,LINGERING
54,1,0.443,54.39,LINGERING
55,1,0.444,55.42,LINGERING
56,1,0.448,56.45,LINGERING
57,1,0.452,57.48,LINGERING
58,1,0.456,58.5,LINGERING
59,1,0.459,59.52,LINGERING
60,1,0.447,60.55,LINGERING
