FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,1.0,0.0,PRESENT - SAFE
2,1,1.0,1.15,PRESENT - SAFE
3,1,1.0,2.19,PRESENT - SAFE
4,1,1.0,3.24,PRESENT - SAFE
5,1,1.0,4.31,PRESENT - SAFE
6,1,1.0,5.34,LOITERING - NOT SAFE
7,1,1.0,6.4,LOITERING - NOT SAFE
8,1,1.0,7.44,LOITERING - NOT SAFE
9,1,1.0,8.48,LOITERING - NOT SAFE
10,1,1.0,9.51,LOITERING - NOT SAFE
11,1,1.0,10.58,LOITERING - NOT SAFE
12,1,1.0,11.64,LOITERING - NOT SAFE
13,1,1.0,12.69,LOITERING - NOT SAFE
14,1,1.0,13.73,LOITERING - NOT SAFE
15,1,1.0,14.8,LOITERING - NOT SAFE
16,1,1.0,15.88,LOITERING - NOT SAFE
17,1,1.0,16.94,LOITERING - NOT SAFE
18,1,1.0,17.99,LOITERING - NOT SAFE
19,1,1.0,19.04,LOITERING - NOT SAFE
20,1,1.0,20.08,LOITERING - NOT SAFE
21,1,1.0,21.14,LOITERING - NOT SAFE
22,1,1.0,22.18,LOITERING - NOT SAFE
23,0,0.0,0.0,NO PERSON
24,0,0.0,0.0,NO PERSON
25,0,0.0,0.0,NO PERSON
26,0,0.0,0.0,NO PERSON
27,0,0.0,0.0,NO PERSON
28,0,0.0,0.0,NO PERSON
29,0,0.0,0.0,NO PERSON
30,0,0.0,0.0,NO PERSON
31,0,0.0,0.0,NO PERSON
32,0,0.0,0.0,NO PERSON
33,0,0.0,0.0,NO PERSON
34,0,0.0,0.0,NO PERSON
35,0,0.0,0.0,NO PERSON
36,0,0.0,0.0,NO PERSON
37,0,0.0,0.0,NO PERSON
38,0,0.0,0.0,NO PERSON
39,0,0.0,0.0,NO PERSON
40,0,0.0,0.0,NO PERSON
41,0,0.0,0.0,NO PERSON
42,0,0.0,0.0,NO PERSON
43,0,0.0,0.0,NO PERSON
44,0,0.0,0.0,NO PERSON
45,0,0.0,0.0,NO PERSON
46,0,0.0,0.0,NO PERSON
47,0,0.0,0.0,NO PERSON
48,0,0.0,0.0,NO PERSON
49,0,0.0,0.0,NO PERSON
50,0,0.0,0.0,NO PERSON
51,0,0.0,0.0,NO PERSON
52,0,0.0,0.0,NO PERSON
53,0,0.0,0.0,NO PERSON
54,0,0.0,0.0,NO PERSON
55,0,0.0,0.0,NO PERSON
56,0,0.0,0.0,NO PERSON
57,0,0.0,0.0,NO PERSON
58,0,0.0,0.0,NO PERSON
59,0,0.0,0.0,NO PERSON
60,0,0.0,0.0,NO PERSON
1,1,1.0,0.0,PRESENT - SAFE
2,1,1.0,1.22,PRESENT - SAFE
3,1,1.0,2.3,PRESENT - SAFE
4,1,1.0,3.38,PRESENT - SAFE
5,1,1.0,4.44,PRESENT - SAFE
6,1,1.0,5.5,LOITERING - NOT SAFE
7,1,1.0,6.58,LOITERING - NOT SAFE
8,1,1.0,7.63,LOITERING - NOT SAFE
9,1,1.0,8.69,LOITERING - NOT SAFE
10,1,1.0,9.74,LOITERING - NOT SAFE
11,1,1.0,10.77,LOITERING - NOT SAFE
12,0,0.0,0.0,NO PERSON
13,0,0.0,0.0,NO PERSON
14,0,0.0,0.0,NO PERSON
15,1,1.0,0.0,PRESENT - SAFE
16,1,1.0,1.03,PRESENT - SAFE
17,1,1.0,2.06,PRESENT - SAFE
18,1,1.0,3.1,PRESENT - SAFE
19,1,1.0,4.15,PRESENT - SAFE
20,1,1.0,5.19,LOITERING - NOT SAFE
21,1,1.0,6.23,LOITERING - NOT SAFE
1,1,0.0,0.0,PRESENT - SAFE
2,1,0.0,1.26,PRESENT - SAFE
3,1,0.0,2.49,PRESENT - SAFE
4,1,0.0,3.67,PRESENT - SAFE
5,1,0.0,4.88,PRESENT - SAFE
6,1,0.0,6.1,PRESENT - SAFE
7,1,0.0,7.33,PRESENT - SAFE
8,1,0.0,8.54,PRESENT - SAFE
9,1,0.0,9.74,PRESENT - SAFE
10,1,0.0,10.94,PRESENT - SAFE
11,1,0.0,12.18,PRESENT - SAFE
12,1,0.0,13.39,PRESENT - SAFE
13,1,0.0,14.6,PRESENT - SAFE
14,1,0.0,15.81,PRESENT - SAFE
15,1,0.0,17.05,PRESENT - SAFE
16,1,0.0,18.28,PRESENT - SAFE
1,1,0.0,0.0,PRESENT - SAFE
