FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,1.0,0.0,PRESENT
2,1,1.0,1.08,PRESENT
3,1,1.0,2.13,PRESENT
4,1,1.0,3.16,PRESENT
5,1,1.0,4.2,PRESENT
6,1,1.0,5.25,PRESENT
7,1,1.0,6.28,PRESENT
8,1,1.0,7.3,PRESENT
9,1,1.0,8.34,PRESENT
10,1,1.0,9.39,PRESENT
11,1,1.0,10.43,LINGERING
12,1,1.0,11.48,LINGERING
13,1,1.0,12.51,LINGERING
14,1,1.0,13.56,LINGERING
15,1,1.0,14.59,LINGERING
16,1,1.0,15.61,LINGERING
17,1,1.0,16.67,LINGERING
18,1,1.0,17.7,LINGERING
19,1,1.0,18.75,LINGERING
20,1,1.0,19.81,LINGERING
21,1,1.0,20.86,LINGERING
22,1,1.0,21.9,LINGERING
23,1,1.0,22.96,LINGERING
24,1,1.0,24.01,LINGERING
25,1,1.0,25.06,LINGERING
26,1,1.0,26.1,LINGERING
27,1,1.0,27.16,LINGERING
28,1,1.0,28.19,LINGERING
29,1,1.0,29.22,LINGERING
30,1,1.0,30.26,LINGERING
31,1,1.0,31.3,LINGERING
32,1,1.0,32.34,LINGERING
33,1,1.0,33.4,LINGERING
34,1,1.0,34.44,LINGERING
35,1,1.0,35.47,LINGERING
36,1,1.0,36.5,LINGERING
37,1,1.0,37.53,LINGERING
38,1,1.0,38.58,LINGERING
39,1,1.0,39.64,LINGERING
40,1,1.0,40.66,LINGERING
41,1,1.0,41.69,LINGERING
42,1,1.0,42.72,LINGERING
43,1,1.0,43.74,LINGERING
44,1,1.0,44.82,LINGERING
45,1,1.0,45.85,LINGERING
46,1,1.0,46.89,LINGERING
47,1,1.0,47.96,LINGERING
48,1,1.0,48.99,LINGERING
49,1,1.0,50.02,LINGERING
50,1,1.0,51.05,LINGERING
51,1,1.0,52.09,LINGERING
52,1,1.0,53.13,LINGERING
53,1,1.0,54.2,LINGERING
54,1,1.0,55.27,LINGERING
55,1,1.0,56.31,LINGERING
56,1,1.0,57.38,LINGERING
57,1,1.0,58.41,LINGERING
58,1,1.0,59.47,LINGERING
59,1,1.0,60.5,LINGERING
60,1,1.0,61.56,LINGERING
