FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,1.0,0.0,PRESENT
2,1,1.0,1.08,PRESENT
3,1,1.0,2.11,PRESENT
4,1,1.0,3.14,PRESENT
5,1,1.0,4.18,PRESENT
6,1,1.0,5.21,PRESENT
7,1,1.0,6.23,PRESENT
8,1,1.0,7.27,PRESENT
9,1,1.0,8.31,PRESENT
10,1,1.0,9.37,PRESENT
11,1,1.0,10.42,LINGERING
12,1,1.0,11.44,LINGERING
13,1,1.0,12.47,LINGERING
14,1,1.0,13.49,LINGERING
15,1,1.0,14.52,LINGERING
16,1,1.0,15.56,LINGERING
17,1,1.0,16.59,LINGERING
18,1,1.0,17.62,LINGERING
19,1,1.0,18.66,LINGERING
20,1,1.0,19.71,LINGERING
21,1,1.0,20.76,LINGERING
22,1,1.0,21.78,LINGERING
23,1,1.0,22.83,LINGERING
24,1,1.0,23.86,LINGERING
25,1,1.0,24.91,LINGERING
26,1,1.0,25.94,LINGERING
27,1,1.0,26.96,LINGERING
28,1,1.0,28.01,LINGERING
29,1,1.0,29.04,LINGERING
30,1,1.0,30.08,LINGERING
31,1,1.0,31.11,LINGERING
32,1,1.0,32.13,LINGERING
33,1,1.0,33.19,LINGERING
34,1,1.0,34.23,LINGERING
35,1,1.0,35.29,LINGERING
36,1,1.0,36.32,LINGERING
37,1,1.0,37.35,LINGERING
38,1,1.0,38.39,LINGERING
39,1,1.0,39.42,LINGERING
40,1,1.0,40.47,LINGERING
41,1,1.0,41.5,LINGERING
42,1,1.0,42.53,LINGERING
43,1,1.0,43.57,LINGERING
44,1,1.0,44.6,LINGERING
45,1,1.0,45.63,LINGERING
46,1,1.0,46.66,LINGERING
47,1,1.0,47.69,LINGERING
48,1,1.0,48.71,LINGERING
49,1,1.0,49.76,LINGERING
50,1,1.0,50.8,LINGERING
51,1,1.0,51.86,LINGERING
52,1,1.0,52.89,LINGERING
53,1,1.0,53.95,LINGERING
54,1,1.0,54.99,LINGERING
55,1,1.0,56.03,LINGERING
56,1,1.0,57.07,LINGERING
57,1,1.0,58.13,LINGERING
58,1,1.0,59.17,LINGERING
59,1,1.0,60.24,LINGERING
60,1,1.0,61.27,LINGERING
