FrameNumber,PersonDetected,Confidence,DwellTime,Status
1,1,1.0,0.0,PRESENT
2,1,1.0,1.08,PRESENT
3,1,1.0,2.13,PRESENT
4,1,1.0,3.15,PRESENT
5,1,1.0,4.19,PRESENT
6,1,1.0,5.22,PRESENT
7,1,1.0,6.27,PRESENT
8,1,1.0,7.3,PRESENT
9,1,1.0,8.34,PRESENT
10,1,1.0,9.38,PRESENT
11,1,1.0,10.41,LINGERING
12,1,1.0,11.45,LINGERING
13,1,1.0,12.51,LINGERING
14,1,1.0,13.56,LINGERING
15,1,1.0,14.6,LINGERING
16,1,1.0,15.63,LINGERING
17,1,1.0,16.69,LINGERING
18,1,1.0,17.72,LINGERING
19,1,1.0,18.76,LINGERING
20,1,1.0,19.79,LINGERING
21,1,1.0,20.84,LINGERING
22,1,1.0,21.88,LINGERING
23,1,1.0,22.9,LINGERING
24,1,1.0,23.93,LINGERING
25,1,1.0,24.98,LINGERING
26,1,1.0,26.01,LINGERING
27,1,1.0,27.04,LINGERING
28,1,1.0,28.09,LINGERING
29,1,1.0,29.13,LINGERING
30,1,1.0,30.18,LINGERING
31,1,1.0,31.23,LINGERING
32,1,1.0,32.26,LINGERING
33,1,1.0,33.31,LINGERING
34,1,1.0,34.34,LINGERING
35,1,1.0,35.39,LINGERING
36,1,1.0,36.42,LINGERING
37,1,1.0,37.44,LINGERING
38,1,1.0,38.48,LINGERING
39,1,1.0,39.51,LINGERING
40,1,1.0,40.54,LINGERING
41,1,1.0,41.61,LINGERING
42,1,1.0,42.65,LINGERING
43,1,1.0,43.68,LINGERING
44,1,1.0,44.73,LINGERING
45,1,1.0,45.77,LINGERING
46,1,1.0,46.81,LINGERING
47,1,1.0,47.85,LINGERING
48,1,1.0,48.89,LINGERING
49,1,1.0,49.93,LINGERING
50,1,1.0,50.97,LINGERING
51,1,1.0,52.0,LINGERING
52,1,1.0,53.04,LINGERING
53,1,1.0,54.07,LINGERING
54,1,1.0,55.11,LINGERING
55,1,1.0,56.17,LINGERING
56,1,1.0,57.2,LINGERING
57,1,1.0,58.27,LINGERING
58,1,1.0,59.29,LINGERING
59,1,1.0,60.34,LINGERING
60,1,1.0,61.39,LINGERING
