FrameNumber,Status,Confidence
1,NO MASK - SAFE,0.74
2,NO MASK - SAFE,0.68
3,NO MASK - SAFE,0.81
4,NO MASK - SAFE,0.76
1,NO MASK - SAFE,0.57
2,NO MASK - SAFE,0.63
3,NO MASK - SAFE,0.53
4,NO MASK - SAFE,0.55
5,NO MASK - SAFE,0.55
6,NO MASK - SAFE,0.86
7,NO MASK - SAFE,0.61
8,NO MASK - SAFE,0.75
9,NO MASK - SAFE,0.85
10,NO MASK - SAFE,0.84
11,NO MASK - SAFE,0.83
12,NO MASK - SAFE,0.77
13,NO MASK - SAFE,0.86
14,NO MASK - SAFE,0.88
15,MASK DETECTED - SUSPICIOUS,0.78
16,MASK DETECTED - SUSPICIOUS,0.94
17,MASK DETECTED - SUSPICIOUS,0.93
18,MASK DETECTED - SUSPICIOUS,0.94
19,MASK DETECTED - SUSPICIOUS,0.93
20,MASK DETECTED - SUSPICIOUS,0.93
21,MASK DETECTED - SUSPICIOUS,0.93
22,MASK DETECTED - SUSPICIOUS,0.93
23,MASK DETECTED - SUSPICIOUS,0.93
24,MASK DETECTED - SUSPICIOUS,0.93
25,MASK DETECTED - SUSPICIOUS,0.93
26,MASK DETECTED - SUSPICIOUS,0.93
27,MASK DETECTED - SUSPICIOUS,0.93
28,MASK DETECTED - SUSPICIOUS,0.93
29,MASK DETECTED - SUSPICIOUS,0.93
30,MASK DETECTED - SUSPICIOUS,0.92
31,MASK DETECTED - SUSPICIOUS,0.93
32,MASK DETECTED - SUSPICIOUS,0.93
33,MASK DETECTED - SUSPICIOUS,0.93
34,MASK DETECTED - SUSPICIOUS,0.93
35,MASK DETECTED - SUSPICIOUS,0.93
36,MASK DETECTED - SUSPICIOUS,0.93
1,NO MASK - SAFE,0.82
2,NO MASK - SAFE,0.6
3,NO MASK - SAFE,0.86
4,NO MASK - SAFE,0.85
5,NO MASK - SAFE,0.83
6,NO MASK - SAFE,0.83
7,MASK DETECTED - SUSPICIOUS,0.81
8,MASK DETECTED - SUSPICIOUS,0.87
9,MASK DETECTED - SUSPICIOUS,0.92
10,MASK DETECTED - SUSPICIOUS,0.92
11,MASK DETECTED - SUSPICIOUS,0.93
12,MASK DETECTED - SUSPICIOUS,0.93
13,MASK DETECTED - SUSPICIOUS,0.92
