FrameNumber,Status,Confidence
1,NO MASK - SAFE,0.96
2,NO MASK - SAFE,0.94
3,NO MASK - SAFE,0.94
4,NO MASK - SAFE,0.94
5,NO MASK - SAFE,0.94
6,NO MASK - SAFE,0.94
7,NO MASK - SAFE,0.95
8,NO MASK - SAFE,0.94
9,NO MASK - SAFE,0.94
10,NO MASK - SAFE,0.94
11,NO MASK - SAFE,0.94
12,NO MASK - SAFE,0.94
13,NO MASK - SAFE,0.94
14,NO MASK - SAFE,0.95
15,NO MASK - SAFE,0.95
16,NO MASK - SAFE,0.94
17,NO MASK - SAFE,0.94
18,NO MASK - SAFE,0.94
19,NO MASK - SAFE,0.94
20,NO MASK - SAFE,0.94
21,NO MASK - SAFE,0.94
22,NO MASK - SAFE,0.94
23,NO MASK - SAFE,0.94
24,NO MASK - SAFE,0.94
25,NO MASK - SAFE,0.94
26,NO MASK - SAFE,0.95
27,NO MASK - SAFE,0.94
28,NO MASK - SAFE,0.94
29,NO MASK - SAFE,0.94
30,NO MASK - SAFE,0.94
31,NO MASK - SAFE,0.94
32,NO MASK - SAFE,0.94
33,NO MASK - SAFE,0.94
34,NO MASK - SAFE,0.95
35,NO MASK - SAFE,0.94
36,NO MASK - SAFE,0.94
37,NO MASK - SAFE,0.94
38,NO MASK - SAFE,0.94
39,NO MASK - SAFE,0.95
40,NO MASK - SAFE,0.95
41,NO MASK - SAFE,0.94
42,NO MASK - SAFE,0.94
43,NO MASK - SAFE,0.95
44,NO MASK - SAFE,0.94
45,NO MASK - SAFE,0.94
46,NO MASK - SAFE,0.94
47,NO MASK - SAFE,0.93
48,NO MASK - SAFE,0.93
49,NO MASK - SAFE,0.93
50,NO MASK - SAFE,0.92
51,NO MASK - SAFE,0.94
52,NO MASK - SAFE,0.95
53,NO MASK - SAFE,0.94
54,NO MASK - SAFE,0.94
55,NO MASK - SAFE,0.94
56,NO MASK - SAFE,0.95
57,NO MASK - SAFE,0.94
58,NO MASK - SAFE,0.93
59,NO MASK - SAFE,0.92
60,NO MASK - SAFE,0.87
61,NO MASK - SAFE,0.94
62,NO MASK - SAFE,0.94
63,NO MASK - SAFE,0.94
64,MASK DETECTED - SUSPICIOUS,0.96
65,NO MASK - SAFE,0.95
66,MASK DETECTED - SUSPICIOUS,0.96
67,NO MASK - SAFE,0.96
68,NO MASK - SAFE,0.96
69,MASK DETECTED - SUSPICIOUS,0.97
70,MASK DETECTED - SUSPICIOUS,0.96
71,MASK DETECTED - SUSPICIOUS,0.97
72,MASK DETECTED - SUSPICIOUS,0.96
73,MASK DETECTED - SUSPICIOUS,0.96
74,MASK DETECTED - SUSPICIOUS,0.96
75,MASK DETECTED - SUSPICIOUS,0.97
76,MASK DETECTED - SUSPICIOUS,0.96
77,MASK DETECTED - SUSPICIOUS,0.97
78,MASK DETECTED - SUSPICIOUS,0.96
79,MASK DETECTED - SUSPICIOUS,0.96
80,MASK DETECTED - SUSPICIOUS,0.96
81,MASK DETECTED - SUSPICIOUS,0.96
82,MASK DETECTED - SUSPICIOUS,0.97
83,MASK DETECTED - SUSPICIOUS,0.97
84,MASK DETECTED - SUSPICIOUS,0.97
85,MASK DETECTED - SUSPICIOUS,0.97
86,MASK DETECTED - SUSPICIOUS,0.96
87,MASK DETECTED - SUSPICIOUS,0.97
88,MASK DETECTED - SUSPICIOUS,0.97
89,MASK DETECTED - SUSPICIOUS,0.97
90,MASK DETECTED - SUSPICIOUS,0.97
91,MASK DETECTED - SUSPICIOUS,0.97
92,MASK DETECTED - SUSPICIOUS,0.97
93,MASK DETECTED - SUSPICIOUS,0.97
94,MASK DETECTED - SUSPICIOUS,0.97
95,MASK DETECTED - SUSPICIOUS,0.97
96,MASK DETECTED - SUSPICIOUS,0.97
97,MASK DETECTED - SUSPICIOUS,0.97
98,MASK DETECTED - SUSPICIOUS,0.97
99,MASK DETECTED - SUSPICIOUS,0.96
100,MASK DETECTED - SUSPICIOUS,0.97
101,MASK DETECTED - SUSPICIOUS,0.97
102,MASK DETECTED - SUSPICIOUS,0.97
103,MASK DETECTED - SUSPICIOUS,0.97
104,MASK DETECTED - SUSPICIOUS,0.97
105,MASK DETECTED - SUSPICIOUS,0.96
106,MASK DETECTED - SUSPICIOUS,0.97
107,MASK DETECTED - SUSPICIOUS,0.97
108,MASK DETECTED - SUSPICIOUS,0.96
109,MASK DETECTED - SUSPICIOUS,0.97
110,MASK DETECTED - SUSPICIOUS,0.97
111,MASK DETECTED - SUSPICIOUS,0.97
112,MASK DETECTED - SUSPICIOUS,0.97
113,MASK DETECTED - SUSPICIOUS,0.96
114,MASK DETECTED - SUSPICIOUS,0.96
115,MASK DETECTED - SUSPICIOUS,0.97
116,MASK DETECTED - SUSPICIOUS,0.96
117,MASK DETECTED - SUSPICIOUS,0.97
118,MASK DETECTED - SUSPICIOUS,0.97
119,MASK DETECTED - SUSPICIOUS,0.96
120,MASK DETECTED - SUSPICIOUS,0.97
