FrameNumber,Status,Confidence
1,NO MASK - SAFE,0.85
2,NO MASK - SAFE,0.84
3,NO MASK - SAFE,0.83
4,NO MASK - SAFE,0.78
5,NO MASK - SAFE,0.81
6,NO MASK - SAFE,0.86
7,NO MASK - SAFE,0.87
8,NO MASK - SAFE,0.89
9,NO MASK - SAFE,0.86
10,NO MASK - SAFE,0.84
11,NO MASK - SAFE,0.83
12,NO MASK - SAFE,0.87
13,NO MASK - SAFE,0.87
14,NO MASK - SAFE,0.83
15,NO MASK - SAFE,0.85
16,NO MASK - SAFE,0.84
17,NO MASK - SAFE,0.75
18,NO MASK - SAFE,0.82
19,NO MASK - SAFE,0.83
20,NO MASK - SAFE,0.83
21,NO MASK - SAFE,0.86
22,NO MASK - SAFE,0.93
23,NO MASK - SAFE,0.81
24,NO MASK - SAFE,0.88
25,NO MASK - SAFE,0.88
26,NO MASK - SAFE,0.88
27,NO MASK - SAFE,0.88
28,NO MASK - SAFE,0.91
29,NO MASK - SAFE,0.9
30,NO MASK - SAFE,0.91
31,NO MASK - SAFE,0.88
32,NO MASK - SAFE,0.87
33,NO MASK - SAFE,0.85
34,NO MASK - SAFE,0.85
35,NO MASK - SAFE,0.87
36,NO MASK - SAFE,0.88
37,NO MASK - SAFE,0.89
38,NO MASK - SAFE,0.9
39,NO MASK - SAFE,0.91
40,NO MASK - SAFE,0.89
41,NO MASK - SAFE,0.88
42,NO MASK - SAFE,0.87
43,NO MASK - SAFE,0.9
44,NO MASK - SAFE,0.91
45,NO MASK - SAFE,0.91
46,NO MASK - SAFE,0.91
47,NO MASK - SAFE,0.93
48,NO MASK - SAFE,0.89
49,NO MASK - SAFE,0.89
50,NO MASK - SAFE,0.78
51,NO MASK - SAFE,0.79
52,NO MASK - SAFE,0.81
53,NO MASK - SAFE,0.81
54,NO MASK - SAFE,0.89
55,NO MASK - SAFE,0.74
56,NO MASK - SAFE,0.89
57,NO MASK - SAFE,0.9
58,NO MASK - SAFE,0.87
59,NO MASK - SAFE,0.87
60,NO MASK - SAFE,0.91
61,MASK DETECTED - SUSPICIOUS,0.77
62,MASK DETECTED - SUSPICIOUS,0.75
63,MASK DETECTED - SUSPICIOUS,0.69
64,MASK DETECTED - SUSPICIOUS,0.78
65,MASK DETECTED - SUSPICIOUS,0.55
66,MASK DETECTED - SUSPICIOUS,0.74
67,MASK DETECTED - SUSPICIOUS,0.63
68,MASK DETECTED - SUSPICIOUS,0.82
69,MASK DETECTED - SUSPICIOUS,0.63
70,MASK DETECTED - SUSPICIOUS,0.85
71,MASK DETECTED - SUSPICIOUS,0.84
72,MASK DETECTED - SUSPICIOUS,0.84
73,MASK DETECTED - SUSPICIOUS,0.79
74,MASK DETECTED - SUSPICIOUS,0.85
75,MASK DETECTED - SUSPICIOUS,0.83
76,MASK DETECTED - SUSPICIOUS,0.72
77,MASK DETECTED - SUSPICIOUS,0.7
78,MASK DETECTED - SUSPICIOUS,0.82
79,NO MASK - SAFE,0.5
80,NO MASK - SAFE,0
81,MASK DETECTED - SUSPICIOUS,0.87
82,MASK DETECTED - SUSPICIOUS,0.79
83,MASK DETECTED - SUSPICIOUS,0.84
84,MASK DETECTED - SUSPICIOUS,0.82
85,MASK DETECTED - SUSPICIOUS,0.84
86,MASK DETECTED - SUSPICIOUS,0.81
87,MASK DETECTED - SUSPICIOUS,0.81
88,MASK DETECTED - SUSPICIOUS,0.86
89,MASK DETECTED - SUSPICIOUS,0.86
90,MASK DETECTED - SUSPICIOUS,0.86
91,MASK DETECTED - SUSPICIOUS,0.86
92,MASK DETECTED - SUSPICIOUS,0.83
93,MASK DETECTED - SUSPICIOUS,0.77
94,MASK DETECTED - SUSPICIOUS,0.86
95,MASK DETECTED - SUSPICIOUS,0.84
96,MASK DETECTED - SUSPICIOUS,0.86
97,MASK DETECTED - SUSPICIOUS,0.88
98,MASK DETECTED - SUSPICIOUS,0.85
99,MASK DETECTED - SUSPICIOUS,0.89
100,MASK DETECTED - SUSPICIOUS,0.85
101,MASK DETECTED - SUSPICIOUS,0.85
102,MASK DETECTED - SUSPICIOUS,0.85
103,MASK DETECTED - SUSPICIOUS,0.84
104,MASK DETECTED - SUSPICIOUS,0.86
105,MASK DETECTED - SUSPICIOUS,0.84
106,MASK DETECTED - SUSPICIOUS,0.87
107,MASK DETECTED - SUSPICIOUS,0.86
108,MASK DETECTED - SUSPICIOUS,0.81
109,MASK DETECTED - SUSPICIOUS,0.84
110,MASK DETECTED - SUSPICIOUS,0.83
111,MASK DETECTED - SUSPICIOUS,0.86
112,MASK DETECTED - SUSPICIOUS,0.84
113,MASK DETECTED - SUSPICIOUS,0.85
114,MASK DETECTED - SUSPICIOUS,0.85
115,MASK DETECTED - SUSPICIOUS,0.8
116,MASK DETECTED - SUSPICIOUS,0.87
117,MASK DETECTED - SUSPICIOUS,0.86
118,MASK DETECTED - SUSPICIOUS,0.82
119,MASK DETECTED - SUSPICIOUS,0.86
120,MASK DETECTED - SUSPICIOUS,0.87
