Distance,Approach,Status
310.86,,Person safe distance
276.08,-34.78,Person safe distance
258.1,-17.98,Person safe distance
256.17,-1.93,Person safe distance
254.89,-1.28,Person safe distance
254.15,-0.74,Person safe distance
252.19,-1.96,Person safe distance
252.62,0.44,Person safe distance
250.53,-2.09,Person safe distance
250.46,-0.07,Person safe distance
285.65,35.19,Person safe distance
320.97,35.32,Person safe distance
324.76,3.79,Person safe distance
355.59,30.82,Person safe distance
340.03,-15.55,Person safe distance
291.29,-48.74,Person safe distance
278.34,-12.95,Person safe distance
265.77,-12.57,Person safe distance
256.68,-9.09,Person safe distance
253.91,-2.77,Person safe distance
256.69,2.78,Person safe distance
260.56,3.87,Person safe distance
258.59,-1.97,Person safe distance
262.31,3.72,Person safe distance
257.97,-4.34,Person safe distance
259.24,1.27,Person safe distance
263.11,3.87,Person safe distance
271.49,8.38,Person safe distance
269.24,-2.25,Person safe distance
267.58,-1.66,Person safe distance
270.36,2.78,Person safe distance
271.34,0.98,Person safe distance
273.33,1.98,Person safe distance
273.99,0.66,Person safe distance
274.22,0.23,Person safe distance
213.83,,Person safe distance
214.95,1.13,Person safe distance
243.29,28.34,Person safe distance
290.16,46.87,Person safe distance
315.83,25.67,Person safe distance
318.49,2.66,Person safe distance
319.55,1.06,Person safe distance
318.59,-0.96,Person safe distance
320.63,2.04,Person safe distance
321.19,0.57,Person safe distance
320.78,-0.41,Person safe distance
322.29,1.51,Person safe distance
319.27,-3.02,Person safe distance
316.48,-2.78,Person safe distance
312.72,-3.77,Person safe distance
306.43,-6.29,Person safe distance
310.54,4.11,Person safe distance
313.14,2.6,Person safe distance
312.98,-0.16,Person safe distance
314.88,1.9,Person safe distance
307.19,-7.7,Person safe distance
290.45,-16.74,Person safe distance
300.6,10.15,Person safe distance
316.8,16.2,Person safe distance
321.93,5.12,Person safe distance
305.37,-16.56,Person safe distance
274.39,-30.98,Person safe distance
264.34,-10.05,Person safe distance
255.15,-9.18,Person safe distance
263.46,8.31,Person safe distance
287.15,23.69,Person safe distance
290.57,3.42,Person safe distance
289.85,-0.72,Person safe distance
291.73,1.88,Person safe distance
298.41,6.67,Person safe distance
292.55,-5.86,Person safe distance
287.28,-5.27,Person safe distance
286.95,-0.33,Person safe distance
286.65,-0.3,Person safe distance
287.41,0.76,Person safe distance
282.81,-4.6,Person safe distance
279.74,-3.07,Person safe distance
280.29,0.55,Person safe distance
271.17,-9.12,Person safe distance
267.63,-3.54,Person safe distance
268.47,0.84,Person safe distance
271.15,2.67,Person safe distance
271.64,0.49,Person safe distance
273.0,1.36,Person safe distance
274.39,1.39,Person safe distance
273.35,-1.04,Person safe distance
271.82,-1.54,Person safe distance
272.4,0.58,Person safe distance
271.32,-1.08,Person safe distance
269.81,-1.51,Person safe distance
270.18,0.37,Person safe distance
270.76,0.58,Person safe distance
269.24,-1.52,Person safe distance
269.9,0.67,Person safe distance
268.66,-1.24,Person safe distance
272.23,3.57,Person safe distance
272.29,0.06,Person safe distance
272.38,0.08,Person safe distance
288.42,16.05,Person safe distance
286.36,-2.07,Person safe distance
284.67,-1.69,Person safe distance
279.09,-5.57,Person safe distance
277.34,-1.75,Person safe distance
276.65,-0.69,Person safe distance
277.06,0.41,Person safe distance
276.21,-0.85,Person safe distance
275.38,-0.83,Person safe distance
277.62,2.23,Person safe distance
276.89,-0.72,Person safe distance
279.25,2.35,Person safe distance
274.45,-4.8,Person safe distance
275.7,1.26,Person safe distance
279.52,3.82,Person safe distance
279.72,0.2,Person safe distance
286.15,6.43,Person safe distance
284.78,-1.37,Person safe distance
292.46,7.68,Person safe distance
293.18,0.73,Person safe distance
292.71,-0.48,Person safe distance
291.26,-1.45,Person safe distance
291.71,0.45,Person safe distance
290.37,-1.35,Person safe distance
288.23,-2.14,Person safe distance
286.97,-1.26,Person safe distance
285.73,-1.23,Person safe distance
284.72,-1.01,Person safe distance
284.43,-0.29,Person safe distance
285.5,1.07,Person safe distance
282.92,-2.58,Person safe distance
283.72,0.8,Person safe distance
284.75,1.03,Person safe distance
284.61,-0.14,Person safe distance
281.64,-2.97,Person safe distance
279.65,-1.99,Person safe distance
263.38,-16.27,Person safe distance
218.34,-45.04,Person safe distance
225.77,7.43,Person safe distance
298.5,72.73,Person safe distance
386.93,88.43,Person safe distance
438.44,51.51,Person safe distance
442.25,3.82,Person safe distance
441.91,-0.34,Person safe distance
444.71,2.8,Person safe distance
447.94,3.24,Person safe distance
449.28,1.34,Person safe distance
457.25,7.96,Person safe distance
479.33,22.08,PERSON TOO CLOSE
479.04,-0.29,PERSON TOO CLOSE
478.92,-0.12,PERSON TOO CLOSE
479.06,0.15,PERSON TOO CLOSE
460.96,-18.1,Person safe distance
451.92,-9.04,Person safe distance
448.87,-3.05,Person safe distance
449.33,0.45,Person safe distance
451.7,2.37,Person safe distance
453.35,1.65,Person safe distance
453.82,0.47,Person safe distance
457.41,3.58,Person safe distance
457.55,0.14,Person safe distance
457.08,-0.47,Person safe distance
454.96,-2.12,Person safe distance
455.53,0.57,Person safe distance
451.82,-3.71,Person safe distance
449.05,-2.77,Person safe distance
426.32,-22.74,Person safe distance
398.84,-27.48,Person safe distance
383.73,-15.11,Person safe distance
380.82,-2.91,Person safe distance
381.45,0.63,Person safe distance
381.35,-0.1,Person safe distance
380.29,-1.07,Person safe distance
381.1,0.81,Person safe distance
380.71,-0.39,Person safe distance
379.68,-1.03,Person safe distance
377.89,-1.79,Person safe distance
379.62,1.74,Person safe distance
382.45,2.82,Person safe distance
382.68,0.23,Person safe distance
383.17,0.49,Person safe distance
382.93,-0.25,Person safe distance
382.54,-0.38,Person safe distance
382.1,-0.44,Person safe distance
382.02,-0.08,Person safe distance
381.61,-0.41,Person safe distance
381.1,-0.51,Person safe distance
381.13,0.03,Person safe distance
381.42,0.29,Person safe distance
381.58,0.16,Person safe distance
381.58,0.01,Person safe distance
381.48,-0.1,Person safe distance
381.28,-0.2,Person safe distance
381.34,0.06,Person safe distance
381.73,0.39,Person safe distance
379.35,-2.38,Person safe distance
379.53,0.18,Person safe distance
380.99,1.46,Person safe distance
381.01,0.02,Person safe distance
381.92,0.91,Person safe distance
383.21,1.29,Person safe distance
388.06,4.85,Person safe distance
