Distance,Approach,Status
442.15,,Person safe distance
442.96,0.8,Person safe distance
442.23,-0.72,Person safe distance
442.29,0.05,Person safe distance
443.08,0.79,Person safe distance
443.45,0.37,Person safe distance
443.77,0.32,Person safe distance
444.81,1.04,Person safe distance
445.45,0.64,Person safe distance
445.51,0.06,Person safe distance
444.97,-0.54,Person safe distance
444.78,-0.18,Person safe distance
445.04,0.26,Person safe distance
461.72,16.68,Person safe distance
478.07,16.35,PERSON TOO CLOSE
479.12,1.05,PERSON TOO CLOSE
477.14,-1.97,PERSON TOO CLOSE
478.93,1.79,PERSON TOO CLOSE
478.13,-0.8,PERSON TOO CLOSE
478.58,0.45,PERSON TOO CLOSE
477.17,-1.41,PERSON TOO CLOSE
476.74,-0.43,PERSON TOO CLOSE
472.86,-3.88,PERSON TOO CLOSE
475.48,2.61,PERSON TOO CLOSE
475.73,0.25,PERSON TOO CLOSE
474.56,-1.17,PERSON TOO CLOSE
470.3,-4.26,PERSON TOO CLOSE
469.27,-1.02,Person safe distance
473.98,4.71,PERSON TOO CLOSE
469.51,-4.48,Person safe distance
469.6,0.09,Person safe distance
469.11,-0.49,Person safe distance
468.79,-0.31,Person safe distance
469.51,0.72,Person safe distance
471.34,1.82,PERSON TOO CLOSE
472.27,0.93,PERSON TOO CLOSE
474.09,1.82,PERSON TOO CLOSE
475.49,1.4,PERSON TOO CLOSE
474.51,-0.98,PERSON TOO CLOSE
471.03,-3.47,PERSON TOO CLOSE
471.03,-0.0,PERSON TOO CLOSE
471.19,0.16,PERSON TOO CLOSE
471.08,-0.11,PERSON TOO CLOSE
473.79,2.71,PERSON TOO CLOSE
474.29,0.51,PERSON TOO CLOSE
474.17,-0.12,PERSON TOO CLOSE
473.63,-0.54,PERSON TOO CLOSE
474.59,0.96,PERSON TOO CLOSE
473.32,-1.27,PERSON TOO CLOSE
472.06,-1.27,PERSON TOO CLOSE
473.32,1.27,PERSON TOO CLOSE
469.71,-3.62,Person safe distance
462.51,-7.2,Person safe distance
458.91,-3.6,Person safe distance
460.4,1.5,Person safe distance
460.47,0.06,Person safe distance
463.32,2.85,Person safe distance
467.44,4.12,Person safe distance
467.79,0.36,Person safe distance
466.24,-1.56,Person safe distance
470.36,4.12,PERSON TOO CLOSE
474.35,3.99,PERSON TOO CLOSE
473.84,-0.51,PERSON TOO CLOSE
472.03,-1.81,PERSON TOO CLOSE
471.34,-0.68,PERSON TOO CLOSE
472.98,1.64,PERSON TOO CLOSE
473.55,0.57,PERSON TOO CLOSE
473.45,-0.1,PERSON TOO CLOSE
471.37,-2.07,PERSON TOO CLOSE
471.22,-0.15,PERSON TOO CLOSE
470.87,-0.35,PERSON TOO CLOSE
470.65,-0.22,PERSON TOO CLOSE
474.53,3.87,PERSON TOO CLOSE
473.15,-1.37,PERSON TOO CLOSE
472.76,-0.39,PERSON TOO CLOSE
473.98,1.22,PERSON TOO CLOSE
472.2,-1.78,PERSON TOO CLOSE
474.25,2.06,PERSON TOO CLOSE
470.47,-3.78,PERSON TOO CLOSE
469.88,-0.59,Person safe distance
472.51,2.63,PERSON TOO CLOSE
470.38,-2.13,PERSON TOO CLOSE
470.19,-0.19,PERSON TOO CLOSE
470.44,0.25,PERSON TOO CLOSE
472.52,2.07,PERSON TOO CLOSE
472.29,-0.22,PERSON TOO CLOSE
472.17,-0.12,PERSON TOO CLOSE
471.5,-0.68,PERSON TOO CLOSE
469.57,-1.93,Person safe distance
469.98,0.41,Person safe distance
470.48,0.5,PERSON TOO CLOSE
470.08,-0.4,PERSON TOO CLOSE
470.16,0.08,PERSON TOO CLOSE
469.83,-0.34,Person safe distance
470.56,0.73,PERSON TOO CLOSE
472.74,2.19,PERSON TOO CLOSE
471.23,-1.52,PERSON TOO CLOSE
471.33,0.1,PERSON TOO CLOSE
470.59,-0.74,PERSON TOO CLOSE
470.62,0.03,PERSON TOO CLOSE
477.59,6.97,PERSON TOO CLOSE
478.8,1.21,PERSON TOO CLOSE
475.59,-3.22,PERSON TOO CLOSE
461.91,-13.68,Person safe distance
461.37,-0.54,Person safe distance
398.57,-62.8,Person safe distance
363.17,-35.4,Person safe distance
339.97,-23.2,Person safe distance
318.37,-21.6,Person safe distance
342.13,23.76,Person safe distance
333.55,-8.57,Person safe distance
310.58,-22.98,Person safe distance
443.68,2.41,Person safe distance
444.43,0.75,Person safe distance
444.87,0.44,Person safe distance
446.16,1.29,Person safe distance
448.29,2.13,Person safe distance
451.36,3.07,Person safe distance
451.49,0.13,Person safe distance
450.51,-0.98,Person safe distance
450.85,0.33,Person safe distance
448.93,-1.92,Person safe distance
448.0,-0.92,Person safe distance
445.45,-2.55,Person safe distance
443.87,-1.58,Person safe distance
443.29,-0.57,Person safe distance
442.63,-0.67,Person safe distance
441.43,-1.2,Person safe distance
440.49,-0.94,Person safe distance
440.12,-0.37,Person safe distance
440.03,-0.09,Person safe distance
440.0,-0.03,Person safe distance
438.37,-1.63,Person safe distance
438.48,0.11,Person safe distance
440.55,2.07,Person safe distance
445.22,4.67,Person safe distance
445.66,0.44,Person safe distance
443.62,-2.04,Person safe distance
443.72,0.1,Person safe distance
442.18,-1.54,Person safe distance
440.57,-1.61,Person safe distance
439.79,-0.78,Person safe distance
438.5,-1.29,Person safe distance
437.04,-1.45,Person safe distance
437.14,0.1,Person safe distance
437.02,-0.12,Person safe distance
440.11,3.09,Person safe distance
442.71,2.6,Person safe distance
448.57,5.86,Person safe distance
452.76,4.19,Person safe distance
452.84,0.08,Person safe distance
451.38,-1.46,Person safe distance
450.81,-0.57,Person safe distance
452.8,1.99,Person safe distance
453.97,1.16,Person safe distance
452.81,-1.15,Person safe distance
453.23,0.42,Person safe distance
455.37,2.13,Person safe distance
456.08,0.72,Person safe distance
455.33,-0.75,Person safe distance
454.38,-0.95,Person safe distance
449.75,-4.63,Person safe distance
445.07,-4.68,Person safe distance
439.23,-5.84,Person safe distance
435.74,-3.49,Person safe distance
431.96,-3.78,Person safe distance
428.19,-3.77,Person safe distance
426.45,-1.74,Person safe distance
422.84,-3.61,Person safe distance
423.47,0.63,Person safe distance
431.06,7.59,Person safe distance
436.07,5.0,Person safe distance
437.55,1.49,Person safe distance
437.45,-0.1,Person safe distance
438.12,0.67,Person safe distance
436.14,-1.98,Person safe distance
430.04,-6.09,Person safe distance
429.65,-0.39,Person safe distance
431.39,1.74,Person safe distance
432.21,0.82,Person safe distance
432.72,0.51,Person safe distance
437.08,4.36,Person safe distance
438.94,1.86,Person safe distance
440.06,1.12,Person safe distance
439.61,-0.45,Person safe distance
440.15,0.54,Person safe distance
440.49,0.34,Person safe distance
443.69,3.2,Person safe distance
440.91,-2.78,Person safe distance
437.71,-3.19,Person safe distance
435.74,-1.97,Person safe distance
432.65,-3.09,Person safe distance
435.25,2.6,Person safe distance
434.69,-0.55,Person safe distance
435.67,0.97,Person safe distance
439.04,3.37,Person safe distance
435.79,-3.25,Person safe distance
434.69,-0.55,Person safe distance
435.25,2.6,Person safe distance
434.69,-0.55,Person safe distance
