Distance,Approach,Status
477.43,,PERSON TOO CLOSE
477.03,-0.4,PERSON TOO CLOSE
476.79,-0.24,PERSON TOO CLOSE
477.37,0.58,PERSON TOO CLOSE
477.32,-0.06,PERSON TOO CLOSE
476.99,-0.33,PERSON TOO CLOSE
477.21,0.22,PERSON TOO CLOSE
476.7,-0.51,PERSON TOO CLOSE
476.7,-0.0,PERSON TOO CLOSE
476.7,-0.0,PERSON TOO CLOSE
476.88,0.18,PERSON TOO CLOSE
476.4,-0.48,PERSON TOO CLOSE
476.67,0.27,PERSON TOO CLOSE
477.43,0.76,PERSON TOO CLOSE
477.34,-0.09,PERSON TOO CLOSE
476.65,-0.69,PERSON TOO CLOSE
476.47,-0.18,PERSON TOO CLOSE
476.79,0.32,PERSON TOO CLOSE
477.77,0.98,PERSON TOO CLOSE
477.52,-0.24,PERSON TOO CLOSE
477.03,-0.49,PERSON TOO CLOSE
477.76,0.73,PERSON TOO CLOSE
477.29,-0.47,PERSON TOO CLOSE
477.5,0.2,PERSON TOO CLOSE
477.57,0.07,PERSON TOO CLOSE
476.9,-0.67,PERSON TOO CLOSE
477.61,0.71,PERSON TOO CLOSE
478.16,0.55,PERSON TOO CLOSE
477.83,-0.33,PERSON TOO CLOSE
477.27,-0.56,PERSON TOO CLOSE
477.3,0.03,PERSON TOO CLOSE
476.75,-0.55,PERSON TOO CLOSE
477.19,0.44,PERSON TOO CLOSE
477.19,0.0,PERSON TOO CLOSE
477.22,0.03,PERSON TOO CLOSE
477.71,0.49,PERSON TOO CLOSE
477.44,-0.27,PERSON TOO CLOSE
477.45,0.01,PERSON TOO CLOSE
477.21,-0.24,PERSON TOO CLOSE
477.35,0.14,PERSON TOO CLOSE
477.92,0.57,PERSON TOO CLOSE
477.94,0.02,PERSON TOO CLOSE
478.18,0.24,PERSON TOO CLOSE
478.19,0.02,PERSON TOO CLOSE
477.62,-0.57,PERSON TOO CLOSE
477.2,-0.43,PERSON TOO CLOSE
477.01,-0.18,PERSON TOO CLOSE
477.24,0.22,PERSON TOO CLOSE
477.65,0.41,PERSON TOO CLOSE
477.59,-0.06,PERSON TOO CLOSE
477.44,-0.15,PERSON TOO CLOSE
477.07,-0.37,PERSON TOO CLOSE
477.85,0.79,PERSON TOO CLOSE
477.47,-0.39,PERSON TOO CLOSE
477.14,-0.32,PERSON TOO CLOSE
477.09,-0.06,PERSON TOO CLOSE
477.66,0.58,PERSON TOO CLOSE
477.17,-0.49,PERSON TOO CLOSE
476.96,-0.22,PERSON TOO CLOSE
477.12,0.16,PERSON TOO CLOSE
477.24,0.12,PERSON TOO CLOSE
477.03,-0.21,PERSON TOO CLOSE
476.69,-0.34,PERSON TOO CLOSE
476.21,-0.48,PERSON TOO CLOSE
476.89,0.68,PERSON TOO CLOSE
476.55,-0.33,PERSON TOO CLOSE
476.48,-0.07,PERSON TOO CLOSE
476.4,-0.09,PERSON TOO CLOSE
476.54,0.15,PERSON TOO CLOSE
476.75,0.2,PERSON TOO CLOSE
476.55,-0.2,PERSON TOO CLOSE
476.97,0.42,PERSON TOO CLOSE
477.18,0.21,PERSON TOO CLOSE
476.86,-0.33,PERSON TOO CLOSE
476.94,0.08,PERSON TOO CLOSE
476.77,-0.17,PERSON TOO CLOSE
476.78,0.01,PERSON TOO CLOSE
476.54,-0.24,PERSON TOO CLOSE
476.68,0.13,PERSON TOO CLOSE
476.21,-0.47,PERSON TOO CLOSE
476.25,0.04,PERSON TOO CLOSE
476.48,0.24,PERSON TOO CLOSE
476.59,0.1,PERSON TOO CLOSE
476.68,0.1,PERSON TOO CLOSE
476.87,0.18,PERSON TOO CLOSE
476.96,0.1,PERSON TOO CLOSE
476.87,-0.1,PERSON TOO CLOSE
476.77,-0.1,PERSON TOO CLOSE
476.91,0.14,PERSON TOO CLOSE
476.74,-0.17,PERSON TOO CLOSE
476.76,0.01,PERSON TOO CLOSE
476.42,-0.34,PERSON TOO CLOSE
476.8,0.38,PERSON TOO CLOSE
476.58,-0.22,PERSON TOO CLOSE
476.81,0.24,PERSON TOO CLOSE
476.45,-0.37,PERSON TOO CLOSE
476.9,0.45,PERSON TOO CLOSE
476.98,0.09,PERSON TOO CLOSE
477.45,0.47,PERSON TOO CLOSE
477.49,0.04,PERSON TOO CLOSE
454.26,-19.6,Person safe distance
437.91,-16.36,Person safe distance
430.39,-7.52,Person safe distance
429.0,-1.39,Person safe distance
429.68,0.68,Person safe distance
431.19,1.51,Person safe distance
433.11,1.92,Person safe distance
435.93,2.82,Person safe distance
437.25,1.32,Person safe distance
437.77,0.52,Person safe distance
441.26,3.49,Person safe distance
443.68,2.41,Person safe distance
444.43,0.75,Person safe distance
444.87,0.44,Person safe distance
446.16,1.29,Person safe distance
448.29,2.13,Person safe distance
451.36,3.07,Person safe distance
451.49,0.13,Person safe distance
450.51,-0.98,Person safe distance
450.85,0.33,Person safe distance
448.93,-1.92,Person safe distance
448.0,-0.92,Person safe distance
445.45,-2.55,Person safe distance
443.87,-1.58,Person safe distance
443.29,-0.57,Person safe distance
442.63,-0.67,Person safe distance
441.43,-1.2,Person safe distance
440.49,-0.94,Person safe distance
440.12,-0.37,Person safe distance
440.03,-0.09,Person safe distance
440.0,-0.03,Person safe distance
438.37,-1.63,Person safe distance
438.48,0.11,Person safe distance
440.55,2.07,Person safe distance
445.22,4.67,Person safe distance
445.66,0.44,Person safe distance
443.62,-2.04,Person safe distance
443.72,0.1,Person safe distance
442.18,-1.54,Person safe distance
440.57,-1.61,Person safe distance
439.79,-0.78,Person safe distance
438.5,-1.29,Person safe distance
437.04,-1.45,Person safe distance
437.14,0.1,Person safe distance
437.02,-0.12,Person safe distance
440.11,3.09,Person safe distance
442.71,2.6,Person safe distance
448.57,5.86,Person safe distance
452.76,4.19,Person safe distance
452.84,0.08,Person safe distance
451.38,-1.46,Person safe distance
450.81,-0.57,Person safe distance
452.8,1.99,Person safe distance
453.97,1.16,Person safe distance
452.81,-1.15,Person safe distance
453.23,0.42,Person safe distance
455.37,2.13,Person safe distance
456.08,0.72,Person safe distance
455.33,-0.75,Person safe distance
454.38,-0.95,Person safe distance
449.75,-4.63,Person safe distance
445.07,-4.68,Person safe distance
439.23,-5.84,Person safe distance
435.74,-3.49,Person safe distance
431.96,-3.78,Person safe distance
428.19,-3.77,Person safe distance
426.45,-1.74,Person safe distance
422.84,-3.61,Person safe distance
423.47,0.63,Person safe distance
431.06,7.59,Person safe distance
436.07,5.0,Person safe distance
437.55,1.49,Person safe distance
437.45,-0.1,Person safe distance
438.12,0.67,Person safe distance
436.14,-1.98,Person safe distance
430.04,-6.09,Person safe distance
429.65,-0.39,Person safe distance
431.39,1.74,Person safe distance
432.21,0.82,Person safe distance
432.72,0.51,Person safe distance
437.08,4.36,Person safe distance
438.94,1.86,Person safe distance
440.06,1.12,Person safe distance
439.61,-0.45,Person safe distance
440.15,0.54,Person safe distance
440.49,0.34,Person safe distance
443.69,3.2,Person safe distance
440.91,-2.78,Person safe distance
437.71,-3.19,Person safe distance
435.74,-1.97,Person safe distance
432.65,-3.09,Person safe distance
435.25,2.6,Person safe distance
434.69,-0.55,Person safe distance
435.67,0.97,Person safe distance
439.04,3.37,Person safe distance
435.79,-3.25,Person safe distance
434.69,-0.55,Person safe distance
435.67,0.97,Person safe distance
439.04,3.37,Person safe distance
435.79,-3.25,Person safe distance
