Distance,Approach,Status
359.77,,TOO CLOSE
369.08,,TOO CLOSE
369.2,,TOO CLOSE
370.17,,TOO CLOSE
364.23,,TOO CLOSE
366.12,,TOO CLOSE
362.16,,TOO CLOSE
360.36,,TOO CLOSE
359.97,,TOO CLOSE
359.66,,TOO CLOSE
358.65,,TOO CLOSE
359.89,,TOO CLOSE
360.73,,TOO CLOSE
360.49,,TOO CLOSE
341.09,,TOO CLOSE
241.61,,Safe
226.39,,Safe
249.56,,Safe
330.15,,TOO CLOSE
366.97,,TOO CLOSE
394.67,,TOO CLOSE
393.59,,TOO CLOSE
384.1,,TOO CLOSE
379.34,,TOO CLOSE
376.37,,TOO CLOSE
378.29,,TOO CLOSE
378.22,,TOO CLOSE
378.27,,TOO CLOSE
378.48,,TOO CLOSE
379.78,,TOO CLOSE
380.87,,TOO CLOSE
380.91,,TOO CLOSE
382.08,,TOO CLOSE
382.71,,TOO CLOSE
382.51,,TOO CLOSE
382.03,,TOO CLOSE
381.98,,TOO CLOSE
384.92,,TOO CLOSE
0,,Safe
0,,Safe
0,,Safe
0,,Safe
0,,Safe
0,,Safe
0,,Safe
0,,TOO CLOSE
0,,Safe
0,,Safe
0,,Safe
0,,Safe
0,,Safe
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,Safe
0,,Safe
0,,Safe
0,,Safe
0,,Safe
0,,TOO CLOSE
116.45,,Safe
145.23,,Safe
141.11,,Safe
140.72,,Safe
141.23,,Safe
141.62,,Safe
140.69,,Safe
141.05,,Safe
147.63,,Safe
158.91,,Safe
229.87,,TOO CLOSE
260.2,,Safe
338.65,,TOO CLOSE
297.0,,Safe
304.34,,Safe
314.03,,Safe
322.94,,TOO CLOSE
343.84,,TOO CLOSE
347.9,,TOO CLOSE
353.37,,TOO CLOSE
359.06,,TOO CLOSE
360.34,,TOO CLOSE
359.02,,TOO CLOSE
363.28,,TOO CLOSE
255.01,,Safe
270.35,,Safe
196.9,,Safe
195.43,,Safe
267.74,,Safe
268.18,,Safe
381.95,,TOO CLOSE
427.71,,TOO CLOSE
514.74,,TOO CLOSE
377.97,,TOO CLOSE
345.63,,TOO CLOSE
341.06,,TOO CLOSE
333.66,,TOO CLOSE
332.87,,TOO CLOSE
333.74,,TOO CLOSE
346.59,,TOO CLOSE
