Distance,Approach,Status
20.07,0,TOO CLOSE
19.29,0,TOO CLOSE
19.48,0,TOO CLOSE
19.74,0,TOO CLOSE
20.34,0,TOO CLOSE
20.76,0,TOO CLOSE
20.48,0,TOO CLOSE
20.62,0,TOO CLOSE
21.2,0,TOO CLOSE
22.22,1,TOO CLOSE
22.73,0,TOO CLOSE
23.53,0,TOO CLOSE
24.29,0,TOO CLOSE
25.53,1,TOO CLOSE
24.9,0,TOO CLOSE
24.1,0,TOO CLOSE
22.81,-1,TOO CLOSE
23.44,0,TOO CLOSE
23.35,0,TOO CLOSE
23.62,0,TOO CLOSE
23.62,0,TOO CLOSE
23.26,0,TOO CLOSE
22.99,0,TOO CLOSE
22.99,0,TOO CLOSE
23.26,0,TOO CLOSE
23.17,0,TOO CLOSE
23.08,0,TOO CLOSE
22.39,0,TOO CLOSE
22.14,0,TOO CLOSE
22.47,0,TOO CLOSE
23.35,0,TOO CLOSE
23.62,0,TOO CLOSE
23.35,0,TOO CLOSE
23.53,0,TOO CLOSE
23.17,0,TOO CLOSE
23.26,0,TOO CLOSE
23.08,0,TOO CLOSE
22.56,0,TOO CLOSE
21.98,0,TOO CLOSE
22.64,0,TOO CLOSE
22.99,0,TOO CLOSE
23.44,0,TOO CLOSE
22.81,0,TOO CLOSE
23.08,0,TOO CLOSE
23.53,0,TOO CLOSE
23.26,0,TOO CLOSE
22.39,0,TOO CLOSE
22.39,0,TOO CLOSE
22.22,0,TOO CLOSE
22.81,0,TOO CLOSE
22.47,0,TOO CLOSE
23.44,0,TOO CLOSE
23.08,0,TOO CLOSE
23.9,0,TOO CLOSE
23.44,0,TOO CLOSE
23.62,0,TOO CLOSE
23.62,0,TOO CLOSE
23.53,0,TOO CLOSE
23.08,0,TOO CLOSE
23.44,0,TOO CLOSE
23.08,0,TOO CLOSE
22.99,0,TOO CLOSE
22.47,0,TOO CLOSE
22.22,0,TOO CLOSE
22.56,0,TOO CLOSE
23.44,0,TOO CLOSE
23.08,0,TOO CLOSE
22.73,0,TOO CLOSE
22.56,0,TOO CLOSE
23.08,0,TOO CLOSE
22.9,0,TOO CLOSE
22.39,0,TOO CLOSE
23.26,0,TOO CLOSE
24.29,1,TOO CLOSE
23.35,0,TOO CLOSE
24.1,0,TOO CLOSE
22.81,-1,TOO CLOSE
25.1,1,TOO CLOSE
24.1,-1,TOO CLOSE
23.62,0,TOO CLOSE
23.26,0,TOO CLOSE
23.17,0,TOO CLOSE
22.64,0,TOO CLOSE
22.73,0,TOO CLOSE
24.29,1,TOO CLOSE
24.1,0,TOO CLOSE
23.08,-1,TOO CLOSE
21.98,-1,TOO CLOSE
23.35,1,TOO CLOSE
24.39,1,TOO CLOSE
22.64,-1,TOO CLOSE
23.44,0,TOO CLOSE
23.35,0,TOO CLOSE
23.17,0,TOO CLOSE
23.81,0,TOO CLOSE
24.9,1,TOO CLOSE
24.59,0,TOO CLOSE
25.42,0,TOO CLOSE
28.3,1,TOO CLOSE
33.52,1,Safe
43.8,1,Safe
58.25,1,Safe
58.82,0,Safe
68.18,1,Safe
60.0,-1,Safe
61.22,1,Safe
61.22,0,Safe
65.22,1,Safe
62.5,-1,Safe
63.83,1,Safe
58.25,-1,Safe
64.52,1,Safe
63.16,-1,Safe
58.25,-1,Safe
57.69,0,Safe
63.16,1,Safe
61.86,-1,Safe
58.25,-1,Safe
63.16,1,Safe
57.69,-1,Safe
57.14,0,Safe
64.52,1,Safe
61.86,-1,Safe
59.41,-1,Safe
63.16,1,Safe
61.86,-1,Safe
62.5,0,Safe
61.22,-1,Safe
58.25,-1,Safe
64.52,1,Safe
63.83,0,Safe
64.52,0,Safe
58.82,-1,Safe
60.61,1,Safe
57.69,-1,Safe
57.69,0,Safe
63.83,1,Safe
60.61,-1,Safe
60.0,0,Safe
65.22,1,Safe
61.22,-1,Safe
63.16,1,Safe
60.61,-1,Safe
61.86,1,Safe
61.22,0,Safe
66.67,1,Safe
65.93,0,Safe
58.25,-1,Safe
57.69,0,Safe
57.14,0,Safe
63.83,1,Safe
61.86,-1,Safe
66.67,1,Safe
65.93,0,Safe
65.22,0,Safe
63.83,-1,Safe
63.16,0,Safe
61.86,-1,Safe
65.93,1,Safe
63.83,-1,Safe
65.22,1,Safe
65.22,0,Safe
63.16,-1,Safe
65.22,1,Safe
68.97,1,Safe
61.22,-1,Safe
68.97,1,Safe
62.5,-1,Safe
65.22,1,Safe
65.93,0,Safe
68.18,1,Safe
69.77,1,Safe
64.52,-1,Safe
65.93,1,Safe
65.93,0,Safe
61.86,-1,Safe
68.97,1,Safe
68.97,0,Safe
68.18,0,Safe
64.52,-1,Safe
63.83,0,Safe
60.61,-1,Safe
67.42,1,Safe
68.18,0,Safe
70.59,1,Safe
75.0,1,Safe
65.22,-1,Safe
63.16,-1,Safe
66.67,1,Safe
69.77,1,Safe
63.83,-1,Safe
68.18,1,Safe
63.16,-1,Safe
65.93,1,Safe
63.83,-1,Safe
64.52,0,Safe
63.83,0,Safe
65.22,1,Safe
58.25,-1,Safe
69.77,1,Safe
