FrameNumber,HandDetected,HandConfidence,ProximityPixel,Status
1,0,0.0,0.0,SAFE
2,0,0.0,0.0,SAFE
3,0,0.0,0.0,SAFE
4,0,0.0,0.0,SAFE
5,0,0.0,0.0,SAFE
6,0,0.0,0.0,SAFE
7,0,0.0,0.0,SAFE
8,0,0.0,0.0,SAFE
9,1,0.715,65.06,SAFE
10,0,0.0,52.05,SAFE
11,1,0.563,82.07,SAFE
12,0,0.0,65.66,SAFE
13,0,0.0,52.52,SAFE
14,0,0.0,42.02,SAFE
15,0,0.0,33.62,SAFE
16,0,0.0,26.89,SAFE
17,0,0.0,21.51,SAFE
18,0,0.0,17.21,SAFE
19,0,0.0,13.77,SAFE
20,0,0.0,11.02,SAFE
21,0,0.0,8.81,SAFE
22,0,0.0,7.05,SAFE
23,0,0.0,5.64,SAFE
24,0,0.0,4.51,SAFE
25,0,0.0,3.61,SAFE
26,0,0.0,2.89,SAFE
27,0,0.0,2.31,SAFE
28,0,0.0,1.85,SAFE
29,1,0.983,25.93,SAFE
30,1,0.957,43.86,SAFE
31,1,0.939,58.22,SAFE
32,1,0.893,76.51,SAFE
33,1,0.95,92.01,SAFE
34,1,0.941,106.06,SAFE
35,1,0.926,115.49,SAFE
36,1,0.932,123.97,TOO CLOSE - NOT SAFE
37,1,0.908,135.72,TOO CLOSE - NOT SAFE
38,1,0.935,146.7,TOO CLOSE - NOT SAFE
39,1,0.948,155.41,TOO CLOSE - NOT SAFE
40,1,0.924,161.07,TOO CLOSE - NOT SAFE
41,1,0.957,166.86,TOO CLOSE - NOT SAFE
42,1,0.725,173.5,TOO CLOSE - NOT SAFE
43,0,0.0,138.8,SAFE
44,1,0.921,123.17,TOO CLOSE - NOT SAFE
45,1,0.988,108.48,SAFE
