FrameNumber,HandDetected,HandConfidence,ProximityPx,Status
1,1,0.84,240.46,NO_REACH
2,1,0.957,178.64,NO_REACH
3,0,0.0,0.0,NO_REACH
4,1,0.952,483.85,REACHING
5,1,0.899,399.05,NO_REACH
6,1,0.955,284.79,NO_REACH
7,1,0.901,255.79,NO_REACH
8,1,0.811,253.17,NO_REACH
9,1,0.841,240.53,REACHING
10,1,0.764,270.82,REACHING
11,1,0.897,266.71,NO_REACH
12,1,0.891,255.8,NO_REACH
13,1,0.953,284.88,REACHING
14,1,0.836,339.07,REACHING
15,1,0.846,333.3,REACHING
16,1,0.925,240.46,REACHING
17,1,0.995,226.21,REACHING
18,1,0.954,175.93,NO_REACH
19,1,0.811,178.15,NO_REACH
20,0,0.0,0.0,NO_REACH
21,1,0.902,367.54,REACHING
22,1,0.948,315.82,REACHING
23,1,0.944,260.22,REACHING
24,1,0.937,230.43,REACHING
25,1,0.943,223.46,REACHING
26,1,0.987,201.87,REACHING
27,1,0.954,187.24,NO_REACH
28,1,0.985,202.22,NO_REACH
29,1,0.942,221.3,REACHING
30,1,0.866,212.68,REACHING
31,1,0.962,205.26,REACHING
32,1,0.976,205.89,NO_REACH
33,1,0.56,247.96,REACHING
34,0,0.0,0.0,NO_REACH
35,1,0.877,266.31,REACHING
36,1,0.784,266.39,REACHING
37,1,0.855,259.63,REACHING
38,1,0.902,253.31,NO_REACH
39,1,0.851,271.76,REACHING
40,1,0.877,263.7,NO_REACH
41,1,0.833,263.39,NO_REACH
42,1,0.864,263.53,NO_REACH
43,1,0.855,304.63,REACHING
44,1,0.868,276.59,REACHING
45,1,0.853,276.91,REACHING
46,1,0.716,293.77,REACHING
47,1,0.688,278.98,REACHING
48,1,0.781,283.89,NO_REACH
49,1,0.71,282.73,NO_REACH
50,1,0.923,263.1,NO_REACH
51,1,0.902,263.95,NO_REACH
52,1,0.788,261.34,REACHING
53,1,0.74,285.05,REACHING
54,1,0.782,301.4,REACHING
55,1,0.829,301.57,NO_REACH
56,1,0.654,279.43,NO_REACH
57,1,0.908,269.93,NO_REACH
58,1,0.923,259.62,REACHING
59,1,0.887,260.24,REACHING
60,1,0.772,275.21,REACHING
61,1,0.71,286.93,NO_REACH
62,1,0.96,255.18,NO_REACH
63,1,0.88,273.07,REACHING
64,1,0.872,291.87,REACHING
65,1,0.835,286.81,REACHING
66,1,0.847,273.7,REACHING
67,1,0.868,272.29,NO_REACH
68,1,0.862,268.02,NO_REACH
69,1,0.826,279.1,NO_REACH
70,1,0.855,253.38,NO_REACH
71,1,0.9,237.11,REACHING
72,1,0.839,224.95,REACHING
73,1,0.82,228.88,REACHING
74,1,0.682,244.74,REACHING
75,1,0.922,245.94,NO_REACH
76,1,0.904,230.21,NO_REACH
77,1,0.668,224.57,REACHING
78,1,0.778,223.46,REACHING
79,1,0.866,239.23,REACHING
80,1,0.92,214.09,NO_REACH
81,1,0.954,209.34,NO_REACH
82,1,0.625,245.11,REACHING
83,1,0.788,309.16,REACHING
84,1,0.886,318.31,NO_REACH
85,1,0.858,332.12,NO_REACH
86,1,0.727,293.18,REACHING
87,1,0.835,275.12,REACHING
88,1,0.858,266.74,NO_REACH
89,1,0.755,271.82,NO_REACH
90,1,0.832,286.5,NO_REACH
91,1,0.879,291.42,NO_REACH
92,1,0.693,245.37,REACHING
93,1,0.726,240.14,REACHING
94,1,0.896,233.5,NO_REACH
95,1,0.934,234.12,NO_REACH
96,1,0.631,233.07,NO_REACH
97,1,0.883,240.41,NO_REACH
98,1,0.914,208.39,REACHING
99,1,0.796,204.41,REACHING
100,0,0.0,0.0,NO_REACH
101,1,0.973,84.44,REACHING
102,1,0.91,96.33,REACHING
103,0,0.0,0.0,NO_REACH
104,1,0.892,59.39,NO_REACH
