FrameNumber,HandDetected,HandConfidence,ProximityPx,Status
1,1,0.965,30.72,NO_REACH
2,1,0.971,55.75,NO_REACH
3,1,0.918,82.58,NO_REACH
4,1,0.928,103.66,NO_REACH
5,1,0.961,119.06,NO_REACH
6,1,0.923,132.27,REACHING
7,1,0.919,143.25,REACHING
8,1,0.926,151.04,REACHING
9,1,0.922,156.97,REACHING
10,1,0.924,162.9,REACHING
11,1,0.925,168.45,REACHING
12,1,0.939,172.65,REACHING
13,1,0.937,176.59,REACHING
14,1,0.919,180.29,REACHING
15,1,0.923,184.43,REACHING
16,1,0.912,192.01,REACHING
17,1,0.871,198.91,REACHING
18,1,0.827,203.02,REACHING
19,1,0.922,206.06,REACHING
20,1,0.934,205.52,REACHING
21,1,0.935,203.79,REACHING
22,1,0.947,202.4,REACHING
23,1,0.938,202.1,REACHING
24,1,0.892,202.37,REACHING
25,1,0.926,202.13,REACHING
26,1,0.887,202.04,REACHING
27,1,0.919,200.38,REACHING
28,1,0.922,198.48,REACHING
29,1,0.928,196.73,REACHING
30,1,0.9,196.18,REACHING
31,1,0.944,195.9,REACHING
32,1,0.93,194.22,REACHING
33,1,0.937,189.79,REACHING
34,1,0.961,187.17,REACHING
35,1,0.947,183.97,REACHING
36,1,0.933,185.44,REACHING
37,1,0.915,187.16,REACHING
38,1,0.908,187.41,REACHING
39,1,0.914,186.52,REACHING
40,1,0.875,186.32,REACHING
41,1,0.894,189.35,REACHING
42,1,0.927,191.35,REACHING
43,1,0.95,194.96,REACHING
44,1,0.958,193.51,REACHING
45,1,0.937,194.32,REACHING
46,1,0.929,194.63,REACHING
47,1,0.963,190.42,REACHING
48,1,0.951,188.55,REACHING
49,1,0.937,186.5,REACHING
50,1,0.938,184.62,REACHING
51,1,0.959,181.96,REACHING
52,1,0.973,178.29,REACHING
53,1,0.925,175.55,REACHING
54,1,0.96,173.48,REACHING
55,1,0.943,173.68,REACHING
56,1,0.945,176.02,REACHING
57,1,0.922,177.1,REACHING
58,1,0.936,176.18,REACHING
59,1,0.874,179.75,REACHING
60,1,0.928,181.97,REACHING
61,1,0.945,182.09,REACHING
62,1,0.789,179.65,REACHING
63,1,0.865,178.47,REACHING
64,1,0.968,175.89,REACHING
65,1,0.984,169.87,REACHING
66,1,0.99,165.87,REACHING
67,1,0.985,163.12,REACHING
68,1,0.824,160.38,REACHING
69,1,0.924,158.82,REACHING
70,1,0.852,157.67,REACHING
71,1,0.981,154.05,REACHING
72,1,0.998,145.05,REACHING
73,1,0.997,144.83,REACHING
74,1,0.993,144.6,REACHING
75,1,0.969,145.89,REACHING
76,0,0,116.71,NO_REACH
77,1,0.958,128.3,REACHING
78,1,0.936,135.93,REACHING
79,1,0.925,140.84,REACHING
80,1,0.945,144.08,REACHING
81,1,0.951,147.03,REACHING
82,1,0.963,150.1,REACHING
83,1,0.976,152.67,REACHING
84,1,0.976,153.65,REACHING
85,1,0.967,154.86,REACHING
86,1,0.952,155.51,REACHING
87,1,0.971,155.6,REACHING
88,1,0.963,155.77,REACHING
89,1,0.981,157.1,REACHING
90,1,0.959,157.73,REACHING
91,1,0.898,158.53,REACHING
92,1,0.919,159.42,REACHING
93,1,0.967,158.38,REACHING
94,1,0.955,157.89,REACHING
95,1,0.932,160.33,REACHING
96,1,0.976,160.33,REACHING
97,1,0.989,159.01,REACHING
98,1,0.949,156.34,REACHING
99,1,0.951,154.82,REACHING
100,1,0.907,144.6,REACHING
101,0,0,115.68,NO_REACH
102,1,0.968,103.82,NO_REACH
103,1,0.989,93.65,NO_REACH
104,1,0.985,84.82,NO_REACH
105,0,0,67.85,NO_REACH
106,1,0.995,63.33,NO_REACH
107,1,0.988,59.87,NO_REACH
108,1,0.93,57.08,NO_REACH
109,1,0.963,54.73,NO_REACH
110,1,0.903,52.58,NO_REACH
111,1,0.882,50.54,NO_REACH
112,1,0.979,49.67,NO_REACH
113,1,0.976,49.44,NO_REACH
114,1,0.906,49.23,NO_REACH
115,1,0.974,49.4,NO_REACH
116,1,0.958,49.42,NO_REACH
117,1,0.712,46.86,NO_REACH
118,1,0.746,43.51,NO_REACH
119,0,0,34.81,NO_REACH
120,1,0.925,40.13,NO_REACH
121,0,0,32.1,NO_REACH
122,1,0.884,37.86,NO_REACH
123,0,0,30.29,NO_REACH
124,1,0.992,34.94,NO_REACH
125,1,0.981,37.56,NO_REACH
126,0,0,30.05,NO_REACH
127,1,0.94,36.29,NO_REACH
128,0,0,29.03,NO_REACH
129,1,0.872,35.81,NO_REACH
130,1,0.789,36.16,NO_REACH
131,0,0,28.93,NO_REACH
132,1,0.951,34.58,NO_REACH
133,0,0,27.66,NO_REACH
134,1,0.944,33.92,NO_REACH
135,0,0,27.13,NO_REACH
136,1,0.992,32.11,NO_REACH
137,1,0.964,35.07,NO_REACH
138,0,0,28.06,NO_REACH
139,1,0.941,33.98,NO_REACH
140,0,0,27.18,NO_REACH
141,1,0.947,33.44,NO_REACH
142,0,0,26.75,NO_REACH
143,1,0.59,32.01,NO_REACH
144,0,0,25.61,NO_REACH
145,1,0.965,29.72,NO_REACH
146,1,0.856,32.47,NO_REACH
147,0,0,25.97,NO_REACH
148,1,0.947,32.47,NO_REACH
149,1,0.929,37.37,NO_REACH
150,0,0,29.89,NO_REACH
151,1,0.941,33.98,NO_REACH
152,0,0,27.18,NO_REACH
153,1,0.978,33.09,NO_REACH
154,0,0,26.47,NO_REACH
155,1,0.575,31.4,NO_REACH
156,0,0,25.12,NO_REACH
157,1,0.928,31.14,NO_REACH
158,0,0,24.91,NO_REACH
159,1,0.929,31.3,NO_REACH
160,0,0,25.04,NO_REACH
161,1,0.975,30.68,NO_REACH
162,0,0,24.55,NO_REACH
163,1,0.931,31.34,NO_REACH
164,0,0,25.07,NO_REACH
165,1,0.919,32.14,NO_REACH
166,0,0,25.71,NO_REACH
167,1,0.935,30.53,NO_REACH
168,0,0,24.42,NO_REACH
169,1,0.924,32.17,NO_REACH
170,0,0,25.74,NO_REACH
171,1,0.986,31.01,NO_REACH
172,0,0,24.81,NO_REACH
173,1,0.911,30.92,NO_REACH
174,0,0,24.73,NO_REACH
175,1,0.949,31.41,NO_REACH
176,0,0,25.13,NO_REACH
177,1,0.879,30.64,NO_REACH
178,0,0,24.51,NO_REACH
179,1,0.939,31.07,NO_REACH
