Distance,Approach,Status
392.32,,TOO CLOSE
400.08,,TOO CLOSE
410.78,,TOO CLOSE
411.12,,TOO CLOSE
415.89,,TOO CLOSE
418.26,,TOO CLOSE
423.32,,TOO CLOSE
423.7,,TOO CLOSE
427.72,,TOO CLOSE
426.52,,TOO CLOSE
428.36,,TOO CLOSE
425.75,,TOO CLOSE
424.21,,TOO CLOSE
423.13,,TOO CLOSE
422.1,,TOO CLOSE
422.21,,TOO CLOSE
422.5,,TOO CLOSE
423.66,,TOO CLOSE
425.06,,TOO CLOSE
428.25,,TOO CLOSE
427.95,,TOO CLOSE
427.36,,TOO CLOSE
427.64,,TOO CLOSE
427.62,,TOO CLOSE
429.01,,TOO CLOSE
429.49,,TOO CLOSE
429.05,,TOO CLOSE
428.94,,TOO CLOSE
428.85,,TOO CLOSE
429.09,,TOO CLOSE
428.02,,TOO CLOSE
428.03,,TOO CLOSE
428.38,,TOO CLOSE
428.58,,TOO CLOSE
428.52,,TOO CLOSE
429.27,,TOO CLOSE
430.74,,TOO CLOSE
429.11,,TOO CLOSE
422.62,,TOO CLOSE
424.28,,TOO CLOSE
425.66,,TOO CLOSE
426.34,,TOO CLOSE
428.0,,TOO CLOSE
427.95,,TOO CLOSE
430.97,,TOO CLOSE
431.16,,TOO CLOSE
427.26,,TOO CLOSE
424.82,,TOO CLOSE
424.23,,TOO CLOSE
422.38,,TOO CLOSE
425.36,,TOO CLOSE
425.13,,TOO CLOSE
425.0,,TOO CLOSE
425.08,,TOO CLOSE
423.22,,TOO CLOSE
418.83,,TOO CLOSE
421.7,,TOO CLOSE
421.53,,TOO CLOSE
420.52,,TOO CLOSE
419.45,,TOO CLOSE
419.06,,TOO CLOSE
417.0,,TOO CLOSE
418.81,,TOO CLOSE
419.89,,TOO CLOSE
420.01,,TOO CLOSE
419.69,,TOO CLOSE
419.72,,TOO CLOSE
420.34,,TOO CLOSE
420.27,,TOO CLOSE
420.26,,TOO CLOSE
418.67,,TOO CLOSE
417.97,,TOO CLOSE
415.61,,TOO CLOSE
415.58,,TOO CLOSE
412.22,,TOO CLOSE
405.36,,TOO CLOSE
403.84,,TOO CLOSE
401.93,,TOO CLOSE
406.37,,TOO CLOSE
406.56,,TOO CLOSE
407.0,,TOO CLOSE
407.12,,TOO CLOSE
408.99,,TOO CLOSE
407.65,,TOO CLOSE
405.38,,TOO CLOSE
404.74,,TOO CLOSE
410.38,,TOO CLOSE
411.92,,TOO CLOSE
414.36,,TOO CLOSE
408.05,,TOO CLOSE
407.62,,TOO CLOSE
404.65,,TOO CLOSE
404.6,,TOO CLOSE
398.36,,TOO CLOSE
397.99,,TOO CLOSE
396.71,,TOO CLOSE
399.47,,TOO CLOSE
395.07,,TOO CLOSE
386.79,,TOO CLOSE
367.59,,TOO CLOSE
264.55,,Safe
189.64,,Safe
189.69,,Safe
175.93,,Safe
171.8,,Safe
187.79,,Safe
156.75,,Safe
144.94,,Safe
143.69,,Safe
109.53,,Safe
122.98,,Safe
122.25,,Safe
131.35,,Safe
136.65,,Safe
139.69,,Safe
137.0,,Safe
138.03,,Safe
140.8,,Safe
142.71,,Safe
142.45,,Safe
141.61,,Safe
140.56,,Safe
140.82,,Safe
141.44,,Safe
141.33,,Safe
140.45,,Safe
139.59,,Safe
139.52,,Safe
139.36,,Safe
140.19,,Safe
139.8,,Safe
138.46,,Safe
138.07,,Safe
138.1,,Safe
138.08,,Safe
138.11,,Safe
138.58,,Safe
138.73,,Safe
138.55,,Safe
138.03,,Safe
137.76,,Safe
137.6,,Safe
137.54,,Safe
138.17,,Safe
138.04,,Safe
138.09,,Safe
138.1,,Safe
138.35,,Safe
137.84,,Safe
138.11,,Safe
136.34,,Safe
136.69,,Safe
136.65,,Safe
136.68,,Safe
136.34,,Safe
135.96,,Safe
135.41,,Safe
135.52,,Safe
135.54,,Safe
135.58,,Safe
135.47,,Safe
135.85,,Safe
135.96,,Safe
135.83,,Safe
136.13,,Safe
136.53,,Safe
136.32,,Safe
134.84,,Safe
135.47,,Safe
135.78,,Safe
135.86,,Safe
135.89,,Safe
135.54,,Safe
135.26,,Safe
135.5,,Safe
135.74,,Safe
136.1,,Safe
136.15,,Safe
136.06,,Safe
135.35,,Safe
135.16,,Safe
134.96,,Safe
134.93,,Safe
134.95,,Safe
135.22,,Safe
136.22,,Safe
137.88,,Safe
138.09,,Safe
138.14,,Safe
138.11,,Safe
137.64,,Safe
135.14,,Safe
135.49,,Safe
135.89,,Safe
137.0,,Safe
136.86,,Safe
136.54,,Safe
136.15,,Safe
135.58,,Safe
135.14,,Safe
