Distance,Approach,Status
393.81,,TOO CLOSE
384.83,,TOO CLOSE
381.18,,TOO CLOSE
374.59,,TOO CLOSE
370.31,,TOO CLOSE
368.6,,TOO CLOSE
364.8,,TOO CLOSE
364.16,,TOO CLOSE
362.28,,TOO CLOSE
361.85,,TOO CLOSE
361.81,,TOO CLOSE
360.9,,TOO CLOSE
361.04,,TOO CLOSE
358.27,,TOO CLOSE
357.12,,TOO CLOSE
356.99,,TOO CLOSE
356.47,,TOO CLOSE
356.68,,TOO CLOSE
356.47,,TOO CLOSE
355.19,,TOO CLOSE
355.22,,TOO CLOSE
355.43,,TOO CLOSE
355.48,,TOO CLOSE
356.17,,TOO CLOSE
356.06,,TOO CLOSE
355.06,,TOO CLOSE
355.56,,TOO CLOSE
349.12,,TOO CLOSE
349.96,,TOO CLOSE
349.53,,TOO CLOSE
350.17,,TOO CLOSE
360.53,,TOO CLOSE
376.21,,TOO CLOSE
383.51,,TOO CLOSE
380.94,,TOO CLOSE
379.01,,TOO CLOSE
371.94,,TOO CLOSE
361.79,,TOO CLOSE
356.15,,TOO CLOSE
347.93,,TOO CLOSE
343.48,,TOO CLOSE
340.4,,TOO CLOSE
338.44,,TOO CLOSE
339.94,,TOO CLOSE
340.83,,TOO CLOSE
343.13,,TOO CLOSE
343.35,,TOO CLOSE
343.08,,TOO CLOSE
343.15,,TOO CLOSE
343.27,,TOO CLOSE
343.48,,TOO CLOSE
343.7,,TOO CLOSE
343.65,,TOO CLOSE
343.25,,TOO CLOSE
343.2,,TOO CLOSE
342.05,,TOO CLOSE
342.71,,TOO CLOSE
343.9,,TOO CLOSE
343.96,,TOO CLOSE
344.11,,TOO CLOSE
343.42,,TOO CLOSE
343.76,,TOO CLOSE
343.38,,TOO CLOSE
344.07,,TOO CLOSE
343.79,,TOO CLOSE
343.8,,TOO CLOSE
343.92,,TOO CLOSE
342.97,,TOO CLOSE
342.39,,TOO CLOSE
342.67,,TOO CLOSE
342.44,,TOO CLOSE
341.84,,TOO CLOSE
342.55,,TOO CLOSE
343.83,,TOO CLOSE
344.01,,TOO CLOSE
343.53,,TOO CLOSE
343.12,,TOO CLOSE
343.89,,TOO CLOSE
344.18,,TOO CLOSE
342.15,,TOO CLOSE
341.09,,TOO CLOSE
340.54,,TOO CLOSE
339.79,,TOO CLOSE
339.68,,TOO CLOSE
339.22,,TOO CLOSE
339.35,,TOO CLOSE
338.91,,TOO CLOSE
339.77,,TOO CLOSE
339.39,,TOO CLOSE
339.17,,TOO CLOSE
337.66,,TOO CLOSE
338.22,,TOO CLOSE
338.19,,TOO CLOSE
337.81,,TOO CLOSE
337.42,,TOO CLOSE
337.71,,TOO CLOSE
357.66,,TOO CLOSE
419.54,,TOO CLOSE
462.94,,TOO CLOSE
478.03,,TOO CLOSE
333.37,,TOO CLOSE
284.97,,TOO CLOSE
267.17,,TOO CLOSE
227.05,,Safe
77.29,,Safe
50.91,,Safe
66.5,,Safe
161.27,,Safe
151.36,,Safe
133.78,,Safe
135.15,,Safe
137.1,,Safe
137.25,,Safe
139.02,,Safe
139.74,,Safe
140.89,,Safe
136.43,,Safe
133.46,,Safe
131.88,,Safe
132.43,,Safe
132.75,,Safe
132.16,,Safe
131.48,,Safe
132.34,,Safe
131.79,,Safe
132.34,,Safe
132.57,,Safe
132.05,,Safe
133.51,,Safe
133.57,,Safe
133.65,,Safe
133.67,,Safe
133.53,,Safe
133.26,,Safe
133.08,,Safe
133.01,,Safe
131.91,,Safe
131.31,,Safe
131.12,,Safe
131.09,,Safe
131.0,,Safe
131.01,,Safe
131.03,,Safe
130.52,,Safe
130.61,,Safe
130.6,,Safe
130.73,,Safe
130.76,,Safe
131.13,,Safe
131.16,,Safe
131.49,,Safe
131.89,,Safe
131.97,,Safe
132.26,,Safe
132.74,,Safe
132.91,,Safe
133.06,,Safe
133.77,,Safe
134.04,,Safe
134.14,,Safe
134.22,,Safe
134.27,,Safe
134.46,,Safe
134.55,,Safe
134.79,,Safe
134.82,,Safe
134.77,,Safe
134.97,,Safe
134.98,,Safe
134.97,,Safe
135.13,,Safe
135.06,,Safe
134.76,,Safe
134.6,,Safe
134.74,,Safe
134.91,,Safe
134.83,,Safe
134.69,,Safe
134.79,,Safe
134.79,,Safe
134.95,,Safe
134.31,,Safe
134.16,,Safe
133.94,,Safe
133.91,,Safe
133.86,,Safe
134.18,,Safe
133.73,,Safe
133.53,,Safe
133.57,,Safe
133.34,,Safe
132.84,,Safe
132.1,,Safe
132.22,,Safe
132.69,,Safe
133.54,,Safe
134.67,,Safe
135.01,,Safe
135.02,,Safe
135.01,,Safe
