Distance,Approach,Status
395.81,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,Safe
0,,TOO CLOSE
0,,Safe
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,Safe
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
0,,TOO CLOSE
358.2,,TOO CLOSE
258.81,,Safe
211.25,,Safe
207.89,,TOO CLOSE
202.55,,TOO CLOSE
208.44,,TOO CLOSE
178.02,,Safe
143.67,,TOO CLOSE
160.12,,Safe
149.28,,Safe
152.0,,Safe
144.33,,Safe
144.09,,Safe
141.58,,Safe
161.57,,Safe
169.9,,Safe
170.29,,Safe
171.46,,Safe
172.06,,Safe
172.96,,Safe
173.83,,Safe
172.75,,Safe
150.02,,Safe
155.79,,Safe
158.42,,Safe
150.8,,Safe
154.49,,Safe
155.39,,Safe
152.34,,Safe
152.73,,Safe
149.77,,Safe
141.25,,Safe
136.87,,Safe
137.13,,Safe
111.84,,Safe
117.74,,Safe
122.44,,Safe
135.62,,Safe
138.78,,Safe
141.62,,Safe
143.4,,Safe
146.01,,Safe
146.54,,Safe
146.48,,Safe
146.64,,Safe
147.72,,Safe
148.78,,Safe
148.03,,Safe
148.3,,Safe
148.28,,Safe
149.42,,Safe
147.91,,Safe
146.89,,Safe
147.06,,Safe
147.03,,Safe
147.42,,Safe
146.98,,Safe
146.87,,Safe
144.36,,Safe
143.04,,Safe
142.14,,Safe
141.02,,Safe
139.99,,Safe
139.36,,Safe
139.32,,Safe
138.91,,Safe
137.97,,Safe
137.9,,Safe
137.63,,Safe
137.07,,Safe
136.67,,Safe
136.61,,Safe
136.63,,Safe
136.65,,Safe
136.6,,Safe
136.44,,Safe
136.6,,Safe
136.71,,Safe
136.81,,Safe
136.96,,Safe
136.98,,Safe
137.36,,Safe
137.37,,Safe
137.46,,Safe
137.44,,Safe
137.17,,Safe
137.76,,Safe
137.61,,Safe
137.54,,Safe
137.55,,Safe
137.94,,Safe
137.85,,Safe
137.69,,Safe
137.47,,Safe
137.5,,Safe
137.42,,Safe
137.24,,Safe
137.24,,Safe
