Distance,Approach,Status
0.62,,PERSON TOO CLOSE
0.62,,PERSON TOO CLOSE
0.62,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.64,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.68,,PERSON TOO CLOSE
0.68,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.68,,PERSON TOO CLOSE
0.68,,PERSON TOO CLOSE
0.68,,PERSON TOO CLOSE
0.68,,PERSON TOO CLOSE
0.69,,PERSON TOO CLOSE
0.67,,PERSON TOO CLOSE
0.66,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.51,,PERSON TOO CLOSE
0.39,,Person safe distance
0.31,,Person safe distance
0.27,,Person safe distance
0.28,,Person safe distance
0.26,,Person safe distance
0.25,,Person safe distance
0.26,,Person safe distance
0.27,,Person safe distance
0.24,,Person safe distance
0.25,,Person safe distance
0.24,,Person safe distance
0.23,,Person safe distance
0.23,,Person safe distance
0.19,,Person safe distance
0.2,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.18,,Person safe distance
0.19,,Person safe distance
0.19,,Person safe distance
0.18,,Person safe distance
0.17,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
0.18,,Person safe distance
