Distance,Approach,Status
0.52,,PERSON TOO CLOSE
0.51,,PERSON TOO CLOSE
0.5,,PERSON TOO CLOSE
0.5,,Person safe distance
0.49,,Person safe distance
0.49,,Person safe distance
0.49,,Person safe distance
0.5,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.59,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.63,,PERSON TOO CLOSE
0.62,,PERSON TOO CLOSE
0.58,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.68,,PERSON TOO CLOSE
0.65,,PERSON TOO CLOSE
0.35,,Person safe distance
0.2,,Person safe distance
,,No Person
,,No Person
0.24,,Person safe distance
0.17,,Person safe distance
0.23,,Person safe distance
0.16,,Person safe distance
0.14,,Person safe distance
0.12,,Person safe distance
0.11,,Person safe distance
0.07,,Person safe distance
0.05,,Person safe distance
0.09,,Person safe distance
0.11,,Person safe distance
0.08,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.1,,Person safe distance
0.1,,Person safe distance
0.1,,Person safe distance
0.1,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.09,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.09,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
0.08,,Person safe distance
