Distance,Approach,Status
,,No Person
,,No Person
,,No Person
,,No Person
,,No Person
,,No Person
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.52,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.53,,PERSON TOO CLOSE
0.54,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.59,,PERSON TOO CLOSE
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.15,,Person safe distance
0.15,,Person safe distance
0.56,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.15,,Person safe distance
0.14,,Person safe distance
0.14,,Person safe distance
0.14,,Person safe distance
0.14,,Person safe distance
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.57,,PERSON TOO CLOSE
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.16,,Person safe distance
0.57,,PERSON TOO CLOSE
0.56,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
0.55,,PERSON TOO CLOSE
